国家/地区,点击次数,展示,点击率,排名
印度,6,71,8.45%,10.17
美国,5,129,3.88%,24.72
加拿大,3,30,10%,9.27
巴基斯坦,3,7,42.86%,6.57
南非,1,7,14.29%,12.71
越南,1,5,20%,9.8
阿尔及利亚,1,5,20%,17.6
坦桑尼亚,1,3,33.33%,9
罗马尼亚,1,2,50%,1
墨西哥,1,2,50%,18.5
澳大利亚,1,1,100%,3
伊拉克,1,1,100%,9
马来西亚,0,9,0%,7.22
英国,0,9,0%,51.44
法国,0,7,0%,17.29
巴西,0,4,0%,41.5
芬兰,0,3,0%,3.33
丹麦,0,3,0%,6.33
缅甸,0,3,0%,7.33
印度尼西亚,0,3,0%,11.67
尼日利亚,0,3,0%,16.33
德国,0,3,0%,76.67
菲律宾,0,2,0%,6.5
孟加拉,0,2,0%,7.5
冈比亚,0,2,0%,8
智利,0,2,0%,8.5
斯洛文尼亚,0,2,0%,9
埃及,0,2,0%,9.5
肯尼亚,0,2,0%,19
阿塞拜疆,0,2,0%,29.5
匈牙利,0,2,0%,36
西班牙,0,2,0%,47
斯洛伐克,0,2,0%,47
哥伦比亚,0,2,0%,51.5
摩洛哥,0,2,0%,53
瑞典,0,1,0%,3
意大利,0,1,0%,4
圭亚那,0,1,0%,5
莱索托,0,1,0%,7
新西兰,0,1,0%,7
津巴布韦,0,1,0%,7
科特迪瓦,0,1,0%,8
摩尔多瓦,0,1,0%,8
蒙古,0,1,0%,8
立陶宛,0,1,0%,9
毛里求斯,0,1,0%,9
荷兰,0,1,0%,9
挪威,0,1,0%,9
尼泊尔,0,1,0%,10
中国,0,1,0%,25
加蓬,0,1,0%,25
日本,0,1,0%,41
泰国,0,1,0%,66
比利时,0,1,0%,73
以色列,0,1,0%,86
美属维尔京群岛,0,1,0%,92
阿曼,0,1,0%,99
