# ----------------------------------------
# 创收概况
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
#  
# 开始日期：20260608
# 结束日期：20260614
第 N 天,活跃用户
0000,105
0001,103
0002,102
0003,104
0004,103
0005,109
0006,102

# 开始日期：20260608
# 结束日期：20260614
第 N 天,事件数
0000,803
0001,742
0002,757
0003,816
0004,688
0005,798
0006,682

# 开始日期：20260608
# 结束日期：20260614
第 N 天,关键事件数
0000,111
0001,110
0002,116
0003,109
0004,95
0005,132
0006,100

# 开始日期：20260608
# 结束日期：20260614
第 N 天,总收入
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0

#  
# 开始日期：20260608
# 结束日期：20260614
第 N 天,活跃用户
0000,105
0001,103
0002,102
0003,104
0004,103
0005,109
0006,102

# 开始日期：20260608
# 结束日期：20260614
第 N 天,事件数
0000,803
0001,742
0002,757
0003,816
0004,688
0005,798
0006,682

# 开始日期：20260608
# 结束日期：20260614
第 N 天,关键事件数
0000,111
0001,110
0002,116
0003,109
0004,95
0005,132
0006,100

# 开始日期：20260608
# 结束日期：20260614
第 N 天,总收入
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0

#  
# 开始日期：20260608
# 结束日期：20260614
第 N 天,活跃用户
0000,105
0001,103
0002,102
0003,104
0004,103
0005,109
0006,102

# 开始日期：20260608
# 结束日期：20260614
第 N 天,事件数
0000,803
0001,742
0002,757
0003,816
0004,688
0005,798
0006,682

# 开始日期：20260608
# 结束日期：20260614
第 N 天,关键事件数
0000,111
0001,110
0002,116
0003,109
0004,95
0005,132
0006,100

# 开始日期：20260608
# 结束日期：20260614
第 N 天,总收入
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0

#  
# 开始日期：20260608
# 结束日期：20260614
商品名称,已购买的商品数


#  
# 开始日期：20260608
# 结束日期：20260614
商品列表名称,已购买的商品数


#  
# 开始日期：20260608
# 结束日期：20260614
商品推广活动的名称,推广活动中获得浏览的商品数


#  
# 开始日期：20260608
# 结束日期：20260614
订单优惠券,购买收入
