# ----------------------------------------
# 电子商务购买: 商品名称
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260713
# 结束日期：20260719
商品名称,查看过的商品数,加入购物车的商品数,已购买的商品数,商品收入,跳出率,活跃用户,结账的商品数
F2319a-163cm(5.3ft) 53kg G Cup Big Butt Sex Doll BBW Super Fat Huge Ass with ROS Movable Jaw丨SY Doll,26,1,0,0,0,23,2
A499-84.92LB BBW Big Booty Sex Doll Torso Silicone | LoveNestle Series,23,0,0,0,0,20,0
A599 (83lb) BBW Sex Doll Torso Big Booty Doggy Style Sucking Doll Biggest Ass Best Sex Torso【IN STOC,22,0,0,0,0,19,0
F2384a- 163cm(5.3ft)-53kg G Cup S6 Best Big Ass Silicone Head Real BBW Sex Doll Booty丨SY Doll,17,0,0,0,0,17,0
A664-(37.5lb) Silicone Butt Sexy and Real Realistic Big Ass Sex Toys,11,1,0,0,0,7,1
"F2344a-151cm(4.9ft)-65kg T Cup Hips Over 155"" Jasmine BBW Biggest Ass Huge Breast Movable Jaw Sex Do",10,0,0,0,0,10,0
A303 11lb Silicone Big Butt Torso – Realistic & Lightweight Big Ass Sex Toy,9,0,0,0,0,9,0
A800-(34.94lb) Silicone Big Butt Ass Realistic Sex Doll Torso- Climax Doll,8,2,1,4394.89458,0,7,1
A512 (57.32lb) Big Ass Sex Torso Doggy Style 1:1 Life-Sized BBW Best Sex Torso,7,0,0,0,0,7,0
F4474k-163cm(5.3ft)-51kg H Cup BBW TPE Sex Doll with Big Asses丨WM Doll,7,0,0,0,0,7,0
F1618-163cm/5ft3-61kg G Cup Huge Booty sex doll toy Big Boobs Life Size BBW |Rosretty Doll,6,0,0,0,0,6,0
"F2319-163cm(5.3ft) 53kg G Cup Hips Over 140"" ROS Movable Jaw Full Size Sex Dolls Huge Ass Sex Doll丨S",5,0,0,0,0,3,0
A357-(27.5lb) Silicone Butt Sexy and Real Realistic Gel Big Booty Sex Doll Torso - Climax Doll,4,0,0,0,0,3,0
A599 (83lb) Coco Realistic TPE Female Mega Big Ass Sex Toy Ebony Chubby BBW,4,0,0,0,0,4,0
A660-Big Booty Sex Torso Realistic Big Ass Silicone 25lb Big Booty Sex Dolls Torso Ass,4,0,0,0,0,2,0
A782-25.35 lbs Silicone Big Butt Torso – Lightweight Realistic Big Ass,4,1,0,0,0,3,0
A797-(33.95lb) Silicone Big Butt  Torso Sex Doll Male Masturbator- Climax Doll,4,0,0,0,0,2,0
A798-(34.61lb) Silicone Hentai Doll Big Butt Realistic Sex Doll Torso- Climax Doll,4,0,0,0,0,2,0
F1990- 150cm(4.9ft)-42.5kg  M Cup Big Ass Great Breast TPE Ficking Sex Doll BBW丨WM Doll,4,0,0,0,0,4,0
"F311-163cm(5.3ft)-51kg H Cup Hips Over 110"" Dora Best BBW MILF Big Booty STPE Huge Ass Sex Doll【IN S",4,0,0,0,0,4,0
F4710a-150cm(4ft9)-45kg J Cup Lightweight Large Breast TPE Fat BBW Big Booty Sex Doll｜Doll Castle,4,0,0,0,0,2,0
F4758a-175cm(5ft9)-69kg X Cup Huge Breast Fat Thick Ass TPE SSBBW Chubby Sex Doll｜Doll Castle,4,0,0,0,0,3,0
F555a-161cm(5ft3)/52.5kg H Cup Huge Areola Adult Silicone BBW Super Fat Big Belly Sex Doll｜Starpery ,4,0,0,0,0,3,0
A323- 32lbs Huge Ass Sex Doll Torso Liquid Silicone Chubby Sex Doll Belly Butt Ultra-Soft,3,0,0,0,0,3,0
A599 (83lb) Coco Realistic TPE Female Mega Big Sex Butts Ebony Chubby BBW,3,0,0,0,0,3,0
A682-(19lb) Bigass Sexdoll Torso TPE 19lb Sucking Vibration Realistic Ass Best Sex Torsos,3,0,0,0,0,3,0
A781-17.6lb Silicone Big Butt Torso – Lightweight Realistic Big Ass,3,0,0,0,0,3,0
F1390-160cm D Cup World Cup Anya Bigass Sexdoll｜Irontech Doll,3,0,0,0,0,3,0
F2387a- 163cm(5.3ft) 53kg G Cup Sex Doll Big Ass  Doggy Style Realistic Silicone Head丨SY Doll,3,0,0,0,0,3,0
F2430a-158cm/5ft2 40kg X Cup BBS Lustina Weight Reduction Full Silicone SSBBW Sex Doll | Starpery Do,3,0,0,0,0,3,0
F4004a-161cm/5ft3(52.5kg) H Cup Best Fat Big Ass Breasts life size BBW Silicone Super Fat Big Belly ,3,0,0,0,0,3,0
F4708a-150cm(4ft9)-45kg J Cup Lightweight Large Breast Fat Ass TPE BBW Real Sex Doll｜Doll Castle,3,0,0,0,0,3,0
F4901-Climax Doll Ultra Thick Ass Sex Dolls USA Silicone 161cm 53kg【IN STOCK】,3,0,0,0,0,3,0
F555-161cm(5ft3)/52.5kg H Cup Huge Areola Adult Silicone BBW Sex Doll｜Starpery Doll,3,0,0,0,0,2,0
"P672-Vibrating Buttocks Sex Doll – Automatic Sucking Vibrating Pocket Pussy, Doggy Style 7.9lbs",3,0,0,0,0,3,0
A360-(27.5lb) Silicone Butt Sexy and Gel Big Booty Sex Doll Torso - Climax Doll,2,0,0,0,0,1,0
A461-27.87LB Silicone Sex Doll Torso Big Ass Masturbation Toy for Men | LoveNestle Series,2,0,0,0,0,2,0
A512 (57.32lb) Big Ass Sex Torso Doggy Style 1:1 Life-Sized BBW Big Sex Butts,2,0,0,0,0,2,0
A519 (28.4lb )Doggy Style Realistic Torso Sex Doll Silicone Ass torso sexdoll,2,0,0,0,0,2,0
A571 (19.4lb) Black BBW Big Ass Sex Doll Torso Doggy Style Fat Butt,2,0,0,0,0,2,0
A660-Big Booty Sex Torso Realistic Big Ass Silicone 25lb Elastic Butty,2,0,0,0,0,2,0
A793K-37.48lbs Big Ass Lifesize Butt Silicone Male Torso Sex Dolls Tessa【IN STOCK US/EU】 | YELOLY,2,0,0,0,0,2,0
A799-(31.86lb) Silicone Big Butt Realistic Sex Torso Toys- Climax Doll,2,0,0,0,0,1,0
F1248-164cm F Cup Shakira Best Big Ass Silicone Sex Doll｜Irontech Doll,2,0,0,0,0,1,0
F159-156cm  E Cup LUNA Big Round Ass Curvy TPE Sex Doll | Irontech Doll,2,0,0,0,0,2,0
F2336a-162cm/5ft3 F Cup Big Butt ROS Movable Jaw Charming BBW TPE Sex Doll Big Boobs |SY Doll,2,0,0,0,0,2,0
F2381-150cm/4ft9 G Cup #256 Big Ass TPE Mini BBW Sex Doll  [IN STOCK USA]|SY Doll,2,0,0,0,0,2,0
F2464-163cm(5.3ft)-40kg C Cup Amani Dark Realistic Silicone Head Look Alike Sex Dolls sex with sexua,2,1,0,0,0,1,0
F3519- 163cm(5.3ft)-51kg H Cup TPE SSBBW Sex Doll丨WM Doll,2,0,0,0,0,2,0
F4708-150cm(4ft9)-45kg J Cup Lightweight TPE BBW Life Sized Sex Doll｜Doll Castle,2,0,0,0,0,2,0
F4757-175cm(5ft9)-54kg X Cup Huge Tits Sex Doll Fat Thick Ass Pawg Sex Doll TPE｜Doll Castle,2,0,0,0,0,2,0
F5961a-150cm/4ft9 F Cup Big Ass SSBBW Plus Silicone Head+TPE Body Size Sex Dolls  [IN STOCK]|SY Doll,2,0,0,0,0,2,0
F7626- 163cm(5.3ft)-E Cup Great Huge Butt TPE Body+Silicone Head Black BBW Sex Doll For Men丨SY Doll,2,0,0,0,0,2,0
T289 - 79.37 lbs Lydia ROS Life Size Silicone sex doll bbw Torso with Head [In Stock USA& Europe] | ,2,0,0,0,0,2,0
T419(8.6lb)-Mini Sex Torso BBW Men's Masturbator Cheap Toy Booty For Sex Mini Plump Sex Doll,2,0,0,0,0,2,0
T501(25.3lb/45cm)Best Realistic Best Cheap BBW Torso Sex Dolls |Big Round Ass,2,0,0,0,0,2,0
T592(67.2lb) Black-BBW Sex Dolls｜Gel Breasts & Big Ass Ebony Sex Doll Torso【In Stock US/EU】|Climax D,2,1,0,0,0,1,0
T904(9.56lb)  6.88″ Dildo Electric Male Rechargeable Sex Doll  Ass Torso Adult Toys For Female,2,0,0,0,0,1,0
A23-24.3lbs-Silicone BBW Sex Doll Torso Life-Size Big Ass,1,0,0,0,0,1,0
A23-24.3lbs-Silicone BBW Sex Doll Torso Life-Size Big Big Sex Ass,1,0,0,0,0,1,0
A260-Lusandy Sex Dolls with Big Asses Silicone 22lb Sexy and Gel Butt Mini Sex Dolls【IN Stock US/EU】,1,0,0,0,0,1,0
A300-(46.3lb) Life-size Big Booty TPE Sex Torso Realistic Butt,1,0,0,0,0,1,0
A353-7.7LB-Silicone Meru Ass Torso Sex Doll | MRL,1,0,0,0,0,1,0
A354-10.6lbs Silicone Big Ass Chubby Sex Doll Giant【IN Stock US/EU】 | MRL,1,0,0,0,0,1,0
A410-(22lb) Chubby Sexy And Real Realistic Silicone Ass Realistic Torso Sex Doll,1,0,0,0,0,1,0
A437-38.8LB Silicone BBW Sex Doll Torso Big Ass Bubble Butt | LoveNestle Series,1,0,0,0,0,1,0
A550 (6.28lb)Fake Booty Pussy and Anal Mini Ass Doll Cheap Mens Sex Toys,1,0,0,0,0,1,0
A555-32lbs 32lb Sucking Sex Doll Torso Realistic Ass Robot Vibrating Best Sex Dolls Torso,1,0,0,0,0,1,0
A602-(19lb ) Black-Sexy and Real Realistic 3D Big Ass Sex Doll Torso,1,0,0,0,0,1,0
A647 - 17.6 lbs Scaly Fantasy Silicone Best Sex Torso Booty Alien Pussy Sex Toy Torso,1,0,0,0,0,1,0
"A679-Juicy TPE Sex Doll Butt Torso – Thick, Soft & Realistic 35lb Bubble Butt",1,0,0,0,0,1,0
A683-(24lb)Sexy And Real Realistic Ass Female Bigass SexDoll,1,0,0,0,0,1,0
A684-(41.8lb)Big Booty Sex Dolls Torso Realistic ssbbwsex,1,0,0,0,0,1,0
A805-8.5lb Realistic & Lightweight Big Ass Toy Silicone Butt Torso,1,0,0,0,0,1,0
F1004-159cm(5.2ft) K cup Caucaian TPE Custom BBW Huge Breasts sex doll for men｜Fun West Doll,1,0,0,0,0,1,0
F1220-160cm-46kg I Cup Celine Affordable BBW Silicone Full Body Sex Dolls｜Irontech Doll,1,0,0,0,0,1,0
F1221-160cm/46kg I Cup Celine big booty Ebony BBW Black Sex Doll life size｜Irontech Doll,1,0,0,0,0,1,0
F1222-160cm(46kg) I Cup Luna Big Ass Silicone Perky Boobs Sex BBW Sex Dolls｜Irontech Doll,1,0,0,0,0,1,0
F1308-160cm I Cup Penny Biggest Ebony Black BBW life size dolls｜Irontech Doll,1,0,0,0,0,1,0
F1370-158cm I Cup Rachel 2025 Best Black BBW Sex Doll｜Irontech Doll,1,0,0,0,0,1,0
F1449-153cm(5ft)-34kg H Cup Huge Breast Teen Sexy TPE Sex Doll【IN Stock USA】 |Aibei Doll,1,0,0,0,0,1,0
F160-Kelly 156cm  E Cup Soft Big Ass BBW TPE Latina Sex Doll| Irontech Doll,1,0,0,0,0,1,0
F1643-162cm/5ft3 F Cup Fat Best Realistic Big Booty TPE Robotic Powered Sex Doll Price [IN STOCK USA,1,0,0,0,0,1,0
F169-156cm/5ft1 E cup Selina Big Ass BBW Mature Looking TPE Sex Doll| Irontech Doll,1,0,0,0,0,1,0
F170-156cm/5ft1 48kg E Cup Sarah Huge Big Butt TPE BBW Sex Doll Hotest MILF| Irontech Doll,1,0,0,0,0,1,0
F1712a-168cm/5ft5 H Cup BBW Realistic Silicone Japanese Grany Super Fat Big Belly Sex Doll | Starper,1,0,0,0,0,1,0
F172-156cm/5ft 1 48kg E Cup Catalina Curvy Big Ass TPE Mother Sex Doll|Irontech Doll,1,0,0,0,0,1,0
F173-156cm E Cup Giant Big Butt Chubby Sex Doll | Irontech Doll,1,0,0,0,0,1,0
F1987- 150cm(4.9ft)-42.5kg M Cup Lacey  Great Big Ass Huge Breasts TPE Chubby Sex Doll丨WM Doll,1,0,0,0,0,1,0
F1988k-150cm(4.9ft)-42.5kg M Cup BBW Bubble Butt STPE pawg sex doll【IN STOCK USA】丨WM Doll,1,0,0,0,0,1,0
F1989- 150cm(4.9ft)-42.5kg  M Cup BBW Best Big Ass TPE Chubby Sex Doll 丨WM Doll,1,0,0,0,0,1,0
F1992- 150cm(4.9ft)-42.5kg  M Cup Top BBW Huge Ass Tits Fantasy Elf Anime TPE Sex Doll 丨WM Doll,1,0,0,0,0,1,0
F2015- 162cm(5.3ft)-35kg E Cup Irina MILF Life Size Sex doll cheap Sex Doll丨WM Doll,1,0,0,0,0,1,0
F2039- 164cm(5.4ft)-33kg F Cup Asian TPE Female Sex Dolls丨WM Doll,1,0,0,0,0,1,0
F2041- 164cm(5.4ft)-34kg J Cup Barge Breasts TPE Sex Doll Latina|WM Doll,1,0,0,0,0,1,0
F2042- 164cm(5.4ft)-34kg J Cup MILF TPE AI porn sex bot丨WM Doll,1,0,0,0,0,1,0
F2127- 173cm(5.7ft)-45kg H Cup BBW Bubble Butt Shemale Fucks Sex Doll丨WM Doll,1,0,0,0,0,1,0
F2130- 173cm(5.7ft) -45kg H Cup BBW Big Butt TPE Sex Doll丨WM Doll,1,0,0,0,0,1,0
F2131- 173cm(5.7ft) -45kg H Cup BBW Big Booty TPE Full Size Sex Dolls丨WM Doll,1,0,0,0,0,1,0
F2173-170cm（5.6ft）-43kg D Cup Zara  Life-Size Silicone Sex Doll｜Real Lady,1,0,0,0,0,1,0
F233 -176cm/ 5ft9-40kg Premium Sexy Renovation Worker Silicone Male Sex Doll -Irontech Doll,1,0,0,0,0,1,0
F234-176cm/ 5ft9-40kg Street Fighter Femboy Silicone Male Anime Sex Doll -Irontech Doll,1,0,0,0,0,1,0
F2382-150cm/4ft9 G Cup #251 Top Realistic Big Thick Booty TPE Mini Sex Doll   |SY Doll,1,0,0,0,0,1,0
F2383-157cm/5ft1-52kg H Cup #114 Great Fat Huge Ass TPE BBW Sex Doll  |SY Doll,1,0,0,0,0,1,0
F2384- 163cm(5.3ft)-53kg G Cup S6 Best Big Ass Silicone Head Real BBW Sex Doll Booty 丨SY Doll,1,0,0,0,0,1,0
F2385- 163cm(5.3ft)- G Cup #138 Great BBW Huge Butt TPE BBW Sex Doll With Robot 丨SY Doll,1,0,0,0,0,1,0
F2386- 165cm(5.4ft)-54kg G Cup #272 Big Butt Boobs TPE BBW Sex Doll 丨SY Doll,1,0,0,0,0,1,0
F2545-164cm F Cup Ebony Suntan Big Boobs Silicone Sex Doll｜Irontech Doll,1,0,0,0,0,1,0
F2568-153cm/5ft F Cup ROS MAX Asian Big Ass Silicone hyper realistic sex doll｜Irontech Oriental,1,0,0,0,0,1,0
F2589-164cm F Cup ROS-MAX Ebony Suntan Big Boobs Silicone Realistic Sex Dolls ｜Irontech Doll,1,0,0,0,0,1,0
F3074—164cm/33.8kg G cup Silicone Head (Movable Jaw) + SLE Body Medium butt Sex Doll| Zelex Doll,1,0,0,0,0,1,0
F3083—160cm/5ft3-37.2kg J Cup Big Breast Silicone BBW Sex Doll(ZELEX SLE )｜Zelex Doll,1,0,0,0,0,1,0
F3316-160cm/5ft2(39.5kg) G Cup TPE Adult Big Chest Curve Beauty Sex Doll | YL Doll,1,0,0,0,0,1,0
F3342-167cm/5ft5(43kg) B Cup TPE Sexy Woman Adult Reality Sex Doll | YL Doll,1,0,0,0,0,1,0
F3353-168cm/5ft5(36kg) B Cup TPE Sexy Girl Skinny Naked Sex Doll Flat Chest | YL Doll,1,0,0,0,0,1,0
F3365-170cm/5ft6(37kg) Rosalia D Cup TPE Sexy Woman Skinny Lightweight Sex Doll | YL Doll,1,0,0,0,0,1,0
F339-166cm(5ft5)-33kg C Cup Lucy Real MILF Blonde Life Size TPE Sex Doll | WM Doll,1,0,0,0,0,1,0
F3554- 164cm(5.4ft)-34kg J Cup MILF European Realistic Shemale Sex Doll丨WM Doll,1,0,0,0,0,1,0
F3584- 159cm(5.2ft) -36kg C Cup Asian TPE Sex Doll丨WM Doll,1,0,0,0,0,1,0
F3708-161cm(5.3ft)-35kg Debby F Cup TPE Young Sexy Blonde Girl Love Doll｜SE Doll,1,0,0,0,0,1,0
F3812-153cm/5ft 37kg H Cup Big breasts big Ass TPE Sex Doll | HR Doll,1,0,0,0,0,1,0
F3901-163cm(5.3ft)-37kg Winola E Cup TPE European Sexy Large Breasts AI Sex Doll｜SE Doll,1,0,0,0,0,1,0
F4004-161cm/5ft3(52.5kg) H Cup Best Fat Big Ass Breasts Silicone BBW Sex Doll 【IN Stock-USA】| Starpe,1,0,0,0,0,1,0
F4036a-150cm-40kg J Cup Large Ass Lightweight TPE Life Size BBW Sex Doll｜Doll Castle,1,0,0,0,0,1,0
F408-160cm(5.2ft)-34kg A Cup Petite Asian TPE Medium butt Sex Doll丨WM Doll,1,0,0,0,0,1,0
F4092K-153cm/45kg Q Cup Full Silicone SSBBW Biggest Sex Doll BBW【IN Stock US】｜Doll Castle,1,0,0,0,0,1,0
F4093-153cm/45kg Q Cup Full Silicone SSBBW Thick Ass Hentai Biggest Plus Size BBW Sex Doll｜Doll Cast,1,0,0,0,0,1,0
F4297- 165cm(5.5ft)-34kg D Cup Asian TPE Sex Doll丨WM Doll,1,0,0,0,0,1,0
F4374- 150cm(4.9ft)-42.5kg M Cup Carmen Best Huge Butt TPE ssbbw sex doll丨WM Doll,1,0,0,0,0,1,0
F4395- 166cm(5.5ft)-33kg C Cup Blonde TPE Sex Doll丨WM Doll,1,0,0,0,0,1,0
F4402- 155cm(5.1ft)-27kg  A Cup Blonde TPE Sex Doll丨WM Doll,1,0,0,0,0,1,0
F4479-158cm/5ft2-31kg C Cup Realistic Silicone Bunny-girl Maid Japanese Sex Doll | SY Doll,1,0,0,0,0,1,0
F4564-150cm/4ft9 E Cup Fat TPE Big Ass giant sex doll full size realistic sex doll |SY Doll,1,0,0,0,0,1,0
F4574-170cm/5ft7-38kg 2026 Realistic Black Ebony Male Sex Doll with Big Dick-Muscular Tough Guy | Ir,1,0,0,0,0,1,0
F4612-177cm/5ft10-55kg full size male sex doll Femboy Sex Doll Porn - Qita doll,1,0,0,0,0,1,0
F4616-177cm/5ft10-55kg Femboy Full Size Sex Doll Asian Male - Qita doll,1,0,0,0,0,1,0
F4619-170cm/5ft7-44kg Lifelike Male Sex Doll - Realistic Full Silicone Gay Doll with 6.69in Penis | ,1,0,0,0,0,1,0
F4620-167cm/5ft6-47kg Jonathan Femboy Full Size Male Sex Doll - HR doll,1,0,0,0,0,1,0
F4623-170cm/5ft7-48kg Femboy Full Size Sex With TPE Male Sex Doll | 6YE doll,1,0,0,0,0,1,0
F4712-150cm(4ft9)-45kg J Cup Lightweight Large Breast Fat Ass TPE Fat sex doll bbw｜Doll Castle,1,0,0,0,0,1,0
F4871-162cm/5ft4-51kg  F Cup Chubby Silicone SSBBW Sex Doll | Irontech Doll,1,0,0,0,0,1,0
F4918-150cm(4ft9)-26.2kg B Cup Small Breast TPE Sex Doll | Aibei Doll,1,0,0,0,0,1,0
F4949-159cm(5f2)-52kg O Cup Chubby Realistic TPE Huge Tit Sex Doll  | Aibei Doll,1,0,0,0,0,1,0
F5479-164cm/5ft4 36kg  C Cup TPE+silicone Sex Doll |SY Doll,1,0,0,0,0,1,0
