国家/地区,点击次数,展示,点击率,排名
美国,152,1726,8.81%,7.23
印度,54,419,12.89%,5.5
印度尼西亚,14,249,5.62%,5.71
菲律宾,13,378,3.44%,5.88
马来西亚,12,226,5.31%,5.27
越南,10,194,5.15%,7.4
英国,7,103,6.8%,11.83
加拿大,6,108,5.56%,6.81
澳大利亚,5,91,5.49%,8.78
新加坡,4,81,4.94%,3.96
比利时,4,32,12.5%,21.34
波兰,4,14,28.57%,16.93
德国,3,56,5.36%,33.3
孟加拉,3,33,9.09%,7.21
墨西哥,3,21,14.29%,18.81
乌兹别克斯坦,3,17,17.65%,6.35
荷兰,2,64,3.12%,21.06
巴西,2,47,4.26%,13.98
泰国,2,38,5.26%,10.61
巴基斯坦,2,15,13.33%,3.53
罗马尼亚,2,14,14.29%,5.29
牙买加,2,7,28.57%,6.57
法国,1,53,1.89%,28.34
南非,1,45,2.22%,4.89
爱沙尼亚,1,40,2.5%,18.05
瑞典,1,39,2.56%,27.08
俄罗斯,1,27,3.7%,11
挪威,1,20,5%,6.35
丹麦,1,17,5.88%,10.41
韩国,1,17,5.88%,11.71
奥地利,1,13,7.69%,27.62
意大利,1,12,8.33%,21.33
台湾,1,10,10%,11.3
新西兰,1,9,11.11%,5.44
西班牙,1,9,11.11%,19.56
阿塞拜疆,1,7,14.29%,4.71
伊拉克,1,6,16.67%,6.33
约旦,1,6,16.67%,7.5
哈萨克斯坦,1,5,20%,4.6
摩尔多瓦,1,4,25%,8.25
拉脱维亚,1,2,50%,8.5
巴勒斯坦,1,1,100%,2
亚美尼亚,1,1,100%,5
未知地区,1,1,100%,6
土耳其,0,21,0%,4.05
瑞士,0,20,0%,5.75
匈牙利,0,16,0%,9.06
日本,0,12,0%,10.25
尼泊尔,0,11,0%,4.45
中国香港,0,11,0%,5.36
芬兰,0,11,0%,12.82
埃及,0,10,0%,15.1
爱尔兰,0,9,0%,5.11
阿拉伯联合酋长国,0,8,0%,5.88
捷克,0,8,0%,6.62
蒙古,0,8,0%,7.25
以色列,0,8,0%,16.5
斯洛伐克,0,6,0%,5
格鲁吉亚,0,6,0%,6.5
波多黎各,0,6,0%,6.67
伊朗,0,6,0%,6.83
阿尔及利亚,0,6,0%,7.67
葡萄牙,0,6,0%,7.67
智利,0,6,0%,13.5
尼日利亚,0,5,0%,3.4
克罗地亚,0,5,0%,6.2
阿曼,0,5,0%,7.6
塞浦路斯,0,5,0%,8.4
卡塔尔,0,4,0%,5
保加利亚,0,4,0%,6
希腊,0,4,0%,6.75
柬埔寨,0,4,0%,7.75
苏里南,0,4,0%,8.5
中国,0,4,0%,9.25
乌克兰,0,4,0%,11.5
圭亚那,0,3,0%,3
斯里兰卡,0,3,0%,5.67
缅甸,0,3,0%,6.67
塞尔维亚,0,3,0%,7
委内瑞拉,0,3,0%,20
立陶宛,0,3,0%,33
科威特,0,2,0%,2
卢森堡,0,2,0%,2
津巴布韦,0,2,0%,3
巴拉圭,0,2,0%,4.5
文莱,0,2,0%,5
多米尼加,0,2,0%,6
冰岛,0,2,0%,6
马耳他,0,2,0%,6
特立尼达和多巴哥,0,2,0%,6
突尼斯,0,2,0%,6
博茨瓦纳,0,2,0%,9
多米尼加共和国,0,2,0%,9
摩洛哥,0,2,0%,9
肯尼亚,0,2,0%,18
阿根廷,0,2,0%,20.5
波斯尼亚和黑塞哥维那,0,1,0%,2
赞比亚,0,1,0%,3
阿富汗,0,1,0%,6
阿尔巴尼亚,0,1,0%,6
哥伦比亚,0,1,0%,6
埃塞俄比亚,0,1,0%,6
乌拉圭,0,1,0%,6
吉尔吉斯斯坦,0,1,0%,7
美属萨摩亚,0,1,0%,8
塔吉克斯坦,0,1,0%,8
洪都拉斯,0,1,0%,10
巴拿马,0,1,0%,29
安道尔,0,1,0%,60
