国家/地区,点击次数,展示,点击率,排名
美国,18,172,10.47%,13.02
印度尼西亚,2,37,5.41%,16.89
泰国,1,23,4.35%,20.74
马来西亚,1,14,7.14%,10
俄罗斯,1,2,50%,5.5
印度,0,29,0%,8.59
荷兰,0,22,0%,73.05
新加坡,0,12,0%,12.08
菲律宾,0,11,0%,10.36
澳大利亚,0,11,0%,21.36
法国,0,11,0%,64.36
加拿大,0,10,0%,13.8
越南,0,10,0%,16.6
英国,0,10,0%,29.1
德国,0,7,0%,55
比利时,0,7,0%,72.57
奥地利,0,5,0%,58.6
尼泊尔,0,3,0%,4
韩国,0,3,0%,6
瑞士,0,3,0%,43.33
瑞典,0,2,0%,4.5
新西兰,0,2,0%,5
芬兰,0,2,0%,6.5
波兰,0,2,0%,8
葡萄牙,0,2,0%,8
哥伦比亚,0,2,0%,10
挪威,0,2,0%,10
柬埔寨,0,2,0%,17.5
巴西,0,2,0%,32.5
阿拉伯联合酋长国,0,1,0%,2
尼日利亚,0,1,0%,5
阿根廷,0,1,0%,6
中国,0,1,0%,6
中国香港,0,1,0%,7
希腊,0,1,0%,8
匈牙利,0,1,0%,8
以色列,0,1,0%,8
土耳其,0,1,0%,8
丹麦,0,1,0%,9
伊朗,0,1,0%,9
秘鲁,0,1,0%,9
台湾,0,1,0%,9
文莱,0,1,0%,10
西班牙,0,1,0%,13
埃及,0,1,0%,17
巴拉圭,0,1,0%,25
阿曼,0,1,0%,34
罗马尼亚,0,1,0%,41
南非,0,1,0%,41
