# ----------------------------------------
# 电子商务购买: 商品名称
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260713
# 结束日期：20260719
商品名称,查看过的商品数,加入购物车的商品数,已购买的商品数,商品收入,跳出率,活跃用户,结账的商品数
F4357-166cm(5f4)-41kg H Cup robotic TPE best sex robot | Aibei Doll,6,0,0,0,0,1,0
F9411-170cm(5.6ft)-51kg 2.0+ F Cup Silicone Head Affordable Sex Dolls｜Aitia Doll,5,0,0,0,0,5,0
F1871K-159cm-37kg A Cup TPE Alice Cosplay Anime Sex Doll-Realistic Japanese Sex Dolls｜Fun West Doll,4,0,0,0,0,3,0
F744—157cm/5ft2-34kg D Cup Silicone Asian Realistic Sex Doll with ROS Head | TOP-CYDOLL,4,0,0,0,0,4,0
F8614—164cm/5ft4-38.75kg I Cup Aisan Silicone Huge Breast Sex Doll Ruby- Firefly Diary Max,4,0,0,0,0,4,0
F9388- 168cm(5.6ft) 39kg B Cup Silicone Life Sized Asian Doll Naked丨ZELEX Doll K Series,4,0,0,0,0,4,0
F2254-162cm(5.3ft) A Cup S44 Small Breat Sex Doll｜Irontech Doll,3,0,0,0,0,1,0
F9414-151cm/4ft11-29kg Silicone Anime Hentai Sex Doll | Elsa Babe,3,0,0,0,0,3,0
F2233-150cm/4ft9 A Cup Small Flat Chested Sex Doll TPE Best Affordable [IN STOCK USA] |SY Doll,2,0,0,0,0,2,0
F2351-152cm(5ft）D Cup Petite White Lily TPE Chinese Sex Doll Asian｜Fun West Doll,2,0,0,0,0,2,0
F2577-171cm(5.6ft)-37.5kg D Cup ROS-MAX Silicone Life Size Sex Dolls｜Irontech Doll,2,0,0,0,0,2,0
F3442-153cm-34kg H Cup Sucking Vagina  Silicone Head Lifelike Robot Teen Sex Doll | Aibei Doll,2,0,0,0,0,2,0
F3756K-165cm(5ft4)-33kg C Cup Silicone Sexy Realistic Adult Women Sex Doll【IN Stock US/EU】 | SE Doll,2,0,0,0,0,1,0
F5002-160cm/5ft3 D Cup Umi Asian Uniform Silicone Sex Doll | JX Doll,2,0,0,0,0,1,0
F5023-170cm/5ft6 D Cup Yuma Asian Silicone Sex Doll｜JX Doll,2,0,0,0,0,2,0
F5080 Umi-160cm/5ft3 D Cup Straight Long Hair Japanese Silicone Sex Doll | JX Doll,2,0,0,0,0,2,0
F8200-167cm(5ft6)-35kg E Cup AB30 with ROS Silicone Sex Doll | Aibei Doll Luxe,2,0,0,0,0,1,0
T3-(8.04lb/1.3ft)Papaya Breast Mini Sexdoll Torso | New Sex Doll,2,0,0,0,0,1,0
A260-Lusandy Sex Dolls with Big Asses Silicone 22lb Sexy and Gel Butt Mini Sex Dolls【IN Stock US/EU】,1,0,0,0,0,1,0
F1208-153cm/5ft F Cup Candy Big Boobs Asian Silicone Sex Doll｜Irontech Doll,1,0,0,0,0,1,0
F1215-153cm/5ft F Cup Miyuki Silicone Asian Sex Dolls ｜Irontech Doll,1,0,0,0,0,1,0
F1276-166cm-37.5kg D Cup Misa Asian Silicone Realistic Teen Sex Doll [IN STOCK USA]｜Irontech Doll,1,0,0,0,0,1,0
F1311-164cm F Cup Miya Big Boobs Silicone Sex Doll｜Irontech Doll,1,0,0,0,0,1,0
F1313-164cm F Cup Miku Big Boobs Silicone Sex Doll｜Irontech Doll,1,0,0,0,0,1,0
F1411K-158cm(5f2)-33kg E Cup Alien Blue Elves TPE Sex Doll Alien【IN STOCK USA】 |Aibei Doll,1,0,0,0,0,1,0
F1429-158cm(5f2) 31.25kg C Cup Medium Breast TPE Sex Doll | Aibei Doll,1,0,0,0,0,1,0
F1560-165cm/5ft4(34.7kg) Full Silicone Sexy Chinese Robot Sex Dolls | Elsa Babe,1,0,0,0,0,1,0
F1595-159cm/5ft2 E Cup Silicone Sex Doll｜Starpery Doll,1,0,0,0,0,1,0
F1622-166cm/5ft4 C Cup Realistic Black Skin Silicone Head Celebrity Sex Dolls And Robots |Rosretty D,1,0,0,0,0,1,0
F1720-151cm/4ft9 B Cup Petite Asian Teen Silicone Sex Doll｜Starpery Doll,1,0,0,0,0,1,0
F1860K-164cm(5ft4) 89.3lbs G Cup Dark Skin Ebony Black Sex Doll｜Irontech Doll,1,0,0,0,0,1,0
F1955K-157cm G Cup Policewoman TPE Sex Doll｜Fun West Doll,1,0,0,0,0,1,0
F1963K-175cm(5.7ft) 87.1lbs E Cup Lola Curly Hair Black Best Ebony Sex Doll｜Irontech Doll,1,0,0,0,0,1,0
F1964K-175cm(5.7ft) 39.5kg E Cup Rachel Black ebony realistic TPE Sex Doll｜Irontech Doll,1,0,0,0,0,1,0
F2079-165cm 5ft4 F Cup S40 Silicone Chinese Sex Doll [IN STOCK USA]｜Irontech Doll,1,0,0,0,0,1,0
F2181- 168cm(5.5ft)-41kg Harper.A F Cup TPE Big Tits Futurism Young Adults AI Robot Sex Doll｜SE Doll,1,0,0,0,0,1,0
F2223-169cm(5ft5) B Cup Full Silicone Flat Chest Japanese Sex Doll｜Irontech Doll,1,0,0,0,0,1,0
F2231- 161cm(5.3ft) G Cup 92# Large Tits Silicone Head Sex Doll丨SY Doll,1,0,0,0,0,1,0
F2238-152cm(5ft）D Cup White Amy TPE Petite Mini Asian Sex Doll – Realistic Silicone Body for Ultimat,1,0,0,0,0,1,0
F2241-159cm(5.2ft) F Cup S5 Silicone Sex Doll｜Irontech Doll,1,0,0,0,0,1,0
F2246-159cm(5.2ft) F Cup S44 Doll X Sex Robot Silicone Sex Doll｜Irontech Doll,1,0,0,0,0,1,0
F2247-159cm(5.2ft)/45kg F Cup S45 Real Life Silicone Sex Doll｜Irontech Doll,1,0,0,0,0,1,0
F2342- 161cm(5ft3)-35kg Skyler F Cup TPE Redhead European Sexy Girl Big Boobs Sex Doll | SE Doll,1,0,0,0,0,1,0
F2357-162cm(5.3ft) A Cup Human Skin Texture Silicone Head TPE Sex Doll｜Irontech Doll,1,0,0,0,0,1,0
F2378-162cm(5.3ft) A Cup Small Breat Young Blond Sex Doll｜Irontech Doll,1,0,0,0,0,1,0
F2404-164cm F Cup S38 Realistic Best Robotic Silicone Sex Doll｜Irontech Doll,1,0,0,0,0,1,0
F2405-166cm D Cup S32 Asian Teen Silicone Sex Doll [IN STOCK USA]｜Irontech Doll,1,0,0,0,0,1,0
