国家/地区,点击次数,展示,点击率,排名
美国,254,1659,15.31%,5.7
英国,18,126,14.29%,12.21
印度,16,74,21.62%,10.04
加拿大,13,85,15.29%,4.34
澳大利亚,12,77,15.58%,8.32
荷兰,4,29,13.79%,11.03
德国,3,40,7.5%,16.9
挪威,3,18,16.67%,6.5
法国,3,18,16.67%,11.72
新西兰,3,11,27.27%,3.91
巴西,2,23,8.7%,7.83
希腊,2,14,14.29%,6.29
马来西亚,2,13,15.38%,5.92
爱尔兰,2,9,22.22%,4.11
印度尼西亚,2,8,25%,9.38
立陶宛,2,5,40%,3.2
墨西哥,1,22,4.55%,6.68
南非,1,16,6.25%,4.25
瑞典,1,12,8.33%,5.42
伊朗,1,11,9.09%,5.64
西班牙,1,10,10%,5.5
菲律宾,1,10,10%,10.2
比利时,1,10,10%,24.7
波兰,1,9,11.11%,5.89
以色列,1,6,16.67%,7.83
智利,1,5,20%,4.6
罗马尼亚,1,4,25%,3.25
阿根廷,1,4,25%,7
拉脱维亚,1,3,33.33%,2.67
巴拉圭,1,3,33.33%,4.33
秘鲁,1,3,33.33%,5
尼泊尔,1,2,50%,1.5
特立尼达和多巴哥,1,2,50%,8.5
多米尼加,1,1,100%,2
吉尔吉斯斯坦,1,1,100%,2
毛里求斯,1,1,100%,2
匈牙利,0,10,0%,5.5
芬兰,0,9,0%,11
意大利,0,7,0%,6.29
日本,0,7,0%,6.57
土耳其,0,7,0%,6.57
韩国,0,6,0%,6.17
俄罗斯,0,6,0%,6.83
丹麦,0,6,0%,7.33
越南,0,6,0%,7.67
瑞士,0,6,0%,16
乌克兰,0,5,0%,6.8
沙特阿拉伯,0,5,0%,8.4
新加坡,0,4,0%,3.25
泰国,0,4,0%,12.5
安提瓜和巴布达,0,3,0%,1
中国香港,0,3,0%,4.67
斯里兰卡,0,3,0%,10
巴哈马,0,2,0%,1
阿尔及利亚,0,2,0%,1.5
肯尼亚,0,2,0%,1.5
尼日利亚,0,2,0%,2.5
斯洛伐克,0,2,0%,3.5
阿尔巴尼亚,0,2,0%,4
乌拉圭,0,2,0%,4
牙买加,0,2,0%,4.5
埃及,0,2,0%,5
捷克,0,2,0%,6
洪都拉斯,0,2,0%,6
格鲁吉亚,0,2,0%,6.5
不丹,0,2,0%,9
伊拉克,0,2,0%,10
埃塞俄比亚,0,2,0%,14
塞浦路斯,0,1,0%,1
索马里,0,1,0%,1
阿拉伯联合酋长国,0,1,0%,2
摩洛哥,0,1,0%,2
波多黎各,0,1,0%,2
奥地利,0,1,0%,3
马达加斯加,0,1,0%,3
葡萄牙,0,1,0%,3
萨尔瓦多,0,1,0%,3
中国,0,1,0%,5
古巴,0,1,0%,5
多米尼加共和国,0,1,0%,5
厄瓜多尔,0,1,0%,5
阿曼,0,1,0%,6
保加利亚,0,1,0%,7
突尼斯,0,1,0%,9
