国家/地区,点击次数,展示,点击率,排名
美国,36,365,9.86%,9.38
加拿大,4,11,36.36%,4.64
英国,1,12,8.33%,6.42
印度,1,7,14.29%,8.57
爱尔兰,1,2,50%,6.5
以色列,1,1,100%,3
波多黎各,1,1,100%,6
莱索托,1,1,100%,12
澳大利亚,0,30,0%,8.9
荷兰,0,11,0%,54.18
南非,0,7,0%,5.14
法国,0,7,0%,41
比利时,0,5,0%,68
德国,0,4,0%,23.75
马拉维,0,3,0%,6
俄罗斯,0,2,0%,4
菲律宾,0,2,0%,4.5
捷克,0,2,0%,6
孟加拉,0,2,0%,13.5
阿根廷,0,2,0%,25
安道尔,0,1,0%,1
芬兰,0,1,0%,1
乌干达,0,1,0%,1
马达加斯加,0,1,0%,2
罗马尼亚,0,1,0%,2
瑞典,0,1,0%,4
西班牙,0,1,0%,5
韩国,0,1,0%,5
埃塞俄比亚,0,1,0%,6
新加坡,0,1,0%,7
加纳,0,1,0%,8
波兰,0,1,0%,10
沙特阿拉伯,0,1,0%,10
中国,0,1,0%,12
牙买加,0,1,0%,12
阿拉伯联合酋长国,0,1,0%,14
哥伦比亚,0,1,0%,18
挪威,0,1,0%,18
泰国,0,1,0%,26
