# ----------------------------------------
# 电子商务购买: 商品名称
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260706
# 结束日期：20260712
商品名称,查看过的商品数,加入购物车的商品数,已购买的商品数,商品收入,跳出率,活跃用户,结账的商品数
F5968-158cm/5ft2 33kg C Cup Realistic Black Skin Silicone Head Sex Doll | Rosretty Doll,24,0,0,0,0,17,0
F7626- 163cm(5.3ft)-E Cup Great Huge Butt TPE Body+Silicone Head Black BBW Sex Doll For Men丨SY Doll,20,0,0,0,0,18,0
F5150-163cm D Cup ROS Hottie Ebony Black Silicone Best AI Sex Doll | Galatea doll,12,1,0,0,0,12,0
F1970K-164cm F Cup Lottie Big Tits Realistic Silicone Black Sex Doll｜Irontech Doll,10,0,0,0,0,8,0
F704-161cm(5ft3)-33kg E Cup Penny Black Silicone Realistic Sex Doll | Irontech Doll,9,0,0,0,0,7,0
F1308-160cm I Cup Penny Biggest Ebony Black BBW life size dolls｜Irontech Doll,8,0,0,0,0,7,0
F7568—157cm/5ft2-54kg K Cup TPE Body + Silicone Head Black BBW Sex Doll | LilyDoll,8,0,0,0,0.125,6,0
F5538-161cm(5ft3)-33kg E Cup Black Robot Silicone Sex Doll ｜Irontech Doll,6,0,0,0,0,6,0
T592(67.2lb) Black-BBW Sex Dolls｜Gel Breasts & Big Ass Ebony Sex Doll Torso【In Stock US/EU】|Climax D,6,0,0,0,0,5,0
F222-Daria 164cm/5ft4 Black TPE Adult Love Realistic Ebony black female Sex Doll |Irontech Doll,5,0,0,0,0,4,0
F3207-164cm F Cup S40 Big Booty Wheat Silicone Full Size Sex Doll [IN STOCK USA]｜Irontech Doll,5,0,0,0,0,5,0
F706-161cm(5ft3)-33kg E Cup Penny Dark Tanned Silicone Sex Doll | Irontech Doll,5,0,0,0,0,5,0
F8122k-154cm(5ft1)-32.4kg C Cup Silicone Head Oral Black Flat Chested Sex Doll Celebrity【IN Stock US,5,0,0,0,0,5,0
F8144-150cm(4.9ft)-27.6kg F Cup Black Silicone Sex Dolls Robot ｜Real Lady,5,1,0,0,0,2,0
