# ----------------------------------------
# linkdolls-new - GA4
# 点击率1-点击数（过滤亚洲）-自由形式 1
# 20260309-20260315
# ----------------------------------------

Click_URL,事件数,活跃用户
,9,4,总计
https://linkdolls.com/en-ca/products/a418-8lb-sexy-and-real-fat-lady-ass-realistic-chubby-sex-doll-t,2,2
https://linkdolls.com/en-ca/products/52516-1lb-53cm-premium-shemale-boys-male-sex-dolls-torso-for-wo,1,1
https://linkdolls.com/en-ca/products/a599-83lb-coco-sucking-doggy-style-bbw-big-booty-sex-doll-torso,1,1
https://linkdolls.com/en-ca/products/d054-9-69-black-male-torso-tpr-dildo-shemale-hentai-monster-ten,1,1
https://linkdolls.com/en-ca/products/male-ass-with-big-dildo,1,1
https://linkdolls.com/en-ca/products/t230-big-breast-torso-dildo-bisexual-torso,1,1
https://linkdolls.com/en-ca/products/t267-big-coke-male-sex-dolls-torso-dildo-for-women,1,1
https://linkdolls.com/en-ca/products/t90221-49lb-d-cup-2-95-dildo-electric-shemale-male-female-recha,1,1

