国家/地区,点击次数,展示,点击率,排名
美国,43,228,18.86%,3.97
加拿大,6,27,22.22%,2.52
英国,6,23,26.09%,19.78
意大利,3,7,42.86%,3.29
荷兰,2,5,40%,4.8
印度,1,8,12.5%,3.38
日本,1,4,25%,4.75
越南,1,3,33.33%,4
巴基斯坦,1,2,50%,1
新加坡,1,2,50%,1.5
西班牙,1,2,50%,4.5
葡萄牙,1,2,50%,4.5
德国,0,16,0%,7.19
马来西亚,0,10,0%,4.4
澳大利亚,0,7,0%,4.86
泰国,0,6,0%,5.17
菲律宾,0,5,0%,5
芬兰,0,4,0%,6
瑞典,0,3,0%,1
波兰,0,3,0%,2
韩国,0,3,0%,2.33
法国,0,3,0%,3
爱尔兰,0,3,0%,3.33
印度尼西亚,0,3,0%,4
巴西,0,3,0%,5
罗马尼亚,0,3,0%,9.33
伊拉克,0,2,0%,1
挪威,0,2,0%,2
保加利亚,0,2,0%,4
智利,0,2,0%,5
奥兰群岛,0,2,0%,9
奥地利,0,2,0%,9
中国香港,0,1,0%,1
巴拿马,0,1,0%,1
南非,0,1,0%,1
比利时,0,1,0%,3
乌克兰,0,1,0%,7
黎巴嫩,0,1,0%,8
俄罗斯,0,1,0%,8
土耳其,0,1,0%,8
孟加拉,0,1,0%,9
巴拉圭,0,1,0%,9
