# ----------------------------------------
# linkdolls-new - GA4
# 点击率1-点击数（过滤亚洲）-自由形式 1
# 20260316-20260322
# ----------------------------------------

Click_URL,事件数,活跃用户
,30,15,总计
https://linkdolls.com/en-ca/collections/porn-celebrities,5,5
https://linkdolls.com/en-ca/products/f5834k-168cm-5ft5-35kg-f-cup-silicone-realistic-sex-doll-in-sto,3,3
https://linkdolls.com/en-ca/collections/gaming-celebrities,2,2
https://linkdolls.com/en-ca/products/t925-111cm3ft7-27-4kg-k-cup-silicone-head-movable-jaw-sle-body-,2,2
https://linkdolls.com/en-ca,1,1
https://linkdolls.com/en-ca/collections/full-doll,1,1
https://linkdolls.com/en-ca/collections/movie-music-celebrities,1,1
https://linkdolls.com/en-ca/collections/sex-doll-torso-with-head,1,1
https://linkdolls.com/en-ca/products/f1301-168cm-b-cup-luna-coser-sex-doll-irontech-doll,1,1
https://linkdolls.com/en-ca/products/f2053-166cm5-5ft-33kg-c-cup-slim-thin-with-small-boobs-stpe-sex,1,1
https://linkdolls.com/en-ca/products/f2464-163cm5-3ft-40kg-c-cup-amani-dark-realistic-silicone-head-,1,1
https://linkdolls.com/en-ca/products/f2465-163cm5-3ft-40kg-c-cup-amani-natural-realistic-silicone-he,1,1
https://linkdolls.com/en-ca/products/f3410-150cm4ft9-26-2kg-b-cup-small-breast-tpe-sex-doll-aibei-do,1,1
https://linkdolls.com/en-ca/products/f4654-174cm-g-cup-blonde-hair-british-silicone-sex-doll-starper,1,1
https://linkdolls.com/en-ca/products/f4755-163cm-40kg-e-cup-life-size-best-silicone-sex-doll-for-man,1,1
https://linkdolls.com/en-ca/products/f5707-168cm-5ft6-40kg-a-cup-rabbit-police-officer-anime-flat-ch,1,1
https://linkdolls.com/en-ca/products/f6111-165cm-5-4ft-39kg-d-cup-ros-silicone-realistic-sex-doll-we,1,1
https://linkdolls.com/en-ca/products/f6137-160cm-5-2ft-36kg-c-cup-tpe-silicone-head-sex-doll-sy-doll,1,1
https://linkdolls.com/en-ca/products/f7520-176cm-5ft7-c-cup-weight-loss-silicone-sex-doll-darianna-s,1,1
https://linkdolls.com/en-ca/products/f8145-154cm5ft1-32-4kg-c-cup-black-silicone-head-sex-doll-clima,1,1
https://linkdolls.com/en-ca/products/f8170-150cm4-9ft-27-6kg-f-cup-ros-max-r8-lena-silicone-sex-doll,1,1
https://linkdolls.com/en-ca/products/f9135-175cm-40kg-drake-strong-femboy-silicone-most-realistic-ma,1,1

