国家/地区,点击次数,展示,点击率,排名
美国,125,990,12.63%,6.1
印度,12,83,14.46%,6.94
加拿大,10,82,12.2%,5.65
英国,7,79,8.86%,11.75
土耳其,4,21,19.05%,5.76
波兰,4,13,30.77%,6.69
菲律宾,3,16,18.75%,5.62
墨西哥,3,10,30%,7.8
瑞士,3,7,42.86%,5
澳大利亚,2,39,5.13%,6.77
德国,2,21,9.52%,15.33
瑞典,2,16,12.5%,6.44
丹麦,2,15,13.33%,7.07
匈牙利,2,11,18.18%,6.82
奥地利,2,10,20%,5.2
希腊,2,7,28.57%,5.57
斯洛伐克,2,6,33.33%,5.83
法国,1,13,7.69%,9.85
巴基斯坦,1,12,8.33%,6.75
新加坡,1,11,9.09%,6.55
孟加拉,1,10,10%,8.9
芬兰,1,6,16.67%,5.83
印度尼西亚,1,6,16.67%,6.5
俄罗斯,1,6,16.67%,13.67
南非,1,5,20%,5.4
保加利亚,1,4,25%,4.75
立陶宛,1,4,25%,5.5
以色列,1,4,25%,8.25
尼日利亚,1,2,50%,5.5
马其顿,1,2,50%,6.5
乌兹别克斯坦,1,2,50%,14
关岛,1,1,100%,10
荷兰,0,19,0%,7.16
罗马尼亚,0,10,0%,7
挪威,0,7,0%,4.86
马来西亚,0,7,0%,12
阿尔及利亚,0,6,0%,23.67
意大利,0,5,0%,7
韩国,0,5,0%,7
越南,0,4,0%,5
日本,0,4,0%,6.5
摩洛哥,0,4,0%,7.25
波多黎各,0,4,0%,8.25
伊拉克,0,3,0%,3.67
爱尔兰,0,3,0%,5.33
尼泊尔,0,3,0%,6
沙特阿拉伯,0,3,0%,6
塞浦路斯,0,3,0%,6.33
中国香港,0,3,0%,6.67
摩尔多瓦,0,3,0%,6.67
新西兰,0,3,0%,9.67
巴西,0,3,0%,27.33
巴勒斯坦,0,2,0%,4
泰国,0,2,0%,4.5
法罗群岛,0,2,0%,5
比利时,0,2,0%,6
西班牙,0,2,0%,8
捷克,0,2,0%,8.5
埃及,0,2,0%,8.5
缅甸,0,1,0%,2
马耳他,0,1,0%,3
乌克兰,0,1,0%,3
塞尔维亚,0,1,0%,4
亚美尼亚,0,1,0%,5
中国,0,1,0%,5
多米尼加共和国,0,1,0%,5
毛里求斯,0,1,0%,5
拉脱维亚,0,1,0%,6
爱沙尼亚,0,1,0%,7
危地马拉,0,1,0%,8
葡萄牙,0,1,0%,8
斯洛文尼亚,0,1,0%,8
阿尔巴尼亚,0,1,0%,9
哥伦比亚,0,1,0%,9
哥斯达黎加,0,1,0%,9
肯尼亚,0,1,0%,10
乌干达,0,1,0%,10
智利,0,1,0%,13
斯里兰卡,0,1,0%,16
