# ----------------------------------------
# 电子商务购买: 商品名称
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260608
# 结束日期：20260614
商品名称,查看过的商品数,加入购物车的商品数,已购买的商品数,商品收入,跳出率,活跃用户,结账的商品数
T925-111cm(3ft7)/27.4kg K Cup Silicone Head (Movable Jaw) + SLE Body Bubble Butt Silicone Sex Doll T,13,0,0,0,0,13,0
F1614-160cm/5ft3 C Cup Lifelike Silicone Head Full Body Sex Dolls Celebrity |Rosretty Doll,12,0,0,0,0,12,0
F5707-168cm/5ft6-40kg A Cup Rabbit Police Officer Anime Flat Chest Best Animal Furry Character Sex D,11,0,0,0,0,9,0
F5834K—168cm/5ft5-35kg F Cup Silicone Realistic Celebrity Sex Doll in Stock EU | TOP-CYDOLL,11,0,0,0,0,10,0
F1301-168cm B Cup Luna Coser Silicone Sex Doll｜Irontech Doll,10,0,0,0,0,9,0
F2465-Sigafun Doll Realistic AI sex dolls Porn Star Sex Doll Silicone Head 163cm 40kg C Cup【IN STOCK,9,1,0,0,0,6,0
F5526- 150cm(4.9ft)/28kg D Cup S13 Black Real Life Silicone Celebrity Sex Doll rihanna丨Rosretty Doll,9,0,0,0,0,9,0
F5996- 164cm(5.4ft)/41kg D Cup Silicone head Celebrity Sex Doll 丨Rosretty Doll,8,1,0,0,0,5,0
F2053- 166cm(5.5ft)-33kg C Cup Slim Thin With Small Boobs STPE Look Alike Sex Doll【IN STOCK USA】丨WM ,7,0,0,0,0,7,0
F2267-163cm F Cup Eve  Silicone Famous Sex Doll  ｜Normon doll,7,0,0,0,0,7,0
F2454-164cm(5.4ft)-39kg G Cup Amani Life-Size Silicone Head Celeb Sexdolls【IN STOCK US/EU】｜Sigafun D,7,0,0,0,0,6,0
F1308-160cm I Cup Penny Biggest Ebony Black BBW life size dolls｜Irontech Doll,5,0,0,0,0,5,0
F1930K-164cm(5ft4)-45kg S13 F Cup Lucky New Robot Silicone Head Real Life Sex Dolls｜Irontech Doll,5,0,0,0,0,5,0
F6114K—167cm/5.48ft-39kg F Cup ROS Silicone Realistic Celebrity Sex Doll Weight Reduction 【IN Stock ,5,0,0,0,0,5,0
F8122k-154cm(5ft1)-32.4kg C Cup Silicone Head Oral Black Flat Chested Sex Doll Celebrity【IN Stock US,5,0,0,0,0,4,0
F9135-175cm-43kg Drake Von Strong Femboy Silicone Most Realistic Celebrity male sex doll | Irontech ,5,0,0,0,0,5,0
F9138-160cm/35.5kg Eila Adams C Cup Silicone Porn Celebrity Sex Doll｜Irontech Doll,5,0,0,0,0,5,0
F9139-178cm/43kg Violet Tanned F Cup Silicone Porn Celebrity Sex Doll｜Irontech Doll,5,0,0,0,0,5,0
F4729-160cm/5ft3-37.2kg J Cup Hair Implant Head Silicone BBW Sex Doll(ZELEX SLE )｜Zelex Doll,4,0,0,0,0,4,0
F4871-162cm/5ft4-51kg  F Cup Chubby Silicone SSBBW Sex Doll | Irontech Doll,4,0,0,0,0,4,0
F5799—170cm/5ft3-43kg D Cup Silicone Latina Celebrity Realistic Sex Doll  | TOP-CYDOLL,4,0,0,0,0,4,0
F5808K—176cm/5.77ft--41kg E Cup Silicone Realistic Celebrity Sex Dolls Porn In Stock USA/EU | TOP-CY,4,0,0,0,0,3,0
F7520-176cm/5ft7 C Cup Weight Loss Silicone Celebrity Sex Doll Darianna| Starpery Doll,4,0,0,0,0,3,0
