国家/地区,点击次数,展示,点击率,排名
美国,188,1257,14.96%,6.08
印度,52,410,12.68%,7.62
英国,15,64,23.44%,9.03
加拿大,13,113,11.5%,5.52
澳大利亚,10,66,15.15%,5.85
马来西亚,5,60,8.33%,8.68
瑞典,5,11,45.45%,6.36
俄罗斯,4,21,19.05%,6.38
爱尔兰,3,15,20%,2.6
丹麦,3,13,23.08%,5.54
罗马尼亚,3,11,27.27%,6.36
菲律宾,2,37,5.41%,7.86
荷兰,2,22,9.09%,9
法国,2,16,12.5%,8.19
伊朗,2,11,18.18%,5.64
土耳其,2,11,18.18%,7.73
孟加拉,2,10,20%,8.8
希腊,2,9,22.22%,8
西班牙,2,7,28.57%,7.14
南非,1,37,2.7%,7.62
波兰,1,26,3.85%,6.5
巴基斯坦,1,18,5.56%,6.78
新加坡,1,14,7.14%,5.14
瑞士,1,9,11.11%,8
芬兰,1,8,12.5%,5.38
泰国,1,8,12.5%,5.88
匈牙利,1,7,14.29%,3.57
塞尔维亚,1,6,16.67%,5.67
乌兹别克斯坦,1,6,16.67%,8
捷克,1,6,16.67%,9.67
葡萄牙,1,5,20%,5.2
伊拉克,1,4,25%,7.75
保加利亚,1,4,25%,8.25
阿拉伯联合酋长国,1,3,33.33%,5
立陶宛,1,3,33.33%,8
利比亚,1,3,33.33%,9.67
哈萨克斯坦,1,3,33.33%,11.33
乌干达,1,2,50%,7
南苏丹,1,2,50%,8
比利时,0,14,0%,6.5
德国,0,14,0%,8.79
印度尼西亚,0,11,0%,8.36
肯尼亚,0,10,0%,8.3
意大利,0,9,0%,5.67
埃及,0,9,0%,6.78
巴西,0,9,0%,8.22
奥地利,0,8,0%,6.25
以色列,0,7,0%,8.14
挪威,0,6,0%,4.33
中国香港,0,6,0%,7.17
克罗地亚,0,5,0%,3.4
墨西哥,0,5,0%,7
台湾,0,4,0%,4
越南,0,4,0%,5
阿尔巴尼亚,0,4,0%,7.25
格鲁吉亚,0,4,0%,11.5
新西兰,0,3,0%,2
加纳,0,3,0%,5.67
巴勒斯坦,0,3,0%,6
巴拿马,0,3,0%,7
马其顿,0,2,0%,4
斯洛伐克,0,2,0%,4
阿富汗,0,2,0%,4.5
日本,0,2,0%,5
特立尼达和多巴哥,0,2,0%,5
贝宁,0,2,0%,5.5
智利,0,2,0%,6
爱沙尼亚,0,2,0%,6
圣卢西亚,0,2,0%,6
秘鲁,0,2,0%,6
科索沃,0,2,0%,6.5
斯里兰卡,0,2,0%,7
巴哈马,0,2,0%,9
坦桑尼亚,0,2,0%,9
柬埔寨,0,2,0%,10
阿根廷,0,2,0%,10.5
尼加拉瓜,0,2,0%,13.5
摩洛哥,0,2,0%,18
阿塞拜疆,0,1,0%,3
韩国,0,1,0%,4
哥伦比亚,0,1,0%,5
阿尔及利亚,0,1,0%,5
巴巴多斯,0,1,0%,7
阿曼,0,1,0%,7
乌克兰,0,1,0%,7
马耳他,0,1,0%,8
纳米比亚,0,1,0%,8
瓦努阿图,0,1,0%,8
中国,0,1,0%,9
蒙古,0,1,0%,10
尼泊尔,0,1,0%,10
马拉维,0,1,0%,13
