# ----------------------------------------
# linkdolls-new - GA4
# 点击率1-点击数（过滤亚洲）-自由形式 1
# 20260615-20260621
# ----------------------------------------

Click_URL,事件数,活跃用户
,691,378,总计
https://linkdolls.com/collections/porn-celebrities,138,127
https://linkdolls.com/collections/movie-music-celebrities,57,56
https://linkdolls.com/collections/full-doll,20,17
https://linkdolls.com/collections/gaming-celebrities,20,19
https://linkdolls.com/products/f1614-rosretty-160cm-celebrity-life-size-realistic-sex-doll,17,15
https://linkdolls.com/collections/celebrity-poster-products,15,10
https://linkdolls.com/products/f5526-150cm4-9ft-28kg-d-cup-black-sex-doll%E4%B8%A8rosretty-doll,14,13
https://linkdolls.com/products/t925-111cm3ft7-27-4kg-k-cup-silicone-head-movable-jaw-sle-body-bubble,14,12
,13,7
https://linkdolls.com/products/f2465-163cm-c-cup-ai-sex-doll-sigafun-porn-star,13,13
https://linkdolls.com/collections/sex-doll-videos,12,12
https://linkdolls.com/products/f5707-168cm-5ft6-40kg-a-cup-rabbit-police-officer-anime-flat-chest-be,12,11
https://linkdolls.com/pages/all-category,9,8
https://linkdolls.com/products/f5956-165cm5ft4-35kg-b-cup-silicone-ros-flat-chest-asian-celebrity-se,9,7
https://linkdolls.com/products/f9138-160cm-34-5kg-f-cup-silicone-sex-doll-irontech-doll,9,7
https://linkdolls.com/,7,6
https://linkdolls.com/products/f2454-164cm5-4ft-39kg-g-cup-amani-life-size-silicone-head-sex-doll-in,7,7
https://linkdolls.com/products/f4755-163cm-40kg-e-cup-life-size-best-silicone-sex-doll-for-man-zelex,7,4
https://linkdolls.com/products/f5968-158cm-5ft2-c-cup-realistic-black-skin-silicone-head-sex-doll-ro,7,7
https://linkdolls.com/products/f9135-175cm-40kg-drake-strong-femboy-silicone-most-realistic-male-por,7,7
https://linkdolls.com/products/f1301-168cm-b-cup-luna-coser-sex-doll-irontech-doll,6,6
https://linkdolls.com/products/f2053-166cm5-5ft-33kg-c-cup-slim-thin-with-small-boobs-stpe-sex-doll-,6,5
https://linkdolls.com/products/f4654-174cm-g-cup-blonde-hair-british-silicone-sex-doll-starpery-doll,6,6
https://linkdolls.com/products/f9139-178cm-35-5kg-eila-adams-c-cup-silicone-porn-celebrity-sex-doll-,6,6
https://linkdolls.com/products/f1308-160cm-i-cup-penny-black-sex-doll-irontech-doll,5,5
https://linkdolls.com/products/f2453-164cm5-4ft-39kg-g-cup-life-size-silicone-head-sex-doll-in-stock,5,5
https://linkdolls.com/products/f2464-163cm5-3ft-40kg-c-cup-amani-dark-realistic-silicone-head-sex-do,5,5
https://linkdolls.com/products/f5639-171cm-40kg-c-cup-silicone-head-movable-jaw-sle-body-silicone-ce,5,5
https://linkdolls.com/products/f5950-164cm5ft4-40-5kg-robot-all-in-one-seamless-neck-silicone-celebr,5,2
https://linkdolls.com/products/f8104-150cm4-9ft-27-6kg-f-cup-ros-max-r8-life-size-silicone-sex-doll-,5,5
https://linkdolls.com/products/f8122k-flat-chested-sex-doll-oral-celebrity,5,5
https://linkdolls.com/collections/celebrity-sex-dolls,4,4
https://linkdolls.com/collections/celebrity-sex-dolls#,4,3
https://linkdolls.com/products/f1461-157cm5ft1-32kg-d-cup-medium-breast-silicone-head-sex-doll-aibei,4,2
https://linkdolls.com/products/f1839k-163cm5ft4-g-cup-jane-most-popular-sex-doll-irontech-doll,4,4
https://linkdolls.com/products/f2267-163cm-f-cup-eve-silicone-sex-doll-normon-doll,4,4
https://linkdolls.com/products/f5808k-176cm-5ft3-41kg-e-cup-polly-silicone-realistic-sex-doll-top-cy,4,4
https://linkdolls.com/products/f5901-161cm5ft3-37kg-d-cup-mei-silicone-ros-best-big-tits-asian-sex-d,4,3
https://linkdolls.com/products/f5996-164cm5-4ft-36kg-d-cup-silicone-head-celebrity-sex-doll-%E4%B8%A,4,4
https://linkdolls.com/products/f6114k-167cm-5-48ft-36kg-f-cup-ros-silicone-realistic-sex-doll-weight,4,4
https://linkdolls.com/products/f6137-160cm-5-2ft-36kg-c-cup-tpe-silicone-head-sex-doll-sy-doll,4,3
https://linkdolls.com/products/f8170-150cm4-9ft-27-6kg-f-cup-ros-max-r8-lena-silicone-sex-doll-real-,4,4
https://linkdolls.com/collections/celebrity-sex-dolls?gf_510648=385790836975&gf_512514=Asian,3,3
https://linkdolls.com/collections/flat-chest-sex-doll,3,3
https://linkdolls.com/collections/sexy-celebrity-sexy-doll,3,3
https://linkdolls.com/products/f1045-157cm5-2ft-40kg-c-cup-sophiemina-sexy-realistic-anime-tpe-18s-s,3,3
https://linkdolls.com/products/f1929k-164cm5ft4-g-cup-hazel-life-size-sex-doll-irontech-doll,3,3
https://linkdolls.com/products/f3051-170cm5-6ft-c-cup-silicone-head-with-tpe-body-sex-doll%E4%B8%A8z,3,3
https://linkdolls.com/products/f4230-175cm5-8ft-38kg-d-cup-european-tpe-sex-doll-in-stock-us-%E4%B8%,3,3
https://linkdolls.com/products/f4733-in-stock-usa-canada-166cm-5ft3-35-7kg-k-cup-hair-implant-head-s,3,2
