# ----------------------------------------
# 电子商务购买: 商品名称
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260525
# 结束日期：20260531
商品名称,查看过的商品数,加入购物车的商品数,已购买的商品数,商品收入,跳出率,活跃用户,结账的商品数
A499-84.92LB BBW Big Booty Sex Doll Torso Silicone | LoveNestle Series,47,0,0,0,0,38,0
A599 (83lb) BBW Sex Doll Torso Big Booty Doggy Style Sucking Doll Biggest Ass Sex Toy,36,1,0,0,0,32,0
A664-(37.5lb) Silicone Butt Sexy and Real Realistic Big Ass Sex Doll Torso,21,1,0,0,0,16,1
A512 (57.32lb) Big Ass Sex Doll Torso Doggy Style 1:1 Life-Sized BBW Sex Doll,20,0,0,0,0,16,0
A660-Big Ass Sex Dolls Torso Realistic Silicone 25lb Elastic Butty,18,0,0,0,0,17,0
A720 (103.6lb) S-TPE Big Ass Sex Doll Torso SSBBW Sex Doll Doggy Style,11,0,0,0,0,11,0
A303 11lb Silicone Big Butt Torso – Realistic & Lightweight Big Ass Toy,9,0,0,0,0,9,0
A418-(8lb) Sexy and Real Fat Lady Ass Realistic Black BBW Ebony Chubby Sex Doll Torso [ In Stock US ,9,0,0,0,0,8,0
A555-32lbs 32lb Moving Sex Doll Torso Realistic Ass Robot Vibrating,7,0,0,0,0,5,0
T908K -Climax Classic Huge Sex Tits BBW Sex Doll Torso TPE Gel 94.8 lbs Cinnamon,7,1,0,0,0,5,0
A410-(22lb) Chubby Sexy And Real Realistic Silicone Ass Realistic Torso Sex Doll,6,0,0,0,0,4,0
"A432-LoveNestle Huge Ass Sex Doll Torso – Silicone, Realistic Dual Tunnels, 35.27lb",6,1,0,0,0,5,0
A623-19.6LB Cecilia Cute Vagina Sex Toy丨Tantaly,6,0,0,0,0,1,0
A683-(24lb)Sexy And Real Realistic Ass Female Bigass SexDoll,6,0,0,0,0,4,0
A437-38.8LB Silicone BBW Sex Doll Torso Big Ass Bubble Butt | LoveNestle Series,5,0,0,0,0,5,0
A684-(41.8lb)Big Booty Sex Dolls Torso Realistic ssbbwsex,5,0,0,0,0,5,0
A308-(13lb) Soft Silicone Realistic Big Ass Sex Dolls Torso,4,1,0,0,0,4,0
A323-Huge Ass Sex Doll Torso Liquid Silicone 32lbs Chubby Belly Butt Ultra-Soft,4,0,0,0,0,4,0
A562-(41.8lb)Lifesize Silicone Sex Doll Torso Peach-Shaped Big Butt Realistic BBW,4,0,0,0,0,4,0
A599 (83lb) Coco Realistic TPE Female Sex Doll Torso Mega Big Booty Ebony Chubby BBW,4,0,0,0,0,2,0
F1444-163cm(5f3)-52kg  E Cup  Wheat Skin Realistic Soft TPE BBW Full Size Sex Dolls 【IN Stock USA/EU,4,0,0,0,0,3,0
A260-Lusandy Sex Dolls with Big Asses Silicone 22lb Sexy and Gel Butt【IN Stock US/EU】,3,0,0,0,0,3,0
"A311-17.4lb Silicone Big Butt Torso – Extended Thighs, Mid-Thigh Length & Realistic Design",3,0,0,0,0,3,0
A357-(27.5lb) Silicone Butt Sexy and Real Realistic Gel Big Booty Sex Doll Torso - Climax Doll,3,0,0,0,0,3,0
A511 (15lb/35cm)Lower body toro sex doll with sexy legs,3,0,0,0,0,1,0
A519 (28.4lb )Doggy Style Realistic Torso Sex Doll Silicone Ass torso sexdoll,3,0,0,0,0,3,0
A571 (19.4lb) Black BBW Big Ass Sex Doll Torso Doggy Style Fat Butt,3,0,0,0,0,3,0
A599 (83lb) Coco Realistic TPE Sex Doll Torso Mega Big Booty Ebony Chubby BBW,3,1,0,0,0,2,0
A805-8.5lb Realistic & Lightweight Big Ass Toy Silicone Butt Torso,3,0,0,0,0,3,0
F2319a-163cm(5.3ft) 53kg G CupBig Butt Sex Doll BBW Super Fat Huge Ass with ROS Movable Jaw丨SY Doll,3,0,0,0,0,3,0
F2457-164cm(5.4ft)-39kg G Cup Life-Size sex with sexual doll Silicone Head Sex Doll【IN STOCK US/EU】｜,3,4,0,0,0,1,0
F9387-172cm/5ft8-35.7kg E Cup Cheap Real Adult Sex Doll｜Zelex Doll SLE,3,2,0,0,0,1,0
