国家/地区,点击次数,展示,点击率,排名
美国,42,580,7.24%,10.3
加拿大,3,50,6%,8.84
澳大利亚,2,28,7.14%,15.36
荷兰,2,9,22.22%,11
英国,1,20,5%,16.4
印度,1,13,7.69%,12.08
墨西哥,1,3,33.33%,6.33
新西兰,1,2,50%,1
罗马尼亚,1,1,100%,1
匈牙利,1,1,100%,2
希腊,1,1,100%,5
立陶宛,1,1,100%,17
法国,0,12,0%,18.83
丹麦,0,5,0%,15.2
芬兰,0,4,0%,30
巴西,0,4,0%,48.75
瑞典,0,4,0%,63
德国,0,3,0%,2
意大利,0,3,0%,7
印度尼西亚,0,3,0%,8.67
牙买加,0,2,0%,2
伊拉克,0,2,0%,6
挪威,0,2,0%,26
孟加拉,0,2,0%,58.5
比利时,0,1,0%,1
捷克,0,1,0%,2
卡塔尔,0,1,0%,4
俄罗斯,0,1,0%,4
爱尔兰,0,1,0%,5
阿拉伯联合酋长国,0,1,0%,6
哥伦比亚,0,1,0%,6
乌兹别克斯坦,0,1,0%,6
爱沙尼亚,0,1,0%,7
法罗群岛,0,1,0%,7
克罗地亚,0,1,0%,8
尼日利亚,0,1,0%,8
瑞士,0,1,0%,10
菲律宾,0,1,0%,10
波兰,0,1,0%,10
沙特阿拉伯,0,1,0%,10
保加利亚,0,1,0%,19
马拉维,0,1,0%,19
新加坡,0,1,0%,35
韩国,0,1,0%,44
