# ----------------------------------------
# 电子商务购买: 商品名称
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260713
# 结束日期：20260719
商品名称,查看过的商品数,加入购物车的商品数,已购买的商品数,商品收入,跳出率,活跃用户,结账的商品数
A599 (83lb) BBW Sex Doll Torso Big Booty Doggy Style Sucking Doll Biggest Ass Best Sex Torso【IN STOC,46,1,0,0,0,36,0
A499-84.92LB BBW Big Booty Sex Doll Torso Silicone | LoveNestle Series,27,0,0,0,0,25,0
A303 11lb Silicone Big Butt Torso – Realistic & Lightweight Big Ass Sex Toy,16,1,0,0,0,13,0
A664-(37.5lb) Silicone Butt Sexy and Real Realistic Huge Ass Sex Doll Torso,13,0,0,0,0,10,0
A418-(8lb) Sexy and Real Fat Lady Ass Realistic Black BBW Ebony Chubby Sex Doll Torso [ In Stock US ,10,0,0,0,0,10,0
A512 (57.32lb) Big Ass Sex Torso Doggy Style 1:1 Life-Sized BBW Best Sex Torso,10,0,0,0,0,9,0
A512 (57.32lb) Big Ass Sex Torso Doggy Style 1:1 Life-Sized BBW Big Sex Butts,10,0,0,0,0,9,0
A664-(37.5lb) Silicone Butt Sexy and Real Realistic Big Ass Sex Toys,9,0,0,0,0,6,0
A260-Lusandy Sex Dolls with Big Asses Silicone 22lb Sexy and Gel Butt Mini Sex Dolls【IN Stock US/EU】,8,0,0,0,0,6,0
A660-Big Booty Sex Torso Realistic Big Ass Silicone 25lb Elastic Butty,7,0,0,0,0,7,0
A682-(19lb) Bigass Sexdoll Torso TPE 19lb Sucking Vibration Realistic Ass Best Sex Torsos,7,0,0,0,0,7,0
A684-(41.8lb)Big Booty Sex Dolls Torso Realistic ssbbwsex,7,0,0,0,0,7,0
A802K-81.57lbs Ultra-Soft Butt Realistic Big Ass Silicone Sex Doll Torso Sienna-Tan【IN STOCK US】| YE,7,0,0,0,0,5,0
A555-32lbs 32lb Sucking Sex Doll Torso Realistic Ass Robot Vibrating Best Sex Dolls Torso,6,0,0,0,0,5,0
A720 (103.6lb) S-TPE Big Ass Sex Doll Torso SSBBW Sex Doll Doggy Style,6,0,0,0,0,6,0
A779 - Available in 2 Sizes: 5kg (11 lbs) & 16kg (35 lbs)  Ultra Soft Realistic Ass BBW Silicone But,6,0,0,0,0,5,0
A23-24.3lbs-Silicone BBW Sex Doll Torso Life-Size Big Big Sex Ass,5,0,0,0,0,4,0
A441-8.24LB Venus I Silicone Pocket Pussy Vagina Stroker Sex Dolls Torso Toy Male Masturbator| LoveN,5,0,0,0,0,3,0
A457-37.74LB Sabrina 1:1 Life-Sized Pussy Ass Masturbator Big Ass Silicone torso sexdoll| LoveNestle,5,0,0,0,0,3,0
A660-Big Booty Sex Torso Realistic Big Ass Silicone 25lb Big Booty Sex Dolls Torso Ass,5,0,0,0,0,4,0
A295 -Judy Rona Big Butt Torso Silicone Big Ass Sex Toy 26.9lb Realisitc Skin,4,0,0,0,0,4,0
A308-(13lb) Soft Silicone Realistic Big Ass Sex Toy For Men,4,0,0,0,0,4,0
A323- 32lbs Huge Ass Sex Doll Torso Liquid Silicone Chubby Sex Doll Belly Butt Ultra-Soft,4,0,0,0,0,4,0
