国家/地区,点击次数,展示,点击率,排名
美国,27,823,3.28%,32.24
印度,12,197,6.09%,21.21
马来西亚,4,46,8.7%,15.02
加拿大,3,121,2.48%,16.88
越南,2,19,10.53%,15.32
德国,1,79,1.27%,22.68
澳大利亚,1,41,2.44%,21.1
土耳其,1,22,4.55%,23.73
孟加拉,1,9,11.11%,29
芬兰,1,6,16.67%,28.33
爱沙尼亚,1,4,25%,24.5
匈牙利,1,4,25%,40.75
乌兹别克斯坦,1,1,100%,4
英国,0,66,0%,33.21
罗马尼亚,0,33,0%,42.24
菲律宾,0,25,0%,11.2
南非,0,18,0%,37.78
巴基斯坦,0,16,0%,18.56
意大利,0,11,0%,22.45
新加坡,0,11,0%,34
荷兰,0,10,0%,30.6
波兰,0,9,0%,18.89
巴西,0,7,0%,21.57
伊朗,0,6,0%,6.17
印度尼西亚,0,6,0%,37.17
哥伦比亚,0,6,0%,48.33
法国,0,5,0%,10.4
尼日利亚,0,5,0%,18.4
沙特阿拉伯,0,5,0%,19.4
俄罗斯,0,5,0%,20.8
葡萄牙,0,5,0%,29.8
阿拉伯联合酋长国,0,5,0%,42.2
尼泊尔,0,4,0%,7.5
塞尔维亚,0,4,0%,15.75
柬埔寨,0,4,0%,16.25
挪威,0,4,0%,24.25
以色列,0,4,0%,29.25
瑞典,0,4,0%,40.25
丹麦,0,4,0%,49.5
巴林,0,3,0%,5.67
约旦,0,3,0%,6.33
瑞士,0,3,0%,8.33
泰国,0,3,0%,8.33
墨西哥,0,3,0%,19.33
西班牙,0,3,0%,20.67
肯尼亚,0,3,0%,24
新西兰,0,3,0%,26.33
韩国,0,3,0%,29.33
埃及,0,3,0%,39
阿根廷,0,3,0%,44.33
日本,0,3,0%,50.67
阿尔巴尼亚,0,2,0%,8.5
阿曼,0,2,0%,9
津巴布韦,0,2,0%,9
爱尔兰,0,2,0%,11.5
缅甸,0,2,0%,12.5
捷克,0,2,0%,16
埃塞俄比亚,0,2,0%,17
中国,0,2,0%,22
乌克兰,0,2,0%,22
危地马拉,0,2,0%,27.5
智利,0,2,0%,32.5
阿尔及利亚,0,2,0%,38
中国香港,0,2,0%,39
奥地利,0,2,0%,46.5
希腊,0,2,0%,53
文莱,0,1,0%,4
台湾,0,1,0%,4
立陶宛,0,1,0%,5
突尼斯,0,1,0%,6
波斯尼亚和黑塞哥维那,0,1,0%,7
萨尔瓦多,0,1,0%,7
斯洛文尼亚,0,1,0%,7
拉脱维亚,0,1,0%,8
马耳他,0,1,0%,8
斐济,0,1,0%,9
克罗地亚,0,1,0%,9
哈萨克斯坦,0,1,0%,9
不丹,0,1,0%,10
马尔代夫,0,1,0%,10
斯洛伐克,0,1,0%,10
瓜德罗普,0,1,0%,11
卢森堡,0,1,0%,15
委内瑞拉,0,1,0%,22
玻利维亚,0,1,0%,27
冰岛,0,1,0%,27
加纳,0,1,0%,35
斯里兰卡,0,1,0%,37
亚美尼亚,0,1,0%,40
哥斯达黎加,0,1,0%,46
安哥拉,0,1,0%,47
秘鲁,0,1,0%,48
科威特,0,1,0%,49
巴勒斯坦,0,1,0%,49
保加利亚,0,1,0%,65
伯利兹,0,1,0%,65
多米尼加共和国,0,1,0%,88
