# ----------------------------------------
# 电子商务购买: 商品名称
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260629
# 结束日期：20260705
商品名称,查看过的商品数,加入购物车的商品数,已购买的商品数,商品收入,跳出率,活跃用户,结账的商品数
P123-Silicone Pussy Sex Doll – Ultra Realistic Texture & Soft Touch | Judy Rona,7,0,0,0,0,7,0
P356 violet myers pocket pussy sex toy for men | jiuai,4,0,0,0,0,2,0
P381-2.2lbs Meru The Succubus Mini Anime Hentai Sex Toy - Silicone Pocket Pussy | MRL,4,0,0,0,0,4,0
P383-Best Silicone Realistic Pocket Pussy 100% Genuine for Men| Notye,4,1,0,0,0,4,1
P398-2.1lbs Asphodel Anime Pocket Pussy Hentia Sex Dolls | MRL,4,0,0,0,0,2,0
P53-TPE Realistic Celebrity Pocket Pussy-Dual-Entry Masturbator,4,0,0,0,0,4,0
P898-Fake Sexy Pussy Best Cheap Pocket Pussy 100% Genuine | Climax Doll,4,0,0,0,0,4,0
A546 (3lb) Lightweight tiny sex doll pocket pussy Cheap Black Ebony Sex Doll Torso 100% Genuine,3,0,0,0,0,3,0
P122-Realistic Silicone Pocket Pussies – Lifelike Details & Real Feel| Judy Rona,3,0,0,0,0,3,0
P127-Hypoallergenic Silicon Pussy - Tight Realistic Pocket Pussy | Top Fire,3,0,0,0,0,2,0
P899-Fake Sexy Pussy Cheap Realistic Silicone Best Pocket Pussy | Climax Doll,3,0,0,0,0,3,0
A303 11lb Silicone Big Butt Torso – Realistic & Lightweight Big Ass Toy,2,0,0,0,0,2,0
A512 (57.32lb) Big Ass Sex Torso Doggy Style 1:1 Life-Sized BBW Best Sex Torso,2,0,0,0,0,2,0
A537-(7.05lb)Big ass torso sex with sex doll 3 functions:Sucking&Vibration&Exhaust,2,0,0,0,0,2,0
A547 (2.4lb)Miniest Realistic Fake Butt mini torso sex doll For Man 100% Genuine,2,0,0,0,0,2,0
A603-(20lb )  Yellow-Sexy and Real Realistic 3D Big Ass torso sex dolls,2,0,0,0,0,1,0
M939-Fake Pussy Fuck Sex Toy-Intense Suction Pocket Pussy | YINBO,2,0,0,0,0,2,0
P10- Hentai Fake Pussy Sex Toy Pussy,2,0,0,0,0,1,0
P101-4LB Mini Silicone Pocket Pussy Hentai Realistic Bl Anime Sex Toys,2,0,0,0,0,1,0
P102-5.28LB Strong Suction Cup Silicone Hentai Mini Male Sex Doll Torso with Dildo  | TAYUTA,2,0,0,0,0,1,0
P107-26cm/10.2in 1.5kg Silicone Figure Hentai 2B Anime Pocket Pussy BL Anime Sex Toys｜Doll Castle,2,0,0,0,0,2,0
P112-1.3 lbs Realistic Masturbator Mini Pussy Sex Toys【IN Stock】 | MRL,2,0,0,0,0,1,0
P117-2.2 lbs Fake Pussy Realistic Masturbator Mini bbw fleshlight Torso | MRL,2,0,0,0,0,2,0
P121-8.5kg Deep Throat Figures Silicone Hentai Anime Sex Toys｜Doll Castle,2,0,0,0,0,2,0
P124-Silicon Sex Doll Pussy Masturbator with Skin-Like Feel | Judy Rona,2,0,0,0,0,2,0
P131-11.2 lbs Silicone Hentai Figures Fuck Anime Sex Toys｜Qita,2,0,0,0,0,2,0
P396-3.31lbs Silicone Super Realistic Pocket Pussy for Men【IN Stock US】 | Lusandy,2,1,0,0,0,2,0
P399-3.9lbs Osiimi Anime Pocket Pussy BBW Succubus Sex Doll | MRL,2,0,0,0,0,1,0
P671-Vibrating pocket pussy ASS & Pussy Cheap Adult Sex Toy|Mini Size Ass Sex Torso 100% Genuine,2,0,0,0,0,2,0
P897-Ultra-Soft Silicone Fake Vagina Fuck Toys - Tight Internal Texture | Climax Doll,2,0,0,0,0,2,0
A259-(7.28lb ) Realistic BBW Fat Ass Sex Doll Torso Cheap Sex Toy for Men ,1,0,0,0,0,1,0
A351-7.7LB-Silicone Deer Ass Furry Sex Doll Torso | MRL,1,0,0,0,0,1,0
A352-8.3LB-SiliconeWolf Ass Furry Sex Doll Torso | MRL,1,0,0,0,0,1,0
A353-7.7LB-Silicone Meru Ass Torso Sex Doll | MRL,1,0,0,0,0,1,0
A409-(17.6lb)Big Ass Realistic Sex Torso TPE Material Dual Entry,1,0,0,0,0,1,0
A418-(8lb) Sexy and Real Fat Lady Ass Realistic Black BBW Ebony Chubby Sex Doll Torso [ In Stock US ,1,0,0,0,0,1,0
A499-84.92LB BBW Big Booty Sex Doll Torso Silicone | LoveNestle Series,1,0,0,0,0,1,0
A555-32lbs 32lb Moving Sex Doll Torso Realistic Ass Robot Vibrating Best Sex Dolls Torso,1,0,0,0,0,1,0
A664-(37.5lb) Silicone Butt Sexy and Real Realistic Big Ass Sex Toys,1,0,0,0,0,1,0
A779 - Available in 2 Sizes: 5kg (11 lbs) & 16kg (35 lbs)  Ultra Soft Realistic Ass BBW Silicone But,1,0,0,0,0,1,0
B33-(18.8lb) Big Breast  & Vagina Huge Tits Sex Soft Gel Boobs Male Masturbator,1,0,0,0,0,1,0
B438-13.40LB Huge Boobs Sex Toy with Vagina Tunnel silicone sex doll torso | LoveNestle Series,1,0,0,0,0,1,0
F4474k-163cm(5.3ft)-51kg H Cup BBW TPE Sex Doll with Big Asses丨WM Doll,1,0,0,0,0,1,0
F4904-150cm(4ft9)-35.5kg B Cup Silicone Furry Bunny Anime Sex Doll |Climax Doll Ultra,1,0,0,0,0,1,0
F5425- Elsa Babe Hentai Anime Waifu Sex Dolls Silicone Head 150cm 27.5kg,1,0,0,0,0,1,0
F5448-150cm/5ft-27.5kg Silicone Anime Hentai Sex Dolls | Elsa Babe,1,0,0,0,0,1,0
F5518-160cm(5ft2)-45.2kg L Cup Meru Fantasy Silicone Heade Sex Doll【in stock】|Climax Doll Pro,1,0,0,0,0,1,0
F5597-150cm/5ft-27.5kg  Anime Hentai Silicone Sex Doll | Elsa Babe,1,0,0,0,0,1,0
F7122-155cm(5.1ft)-38kg 2.2cf E Cup Mini Silicone Japanese Cosplay Sex Doll – Customizable Fantasy L,1,0,0,0,0,1,0
F7889k-164cm(5ft4)-45kg Jiajia D cup Gel Filled Breasts Sex Doll with ROS Slicone Head【IN STOCK USA】,1,0,0,0,0,1,0
F9141-170cm(5.6ft)-43kg Huge Boob Sex Doll Anime Asian ROS Gel Breast Silicone | Doll Senior,1,0,0,0,0,1,0
