国家/地区,点击次数,展示,点击率,排名
美国,32,1483,2.16%,22.74
印度,21,312,6.73%,14.19
加拿大,5,141,3.55%,17.27
巴基斯坦,2,49,4.08%,15.39
孟加拉,2,21,9.52%,14.9
英国,1,213,0.47%,40.06
马来西亚,1,74,1.35%,13.61
荷兰,1,42,2.38%,48.21
瑞典,1,20,5%,50.6
新加坡,1,15,6.67%,22.4
罗马尼亚,1,14,7.14%,17.21
新西兰,1,12,8.33%,33.75
希腊,1,6,16.67%,13.33
吉尔吉斯斯坦,1,3,33.33%,27.67
捷克,1,3,33.33%,37.67
柬埔寨,1,2,50%,16
蒙古,1,2,50%,29.5
澳大利亚,0,84,0%,24.19
菲律宾,0,38,0%,16.84
巴西,0,32,0%,38
越南,0,25,0%,29.48
德国,0,23,0%,31.09
南非,0,22,0%,28.45
芬兰,0,20,0%,31.1
土耳其,0,18,0%,17.28
挪威,0,18,0%,38.67
丹麦,0,16,0%,60.88
葡萄牙,0,15,0%,37.73
意大利,0,12,0%,16.5
泰国,0,12,0%,20
阿拉伯联合酋长国,0,11,0%,42
印度尼西亚,0,11,0%,42.91
波兰,0,8,0%,20.25
比利时,0,8,0%,38.38
西班牙,0,7,0%,17.86
阿根廷,0,7,0%,25.43
法国,0,7,0%,41.43
爱尔兰,0,6,0%,6.5
尼泊尔,0,6,0%,7.5
波多黎各,0,6,0%,9.17
埃及,0,6,0%,10.33
摩洛哥,0,5,0%,9.2
沙特阿拉伯,0,5,0%,13.4
克罗地亚,0,5,0%,16.2
以色列,0,5,0%,44.8
斯里兰卡,0,4,0%,8.5
匈牙利,0,4,0%,13.75
韩国,0,4,0%,16.5
阿尔及利亚,0,4,0%,23.25
中国,0,4,0%,26.5
秘鲁,0,4,0%,26.75
乌克兰,0,4,0%,29.5
日本,0,4,0%,29.75
委内瑞拉,0,4,0%,29.75
奥地利,0,3,0%,8.33
卢森堡,0,3,0%,8.67
伊拉克,0,3,0%,16.67
尼日利亚,0,3,0%,18
卡塔尔,0,3,0%,19.33
哈萨克斯坦,0,3,0%,29
台湾,0,3,0%,37.67
墨西哥,0,3,0%,40
哥伦比亚,0,3,0%,60.67
黎巴嫩,0,2,0%,5
瑞士,0,2,0%,6
斐济,0,2,0%,7
格恩西岛,0,2,0%,7
巴拉圭,0,2,0%,8.5
斯洛伐克,0,2,0%,8.5
苏里南,0,2,0%,16.5
摩尔多瓦,0,2,0%,26
格鲁吉亚,0,2,0%,27
塞尔维亚,0,2,0%,29
突尼斯,0,2,0%,29
乌拉圭,0,2,0%,31
乌兹别克斯坦,0,2,0%,42.5
危地马拉,0,2,0%,54.5
阿曼,0,2,0%,57.5
塞拉利昂,0,1,0%,2
洪都拉斯,0,1,0%,5
保加利亚,0,1,0%,6
马其顿,0,1,0%,6
津巴布韦,0,1,0%,6
约旦,0,1,0%,8
莫桑比克,0,1,0%,8
毛里求斯,0,1,0%,8
阿塞拜疆,0,1,0%,9
巴林,0,1,0%,9
波斯尼亚和黑塞哥维那,0,1,0%,9
乌干达,0,1,0%,9
马尔代夫,0,1,0%,10
叙利亚,0,1,0%,10
立陶宛,0,1,0%,21
斯洛文尼亚,0,1,0%,24
哥斯达黎加,0,1,0%,28
俄罗斯,0,1,0%,31
拉脱维亚,0,1,0%,33
巴勒斯坦,0,1,0%,38
中国香港,0,1,0%,42
多米尼加共和国,0,1,0%,69
厄瓜多尔,0,1,0%,71
尼加拉瓜,0,1,0%,78
缅甸,0,1,0%,98
