国家/地区,点击次数,展示,点击率,排名
美国,117,582,20.1%,3.72
加拿大,11,47,23.4%,2.55
俄罗斯,9,52,17.31%,4.48
澳大利亚,6,33,18.18%,4.06
印度,6,33,18.18%,6.61
英国,5,29,17.24%,4.45
罗马尼亚,5,18,27.78%,3.39
瑞士,4,24,16.67%,2.92
塞尔维亚,4,4,100%,1.5
德国,3,46,6.52%,6.65
越南,2,58,3.45%,6.07
泰国,2,39,5.13%,4.13
印度尼西亚,2,31,6.45%,5.58
波兰,2,22,9.09%,4.32
意大利,2,15,13.33%,5.07
法国,2,15,13.33%,6.47
奥地利,2,11,18.18%,2.36
智利,2,9,22.22%,5.56
捷克,2,8,25%,4.38
韩国,2,6,33.33%,5
日本,2,5,40%,3.4
挪威,2,5,40%,3.6
南非,2,4,50%,1.25
多米尼加共和国,2,3,66.67%,1
荷兰,1,29,3.45%,5.97
菲律宾,1,22,4.55%,3.45
芬兰,1,13,7.69%,2
墨西哥,1,12,8.33%,6.5
土耳其,1,11,9.09%,6.18
瑞典,1,10,10%,2.8
马来西亚,1,9,11.11%,4.67
斯洛伐克,1,8,12.5%,1.88
以色列,1,6,16.67%,4.67
哥伦比亚,1,4,25%,2
中国,1,3,33.33%,1
新西兰,1,3,33.33%,4.33
保加利亚,1,3,33.33%,11.67
乌兹别克斯坦,1,3,33.33%,26.67
克罗地亚,1,2,50%,1
摩尔多瓦,1,2,50%,1.5
缅甸,1,1,100%,1
匈牙利,1,1,100%,2
尼加拉瓜,1,1,100%,2
巴西,0,21,0%,6.71
新加坡,0,16,0%,4.69
伊拉克,0,15,0%,5.53
阿根廷,0,12,0%,4.58
伊朗,0,11,0%,3.82
立陶宛,0,7,0%,5.71
中国香港,0,6,0%,2.83
哈萨克斯坦,0,6,0%,7.33
摩洛哥,0,5,0%,3.8
比利时,0,5,0%,4.6
西班牙,0,5,0%,4.8
埃及,0,4,0%,5
爱尔兰,0,3,0%,1.67
阿拉伯联合酋长国,0,3,0%,2
巴基斯坦,0,3,0%,3
爱沙尼亚,0,3,0%,4
葡萄牙,0,3,0%,5.33
约旦,0,3,0%,28.67
冰岛,0,2,0%,1
纳米比亚,0,2,0%,1
乌克兰,0,2,0%,1.5
阿尔及利亚,0,2,0%,2
厄瓜多尔,0,2,0%,4
希腊,0,2,0%,4.5
丹麦,0,2,0%,9
拉脱维亚,0,2,0%,9
洪都拉斯,0,2,0%,10
萨尔瓦多,0,2,0%,10
白俄罗斯,0,1,0%,1
科特迪瓦,0,1,0%,1
黎巴嫩,0,1,0%,1
斯里兰卡,0,1,0%,1
卢森堡,0,1,0%,1
巴拿马,0,1,0%,1
台湾,0,1,0%,1
危地马拉,0,1,0%,2
格陵兰,0,1,0%,4
乌拉圭,0,1,0%,4
格鲁吉亚,0,1,0%,7
刚果 - 金沙萨,0,1,0%,8
叙利亚,0,1,0%,9
