国家/地区,点击次数,展示,点击率,排名
美国,59,399,14.79%,9.21
瑞典,3,21,14.29%,17.1
奥地利,3,4,75%,17.5
澳大利亚,2,13,15.38%,8.69
俄罗斯,2,5,40%,3.6
加拿大,1,19,5.26%,8.42
印度尼西亚,1,14,7.14%,5.21
秘鲁,1,5,20%,7.8
日本,1,4,25%,6
波兰,1,3,33.33%,4.33
法国,1,3,33.33%,13.33
比利时,1,2,50%,17
马来西亚,1,1,100%,8
印度,0,18,0%,10.78
英国,0,12,0%,9.67
西班牙,0,7,0%,7.57
德国,0,6,0%,23
新西兰,0,4,0%,5
巴西,0,3,0%,3.33
挪威,0,3,0%,8.67
丹麦,0,3,0%,11.67
菲律宾,0,3,0%,14.33
中国,0,3,0%,15
越南,0,2,0%,2.5
南非,0,2,0%,10
墨西哥,0,2,0%,23.5
危地马拉,0,2,0%,27
斯洛伐克,0,1,0%,2
智利,0,1,0%,4
韩国,0,1,0%,4
巴拿马,0,1,0%,4
孟加拉,0,1,0%,5
中国香港,0,1,0%,7
匈牙利,0,1,0%,8
伊朗,0,1,0%,8
克罗地亚,0,1,0%,9
瑞士,0,1,0%,20
荷兰,0,1,0%,20
