# ----------------------------------------
# 电子商务购买: 商品名称
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260629
# 结束日期：20260705
商品名称,查看过的商品数,加入购物车的商品数,已购买的商品数,商品收入,跳出率,活跃用户,结账的商品数
F6123-150cm/4ft9 27kg A Cup Small Breasted Sex Doll Flat Chest Japanese- SY Doll,10,0,0,0,0,10,0
T370-24lbs/61cm Life Size Realistic Torso TPE Flat Chest Sex Dolls in Stock EU,7,0,0,0,0,6,0
F302-160cm(5ft2)-34kg A Cup Life Size Premium Flat Chest  STPE Shemale Sex Dolls | WM Doll,4,0,0,0,0,4,0
F6313—153cm/5ft4-29kg B Cup Silicone Closed Eye Small Breasted Sex Doll  | Firefly Diary MAX,4,0,0,0,0,4,0
F7123-159cm(5.3ft)-31.5kg 2.2cf B Cup ROS Silicone Asian Adult Chinese Flat Chested Sex Doll【ChunMoM,4,0,0,0,0,3,0
F7145-168cm/5ft6-41kg A Cup ELF Flat Chested Anime Alien Sex Dolls - Doll Castle,4,0,0,0,0,3,0
F8616—172cm/5.6ft-82.7lbs A Cup Silicone Flat Chest Sex Doll with ROS Head - TOP-CYDOLL,4,0,0,0,0,3,0
P132-10.8 lbs Silicon Pussi Fuck Doll Hentai Sex Toy Pussy｜Qita,4,0,0,0,0,2,0
F4918-150cm(4ft9)-26.2kg B Cup Small Breast TPE Sex Doll | Aibei Doll,3,0,0,0,0,3,0
F6131-159cm/5.2ft 34kg B Cup Flat Chested Young Sex Doll robotic sex - Rosretty Doll,3,0,0,0,0,3,0
F6146-161cm(5ft3)-29kg A Cup Sex Dolls Flat Chested with Silicone Head - Irontech Doll,3,0,0,0,0,3,0
F6329—Firefly Diary A Cup Silicone Cute Young Asian Sex Doll 151cm / 4ft9 Small Breasts,3,0,0,0,0,3,0
F7143k-158cm/5ft2-27kg B Cup Cute Chinese Silicone Sex Doll【IN Stock US/EU】｜Doll Castle,3,0,0,0,0,1,0
F8122-154cm(5ft1)-32.4kg C Cup S Tori Black Flat Chest Silicone Head Sex Doll |Climax Doll Pro,3,0,0,0,0,2,0
T237-26.35lbs/60cm Black Life-Size Sex Doll Torso Flat Chest Lightweight | Climax Doll,3,0,0,0,0,3,0
T593(48.5lb) Black Luxury Realistic Small Breasts Flat Chest Sex Dolls Half Torso 【IN STOCK】| Climax,3,0,0,0,0,3,0
F1427-158cm(5f2)-31.25kg C Cup Small Breast TPE Hentai Sex Doll 【IN Stock USA】|Aibei Doll,2,0,0,0,0,1,0
F2233-150cm/4ft9 A Cup Petite Flat Chested Cheap Mini Sex Doll with Ultra-Realistic TPE - SY Doll,2,0,0,0,0,2,0
F3746-166cm(5ft5)-34.5kg Bonnie C Cup TPE Teen Girls flat chested young Sex Dolls|SE Doll,2,0,0,0,0,2,0
F3905-159cm(5.2ft)-37kg A Cup Luxury-Grade Realistic Skin Texture White Amy Realistic Silicone dolls,2,0,0,0,0,2,0
F4246- 150cm(4.9ft)-25kg  A Cup Anime Petite Teen Sex Doll Flat Chest - WM Doll,2,0,0,0,0,1,0
F4987- 159cm(5.2ft) -27kg B Cup Anime TPE Best sexbot Hentai Sex Doll丨WM Doll,2,0,0,0,0,1,0
F542k- 171cm Thin Sex Doll A Cup Small Tits Japanese Small Tits Sex Doll【IN Stock US】｜Starpery Doll,2,0,0,0,0,2,0
F5963-159cm/5ft3 34kg  A Cup Young Flat Chest Sex Doll TPE+Silicone - SY Doll,2,0,0,0,0,2,0
F6147-161cm(5ft3)-29kg A Cup Flat Chested Sex Dolls Silicone｜Irontech Doll,2,0,0,0,0,2,0
T236-34.6lbs/100cm Lightweight Life-Size Flat Chested Sex Doll Torso with or without Head Options  |,2,0,0,0,0,2,0
T691-(64.6lb) Andrea Anime torso sex doll with Flat Chest|Silicone Head Torso Pro,2,0,0,0,0,2,0
A418-(8lb) Sexy and Real Fat Lady Ass Realistic Black BBW Ebony Chubby Sex Doll Torso [ In Stock US ,1,0,0,0,0,1,0
A518 (18.29lb) Torso Masturbator｜Leg Torso sex doll sex Booty ｜Big Butt,1,0,0,0,0,1,0
F1570-171cm/5ft6 A Cup Small Flat Chested Sex Doll - Starpery Doll,1,0,0,0,0,1,0
F1871-159cm(5.2ft) 37kg A Cup Alice Cosplay Realistic Hot Anime S-TPE sex with sexual doll 【IN STOCK,1,0,0,0,0,1,0
F2047-165cm(5.5ft)-34kg D Cup Anime Alien Fantasy TPE Hentai Sex Doll丨WM Doll,1,0,0,0,0,1,0
F2114- 172cm(5.6ft) -39kg B Cup Slim Small Cheasted TPE Sex Doll丨WM Doll,1,0,0,0,0,1,0
F2183-162cm(5.3ft)-39.2kg A Cup Flat Cheast Sex Doll Silicone｜Irontech Doll,1,0,0,0,0,1,0
F2185-162cm(5.3ft) A Cup S26 Life-Size Silicone Sex With Robot  Sex Doll｜Irontech Doll,1,0,0,0,0,1,0
F2185-162cm(5.3ft) A Cup S26 Life-Size Silicone Sex With Robot Flat Chest Sex Doll｜Irontech Doll,1,0,0,0,0,1,0
F2186-162cm(5.3ft) A Cup S38 Small Cheast Best Silicone Porn Sex With A Doll｜Irontech Doll,1,0,0,0,0,1,0
F2187-162cm(5.3ft) A Cup S40 Small Cheast Sex Doll｜Irontech Doll,1,0,0,0,0,1,0
F2191-162cm(5.3ft) A Cup S42 Life-Size Small Tit Sex Robot Doll｜Irontech Doll,1,0,0,0,0,1,0
F2206-160cm/5ft3 A Cup Realistic tiny flat chested TPE Sex Doll -Rosretty Dolls,1,0,0,0,0,1,0
F2225-159cm-37kg A Cup Fantasy Kylie Cosplay Elf  Alien Anime TPE Sex Doll｜Fun West Doll,1,0,0,0,0,1,0
F2233-150cm/4ft9 A Cup Small Flat Chested Sex Doll TPE Best Affordable [IN STOCK USA] |SY Doll,1,0,0,0,0,1,0
F2254-162cm(5.3ft) A Cup S44 Small Breat Sex Doll｜Irontech Doll,1,0,0,0,0,1,0
"F2344-151cm(4.9ft)-65kg T Cup Hips Over 155"" BBW Biggest Ass Huge Breast Sex Doll【IN STOCK】丨Climax D",1,0,0,0,0,1,0
F2355-162cm(5.3ft) A Cup Cowgirl Silicone Head TPE Sex Doll｜Irontech Doll,1,0,0,0,0,1,0
F2387a- 163cm(5.3ft) 53kg G Cup Sex Doll Big Ass  Doggy Style Realistic Silicone Head丨SY Doll,1,0,0,0,0,1,0
F2558-159cm(5.2ft)-37kg A Cup Youthful Realistic Skin Texture Silicone Sex Doll | Fun West Doll,1,0,0,0,0,1,0
F3419-158cm(5f2) -33kg E Cup Petite Medium breast TPE Sex Doll|Aibei Doll,1,0,0,0,0,1,0
F3503-157cm(5.15ft)-35kg C Cup Fantasy Alien Silicone Sex Doll丨Climax Doll Ultra,1,0,0,0,0,1,0
F3505-157cm(5.15ft)-35kg C Cup Silicone Sex Doll丨Climax Doll Ultra,1,0,0,0,0,1,0
F3892-170cm/5ft6 A Cup Big Innocent Eyes TPE Sex Doll | HR Doll,1,0,0,0,0,1,0
F3908K-159cm(5.2ft)-37kg A Cup Luxury-Grade Realistic Skin Texture Silicone Sex Doll [IN STOCK USA /,1,0,0,0,0,1,0
F4245- 159cm(5.2ft) -27kg B Cup Anime Cheap Flat Chest Sex Dolls - WM Doll,1,0,0,0,0,1,0
F4303- 166cm(5.5ft)-36kg B Cup Blonde TPE Sex Doll丨WM Doll,1,0,0,0,0,1,0
F4337-153cm(5.1ft)-32kg B Cup TPE Realistic Japanese Cute Teen Sex Doll– Authentic Uniformed Love Do,1,0,0,0,0,1,0
F4649—156cm/5ft2-26kg Kaiya B Cup Premium Japanese Anime Silicone Sex Doll | Jiusheng Doll,1,0,0,0,0,1,0
F4752-155Rcm(5.1ft)-37kg 2.0 A Cup Robot Silicone flat chest Asian Chinese Sex Doll｜Bezlya Doll,1,0,0,0,0,1,0
F4904-150cm(4ft9)-35.5kg B Cup Silicone Furry Bunny Anime Sex Doll |Climax Doll Ultra,1,0,0,0,0,1,0
F5205-157cm(5ft2) 27.8kg B Cup  Annie life size Japanese TPE Sex Doll |Galaxy,1,0,0,0,0,1,0
F5457-153cm/5ft-28kg Silicone Ancient Style Femboy Sex Dolls-Perfect Blend of Ethereal Long Hair  | ,1,0,0,0,0,1,0
F5941-162cm(5.4ft)-39.5kg 2.2u B Cup Asian Real ROS Silicone flat chest Chinese Sex Doll｜AITIA Doll,1,0,0,0,0,1,0
F6094—152cm/5ft-33kg A Cup Flat Chest Asian ROS Silicone Head TPE Body Sex Doll | SHEDOLL,1,0,0,0,0,1,0
F6138-160cm/5ft2 38kg A Cup Small Breast Lifelike TPE Sex Doll |SY Doll,1,0,0,0,0,1,0
F6217-152cm(4.9ft)-33kg  Small Breasts TPE Realistic Sex Doll - Rui Mei,1,0,0,0,0,1,0
F6236-157cm(5.2ft)-29kg Small Breasts TPE Realistic Sex Doll - Rui Mei,1,0,0,0,0,1,0
F6239—159cm/5ft2-40kg B Cup Asian Sex Doll TPE Body Silicone Head - LilyDoll,1,0,0,0,0,1,0
F6254—172cm/5.6ft-37.5kg A Cup ROS Head Realistic Flat Chest ultra realistic sex dolls - TOP-CYDOLL,1,0,0,0,0,1,0
F6266—172cm/5.6ft-37.5kg A Cup Realistic Christmas Flat Chest Sex Doll with ROS Head - TOP-CYDOLL,1,0,0,0,0,1,0
F7096-150cm/4ft9-29kg B Cup TPE Sexual flat chest  European Sex Doll｜Doll Castle,1,0,0,0,0,1,0
F7128-156cm(5.12ft)-29.7kg 2.1 B Cup Robot Silicone Head Adult Asian Sex Doll｜Bezlya Doll,1,0,0,0,0,1,0
F7143-158cm/5ft2-27kg B Cup Silicon Sexual flat chest Asian Sex Doll｜Doll Castle,1,0,0,0,0,1,0
F7665-170cm/5ft7-27kg A Cup Silicone Flat Chest Full Body Sex Doll Carny｜Doll Castle,1,0,0,0,0,1,0
F7685- 157cm(5.1ft) -33kg B Cup Anime PVC Head Silicone Hentai Sex Doll丨WM Doll,1,0,0,0,0,1,0
