国家/地区,点击次数,展示,点击率,排名
印度,180,1834,9.81%,12.53
美国,98,3177,3.08%,25.85
加拿大,26,445,5.84%,11.33
英国,18,505,3.56%,18.48
巴基斯坦,10,82,12.2%,14.41
马来西亚,9,66,13.64%,13.68
印度尼西亚,7,64,10.94%,9.55
澳大利亚,4,322,1.24%,22.4
伊拉克,4,29,13.79%,22.28
荷兰,3,189,1.59%,58.76
德国,3,135,2.22%,42.14
孟加拉,3,65,4.62%,18.26
菲律宾,2,63,3.17%,19.6
芬兰,2,58,3.45%,39.79
波兰,2,30,6.67%,20.83
土耳其,2,20,10%,26.45
克罗地亚,2,14,14.29%,8.86
法国,1,89,1.12%,45.37
意大利,1,54,1.85%,28.48
南非,1,40,2.5%,23.4
挪威,1,39,2.56%,38.74
墨西哥,1,30,3.33%,25.13
尼日利亚,1,22,4.55%,12.36
肯尼亚,1,20,5%,7.65
新西兰,1,19,5.26%,10.84
爱尔兰,1,15,6.67%,13.6
韩国,1,13,7.69%,17.62
日本,1,13,7.69%,34
阿根廷,1,10,10%,21.2
智利,1,5,20%,27
哈萨克斯坦,1,5,20%,35.2
库拉索,1,1,100%,5
美属维尔京群岛,1,1,100%,11
科索沃,1,1,100%,12
瑞典,0,134,0%,50.7
比利时,0,64,0%,70.56
巴西,0,48,0%,46.46
西班牙,0,42,0%,47.57
葡萄牙,0,38,0%,43.34
越南,0,36,0%,40
奥地利,0,36,0%,51.33
以色列,0,33,0%,20.15
丹麦,0,33,0%,33.09
新加坡,0,26,0%,42.08
俄罗斯,0,25,0%,30.6
罗马尼亚,0,20,0%,31.4
阿拉伯联合酋长国,0,20,0%,43.8
匈牙利,0,17,0%,29.65
伊朗,0,16,0%,6.88
阿尔及利亚,0,16,0%,25.56
捷克,0,13,0%,8.69
中国香港,0,13,0%,34.38
希腊,0,12,0%,13.17
尼泊尔,0,11,0%,11.91
乌兹别克斯坦,0,10,0%,16.4
柬埔寨,0,10,0%,23.6
斯里兰卡,0,9,0%,22.44
黎巴嫩,0,9,0%,66
泰国,0,8,0%,12
阿尔巴尼亚,0,7,0%,1
立陶宛,0,7,0%,4.71
秘鲁,0,7,0%,18.57
保加利亚,0,7,0%,20.29
哥伦比亚,0,7,0%,23.86
波多黎各,0,7,0%,27.14
拉脱维亚,0,7,0%,29.14
厄瓜多尔,0,6,0%,20.83
乌克兰,0,6,0%,23.33
中国,0,6,0%,58.17
沙特阿拉伯,0,5,0%,10
埃及,0,5,0%,32.2
斯洛伐克,0,5,0%,33
委内瑞拉,0,5,0%,33.2
瑞士,0,5,0%,34.6
台湾,0,5,0%,39.8
巴林,0,5,0%,44.8
爱沙尼亚,0,5,0%,69.8
阿曼,0,4,0%,25.75
格鲁吉亚,0,4,0%,32.75
巴哈马,0,4,0%,58.5
索马里,0,3,0%,3
蒙古,0,3,0%,4.67
卡塔尔,0,3,0%,5.33
巴拿马,0,3,0%,6.33
乌干达,0,3,0%,6.67
马其顿,0,3,0%,8
加纳,0,3,0%,8.33
巴拉圭,0,3,0%,8.33
纳米比亚,0,3,0%,9.67
白俄罗斯,0,3,0%,10
利比亚,0,3,0%,21.33
塞尔维亚,0,3,0%,26.67
牙买加,0,3,0%,28.33
约旦,0,3,0%,28.33
多米尼加共和国,0,3,0%,30
斯洛文尼亚,0,3,0%,30
波斯尼亚和黑塞哥维那,0,3,0%,33.67
突尼斯,0,3,0%,34.33
乍得,0,2,0%,3
赞比亚,0,2,0%,6.5
津巴布韦,0,2,0%,8.5
阿鲁巴,0,2,0%,9
缅甸,0,2,0%,13
巴勒斯坦,0,2,0%,21
伯利兹,0,2,0%,51
摩洛哥,0,2,0%,64.5
安提瓜和巴布达,0,1,0%,5
圭亚那,0,1,0%,5
格恩西岛,0,1,0%,6
直布罗陀,0,1,0%,6
玻利维亚,0,1,0%,7
特立尼达和多巴哥,0,1,0%,7
文莱,0,1,0%,8
马耳他,0,1,0%,8
马达加斯加,0,1,0%,9
留尼汪岛,0,1,0%,9
刚果 - 金沙萨,0,1,0%,10
埃塞俄比亚,0,1,0%,10
阿塞拜疆,0,1,0%,17
科特迪瓦,0,1,0%,27
萨尔瓦多,0,1,0%,39
阿富汗,0,1,0%,63
冰岛,0,1,0%,80
