# ----------------------------------------
# linkdolls-new - GA4
# 点击率1-点击数（过滤亚洲）-自由形式 1
# 20260608-20260614
# ----------------------------------------

Click_URL,事件数,活跃用户
,1829,992,总计
https://linkdolls.com/collections/all,178,160
https://linkdolls.com/collections/celebrity-sex-dolls,142,117
https://linkdolls.com/collections/flat-chest-sex-doll,127,110
https://linkdolls.com/collections/big-boobs-sex-doll,125,110
https://linkdolls.com/collections/under-1000-full-doll,101,87
https://linkdolls.com/collections/robotic-sex-doll,98,91
https://linkdolls.com/collections/bbw-sex-doll-torso,96,83
https://linkdolls.com/collections/full-doll,93,61
https://linkdolls.com/collections/anime-sex-doll,85,75
https://linkdolls.com/collections/sex-doll-torso,84,76
https://linkdolls.com/collections/fake-ass-sex-toy,73,67
https://linkdolls.com/collections/sex-doll-torso-dildo-for-woman,73,68
https://linkdolls.com/collections/sex-doll-videos,58,50
https://linkdolls.com/pages/all-category,43,32
https://linkdolls.com/,38,31
https://linkdolls.com/products/irontech-silicone-doll-164cm-f753,23,15
https://linkdolls.com/collections/real-lady,16,16
https://linkdolls.com/collections/hyper-realistic-sex-doll,15,15
https://linkdolls.com/collections/new-arrivals,15,12
https://linkdolls.com/collections/in-stock-usa-1,14,11
https://linkdolls.com/collections/doll-senior,13,11
https://linkdolls.com/products/f5425-elsa-babe-hentai-anime-waifu-sex-dolls-silicone-head-150cm-27-5,12,10
https://linkdolls.com/collections/doll-castle,11,10
https://linkdolls.com/customer_authentication/redirect?locale=en&region_country=US,10,2
https://linkdolls.com/products/f2536-164cm-f-cup-s40-big-boobs-silicone-sex-doll-irontech-doll,10,10
https://linkdolls.com/products/f6146-161cm5ft3-29kg-a-cup-flat-chested-silicone-sex-doll-irontech-do,10,10
https://linkdolls.com/collections/starpery-doll,9,6
https://linkdolls.com/pages/best-sex-doll-promotions,8,7
https://linkdolls.com/products/f5257k-165cm5ft4-37kg-e-cup-nicole-full-size-sex-doll-in-stock-usa-ga,8,2
https://linkdolls.com/collections/mini-sex-doll,7,7
https://linkdolls.com/collections/silicone-sex-dolls,7,6
https://linkdolls.com/collections/huge-breasts-sex-dolls,6,6
https://linkdolls.com/collections/irontech-oriental,6,6
https://linkdolls.com/collections/soccer-beauties-series,6,4
https://linkdolls.com/collections/sy-doll,6,4
https://linkdolls.com/blogs/complete-sex-doll-guide-for-beginners,5,5
https://linkdolls.com/collections/big-booty-sex-dolls,5,5
https://linkdolls.com/collections/irontech-doll,5,5
https://linkdolls.com/products/f1063-162cm-tpe-sex-doll-fun-west-doll,5,4
https://linkdolls.com/products/f1222-160cm-i-cup-celine-sex-doll-irontech-doll,5,5
https://linkdolls.com/products/f1932k-irontech-164cm-f-cup-full-body-sexdoll-hybrid,5,2
https://linkdolls.com/products/f3476-161cm5f3-47kg-d-cup-chubby-tpe-body-silicone-head-sex-doll-aibe,5,5
https://linkdolls.com/collections/alien-sex-dolls,4,4
https://linkdolls.com/collections/curvy-sex-dolls,4,4
https://linkdolls.com/collections/fat-sex-doll,4,4
https://linkdolls.com/collections/full-doll#,4,3
https://linkdolls.com/collections/loli-sex-dolls,4,4
https://linkdolls.com/collections/zelex-doll,4,4
https://linkdolls.com/collections/zelex-k-series,4,4
https://linkdolls.com/products/f9309-165cm-f-cup-most-realistic-sex-doll-doll-senior,4,4
https://linkdolls.com/products/se-doll-head-x-bot-ai-smart-multi-language-talking-h002,4,4
https://linkdolls.com/collections/2000-sex-doll,3,3
https://linkdolls.com/collections/asian-sex-doll,3,3
https://linkdolls.com/collections/cheap-sex-doll,3,2
https://linkdolls.com/collections/furry-sex-doll,3,3
https://linkdolls.com/collections/sex-doll-in-stock-europe-all,3,3
https://linkdolls.com/collections/sex-doll-torso-with-head,3,2
https://linkdolls.com/collections/top-cydoll,3,3
https://linkdolls.com/products/f1975k-layla-170cm-d-cup-silicone-lifesize-sex-dolls,3,3
https://linkdolls.com/products/f2319-sy-163cm-g-cup-super-fat-bbw-life-size-sex-doll,3,3
https://linkdolls.com/products/f2457-164cm5-4ft-39kg-g-cup-life-size-silicone-head-sex-doll-in-stock,3,3
https://linkdolls.com/products/f9257-160cm5ft3-35kg-e-cup-silicone-realistic-sex-doll%E4%B8%A8doll-s,3,3
https://linkdolls.com/collections,2,2
https://linkdolls.com/collections/black-sex-dolls,2,2
https://linkdolls.com/collections/chinese-sex-doll,2,2
https://linkdolls.com/collections/climax-doll-full-body-doll,2,1
https://linkdolls.com/collections/futa-sex-doll,2,2
https://linkdolls.com/collections/hentai-sex-dolls-connecting-fantasy-to-reality,2,2
https://linkdolls.com/collections/male-sex-doll,2,2
https://linkdolls.com/collections/milf-sex-dolls,2,2
https://linkdolls.com/collections/se-doll,2,2
https://linkdolls.com/collections/sex-doll-factory-pictures,2,2
https://linkdolls.com/collections/top-rated-japanese-sex-dolls-in-2026,2,2
https://linkdolls.com/products/a664-37-5lb-silicone-butt-sexy-and-real-realistic-big-ass-sex-doll-to,2,1
https://linkdolls.com/products/f1445-163cm5f3-52kg-e-cup-chubby-tpe-sex-doll-aibei-doll,2,2
https://linkdolls.com/products/f2039-164cm5-4ft-33kg-f-cup-asian-tpe-sex-doll%E4%B8%A8wm-doll,2,1
https://linkdolls.com/products/f2414-sy-164cm-robotic-movable-jaw-life-size-sex-doll,2,2
https://linkdolls.com/products/f2577-171cm5-6ft-37-5kg-d-cup-ros-silicone-sex-doll-irontech-doll,2,2
https://linkdolls.com/products/f4480-150cm-5ft-27-5kg-silicone-sexy-anime-hentai-sex-dolls-elsa-babe,2,2
https://linkdolls.com/products/f7006k-159cm5ft2-45-5kg-g-cup-silicone-ros-best-latina-sex-doll-in-st,2,2
https://linkdolls.com/products/f9233k-160cm5ft2-39kg-c-cup-tpe-sex-dolls-ai-se-doll,2,2
https://linkdolls.com/products/f9399-161cm-silicone-sex-doll,2,2
https://koc83bavulbppcyc-60719464687.shopifypreview.com/collections/zelex-k-series,1,1
https://linkdolls.com/blogs/real-sex-doll-reviews-pros-cons-real-usage-tests,1,1
https://linkdolls.com/blogs/recent-brand-updates-new-arrivals-for-sex-dolls,1,1
https://linkdolls.com/collections/300-600,1,1
https://linkdolls.com/collections/600-999,1,1
https://linkdolls.com/collections/6ye-doll,1,1
https://linkdolls.com/collections/beach-club,1,1
https://linkdolls.com/collections/climax-doll,1,1
https://linkdolls.com/collections/elsa-babe,1,1
https://linkdolls.com/collections/fantasy-sex-dolls,1,1
https://linkdolls.com/collections/femboys-sex-doll,1,1
https://linkdolls.com/collections/galatea-doll,1,1
https://linkdolls.com/collections/game-lady,1,1
https://linkdolls.com/collections/lesbian-sex-doll-1,1,1
https://linkdolls.com/collections/normon-doll,1,1
https://linkdolls.com/collections/sex-doll-head,1,1
https://linkdolls.com/collections/sex-doll-legs,1,1
https://linkdolls.com/collections/sigafun-doll,1,1
https://linkdolls.com/collections/teen-sex-dolls,1,1
https://linkdolls.com/collections/tpe-body-silicone-head,1,1
https://linkdolls.com/collections/wm-doll,1,1
https://linkdolls.com/products/f1035-dallas-golden-hair-f-cup-tpe-life-size-doll,1,1
https://linkdolls.com/products/f106-150cm-4ft9-tpe-sex-doll,1,1
https://linkdolls.com/products/f1067-lily-a-cup-high-quality-sex-dolls,1,1
https://linkdolls.com/products/f1560-165cm-5ft4-elsa-babe-full-silicone-sexy-anime-chinese-sex-dolls,1,1
https://linkdolls.com/products/f1824k-163cm5ft4-c-cup-ella-most-popular-sex-doll-irontech-doll,1,1
https://linkdolls.com/products/f1932k-irontech-164cm-f-cup-full-body-sexdoll-hybrid?variant=44045779,1,1
https://linkdolls.com/products/f1973k-170cm-5-6ft-43kg-d-cup-flora-life-size-silicone-sex-doll-real-,1,1
https://linkdolls.com/products/f1998-156cm5-1ft-39-5kg-h-cup-gabriella-big-breast-milf-tpe-real-lati,1,1
https://linkdolls.com/products/f2028-162cm5-3ft-34kg-f-cup-christmas-tpe-sex-doll%E4%B8%A8wm-doll,1,1
https://linkdolls.com/products/f2071-164cm5-4ft-33kg-f-cup-european-tpe-sex-doll%E4%B8%A8wm-doll,1,1
https://linkdolls.com/products/f2082-monique-starpery-172cm-f-cup-female-sex-doll,1,1
https://linkdolls.com/products/f2344-151cm4-9ft-65kg-m-cup-bbw-jasmine-huge-breast-silicone-mini-sex,1,1
https://linkdolls.com/products/f2385-163cm5-3ft-g-cup-138-bbw-big-butt-tpe-sex-doll%E4%B8%A8sy-doll,1,1
https://linkdolls.com/products/f2422-168cm-m-cup-shemale-trans-big-dick-musculature-shemale-sex-doll,1,1
https://linkdolls.com/products/f2438-159cm5-2ft-39kg-d-cup-ai-chat-life-size-silicone-head-sex-doll-,1,1
https://linkdolls.com/products/f270-156cm5ft1-48kg-m-cup-laura-huge-boobs-big-tits-tpe-sex-doll-wm-d,1,1
https://linkdolls.com/products/f3064-zelex-172cm-alexandra-silicone-life-size-sex-doll,1,1
https://linkdolls.com/products/f3076-165cm-d-cup-silicone-head-movable-jaw-sle-body-sex-doll-zelex-d,1,1
https://linkdolls.com/products/f3414-157cm5ft2-32kg-d-cup-asian-tpe-sex-doll-aibei-doll,1,1
https://linkdolls.com/products/f3442-aibei-h-cup-sucking-life-size-sex-doll,1,1
https://linkdolls.com/products/f3537-160cm5-2ft-42kg-b-cup-fantasy-tpe-sex-doll%E4%B8%A8wm-doll?vari,1,1
https://linkdolls.com/products/f3773-yl-doll-153cm-ssbbw-full-size-sex-doll,1,1
https://linkdolls.com/products/f4708-doll-castle-150cm-j-cup-bbw-life-sized-sex-doll,1,1
https://linkdolls.com/products/f4713-165cm5ft4-33kg-regina-i-c-cup-sexy-realistic-adult-realistic-si,1,1
https://linkdolls.com/products/f4918-150cm4ft9-26-2kg-b-cup-small-breast-tpe-sex-doll-aibei-doll,1,1
https://linkdolls.com/products/f4929-166cm-sexbot-vine-talk-ai-silicone-head-wm-doll,1,1
