# ----------------------------------------
# 电子商务购买: 商品名称
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260629
# 结束日期：20260705
商品名称,查看过的商品数,加入购物车的商品数,已购买的商品数,商品收入,跳出率,活跃用户,结账的商品数
F2319a-163cm(5.3ft) 53kg G CupBig Butt Sex Doll BBW Super Fat Huge Ass with ROS Movable Jaw丨SY Doll,22,0,0,0,0,22,0
F1444-163cm(5f3)-52kg  E Cup  Wheat Skin Realistic Soft TPE BBW Full Size Sex Dolls 【IN Stock USA/EU,18,3,0,0,0,16,1
F5316-166cm/5ft5 43kg  F Cup Life Size Realistic Tan Skinny Milf Silicone Sex Doll  | MD Doll,14,0,0,0,0,12,0
F6131-159cm/5.2ft 34kg B Cup Flat Chested Young Sex Doll robotic sex - Rosretty Doll,13,3,0,0,0,4,5
F9141-170cm(5.6ft)-43kg Huge Boob Sex Doll Anime Asian ROS Gel Breast Silicone | Doll Senior,11,0,0,0,0,9,0
A499-84.92LB BBW Big Booty Sex Doll Torso Silicone | LoveNestle Series,10,0,0,0,0,9,0
A599 (83lb) BBW Sex Doll Torso Big Booty Doggy Style Sucking Doll Biggest Ass Sex Toy【IN STOCK US】,10,1,0,0,0,9,0
F8614—164cm/5ft4-38.75kg I Cup Aisan Silicone Huge Breast Sex Doll Ruby- Firefly Diary,10,0,0,0,0,6,0
"F2319-163cm(5.3ft) 53kg G Cup Hips Over 140"" ROS Movable Jaw Full Size Sex Dolls Huge Ass Sex Doll丨S",9,0,0,0,0,6,0
F2465-Sigafun Doll Realistic AI sex dolls Porn Star Sex Doll Silicone Head 163cm 40kg C Cup【IN STOCK,9,0,0,0,0,8,0
F4890-SY Dolls Big Breasts Robot Pussy Big Ass Sex Doll Silicone Head 169cm 50kg,9,0,0,0,0,8,0
F7679-150cm(4ft9)-37.6kg L Cup S-TPE Gel Filled Big Breasts Life Size Anime BBW Sex Doll Anna | IROK,9,6,0,0,0,1,1
F7690-161cm(5ft3)/41.5kg H Cup Silicone SSBBW Sex Doll with Weight Reduction 4.0 and ROS Head｜Starpe,9,0,0,0,0,9,0
"H002 X-Bot AI Smart Doll Head – Multi-Language Talking, Lifelike Expressions & Interactive Emotions ",9,0,0,0,0,8,0
F2574-168cm(5.5ft)-39kg H Cup Most Realistic Sex Doll Silicone｜Real Lady,8,0,0,0,0,7,0
