国家/地区,点击次数,展示,点击率,排名
美国,150,1206,12.44%,6.15
加拿大,18,103,17.48%,5.63
荷兰,7,32,21.88%,7.28
德国,6,77,7.79%,9.01
澳大利亚,5,47,10.64%,5.83
瑞典,5,32,15.62%,8.66
墨西哥,4,46,8.7%,7.59
俄罗斯,4,44,9.09%,8.25
印度尼西亚,4,27,14.81%,5.7
英国,3,92,3.26%,9.72
马来西亚,3,18,16.67%,5.33
日本,3,17,17.65%,5.24
挪威,3,16,18.75%,4.12
菲律宾,3,11,27.27%,5.18
法国,2,28,7.14%,8.04
越南,2,23,8.7%,6.48
阿根廷,2,18,11.11%,7
匈牙利,2,15,13.33%,3.93
捷克,2,15,13.33%,11.2
乌克兰,2,13,15.38%,9.38
新加坡,2,11,18.18%,4.36
巴西,1,51,1.96%,7.04
波兰,1,50,2%,8.76
西班牙,1,23,4.35%,7.91
泰国,1,21,4.76%,6.05
芬兰,1,20,5%,5.95
意大利,1,17,5.88%,6.88
奥地利,1,12,8.33%,6
瑞士,1,12,8.33%,6.17
罗马尼亚,1,10,10%,4.4
丹麦,1,9,11.11%,6.33
韩国,1,8,12.5%,5.12
智利,1,7,14.29%,4.71
爱沙尼亚,1,6,16.67%,19.5
新西兰,1,5,20%,4
南非,1,4,25%,4
希腊,1,3,33.33%,3.67
巴拉圭,1,3,33.33%,4
哥伦比亚,1,3,33.33%,6.33
土耳其,1,3,33.33%,12.33
摩尔多瓦,1,2,50%,3
爱尔兰,1,2,50%,5.5
法罗群岛,1,1,100%,3
巴基斯坦,1,1,100%,3
葡萄牙,0,9,0%,4.78
印度,0,8,0%,4.75
白俄罗斯,0,7,0%,6
秘鲁,0,6,0%,4.67
中国香港,0,5,0%,6
波多黎各,0,4,0%,3.75
斯洛伐克,0,4,0%,5
以色列,0,3,0%,3
中国,0,3,0%,3.67
阿拉伯联合酋长国,0,3,0%,4
委内瑞拉,0,3,0%,4.33
台湾,0,3,0%,5.33
伊拉克,0,2,0%,3
摩洛哥,0,2,0%,4.5
厄瓜多尔,0,2,0%,5
哈萨克斯坦,0,2,0%,5
孟加拉,0,1,0%,3
保加利亚,0,1,0%,3
伯利兹,0,1,0%,3
危地马拉,0,1,0%,3
克罗地亚,0,1,0%,3
老挝,0,1,0%,3
黎巴嫩,0,1,0%,3
缅甸,0,1,0%,3
塞内加尔,0,1,0%,3
叙利亚,0,1,0%,3
比利时,0,1,0%,4
玻利维亚,0,1,0%,4
立陶宛,0,1,0%,4
拉脱维亚,0,1,0%,4
萨尔瓦多,0,1,0%,4
特立尼达和多巴哥,0,1,0%,4
斯洛文尼亚,0,1,0%,5
斯里兰卡,0,1,0%,7
哥斯达黎加,0,1,0%,9
安哥拉,0,1,0%,10
