# ----------------------------------------
# 电子商务购买: 商品名称
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260615
# 结束日期：20260621
商品名称,查看过的商品数,加入购物车的商品数,已购买的商品数,商品收入,跳出率,活跃用户,结账的商品数
F7891-14kg-Silicone Cute Furry Sex Doll Demon Sheep Rabbit | MRL,21,0,0,0,0,15,0
F5700-160cm/5ft4-55kg Q Cup Bear Furry Silicone Cartoon Sex Dolls Anime pawg sex doll with huge brea,18,0,0,0,0,17,0
F759-170cm(5ft6)-50kg G Cup Silicone Deer Girl Furry Animal ROS Sex Doll |Moonvale Doll,14,0,0,0,0,11,0
F8042-150cm/5ft-27.5kg Silicone Cute Furry Sex Doll – Innocent Look with Naughty Features | Elsa Bab,14,2,0,0,0,4,0
F5707K-168cm/5ft6-40kg A Cup Cartoon Sex Doll Rabbit Police Officer Anime Hentai IN Stock EU】｜Doll C,11,0,0,0,0.09090909090909091,11,0
F6163-34kg D Cup Midna Anime Hentai Silicone Fantasy Sex Dolls｜Doll Castle,9,0,0,0,0,7,0
F4904-150cm(4ft9)-35.5kg B Cup Silicone Furry Bunny Anime Sex Doll |Climax Doll Ultra,7,0,0,0,0,6,0
F7022-162cm/5ft3-37kg G Cup TPE Sex Doll Huge Breasts Fantasy Sexdolls【IN Stock US/EU 】｜Doll Castle,7,0,0,0,0,7,0
F760-170cm(5ft6)-50kg G Cup Silicone Deer Girl Furry Animal ROS Sex Doll |Moonvale Doll,7,0,0,0,0,6,0
F7890-13.4kg-Silicone Cute Furry Sex Doll Pamick | MRL,7,0,0,0,0,6,0
F9403-38kg G Cup Silicone SCP Mini Anime BBW Lifelike Sex Doll Hentai Toys｜Doll Castle,7,0,0,0,0,7,0
A351-7.7LB-Silicone Deer Ass Furry Sex Doll Torso | MRL,6,0,0,0,0,5,0
F6191-41kg E Cup Cartoon Sex Doll Monie Fantasy Cute Horse Face Anime Hentai Furry [Climax Doll Pro],6,0,0,0,0,6,0
F7688-22.7kg Lightweight Fantasy MILF Silicone Sex Doll Wasteland Huntress Barza | Climax Doll ULW,6,0,0,0,0,6,0
F8151-160cm/5ft2-36kg Realistic Furry Sex Doll with Big Breasts – Lifelike Silicone Catgirl Anime Co,6,0,0,0,0,5,0
F4810K- 164cm(5.4ft)/36kg D Cup Cat Girl Furry Sex Doll Silicone Naked doll丨Rosretty Doll,5,0,0,0,0,5,0
F8186-160cm/5ft2-36kg Silicone Anime Life Size Furry Sex Doll | Elsa Babe,5,0,0,0,0,4,0
F9109-150cm/5ft-27.5kg  Silicone Best Sex Doll Anime | Elsa Babe,5,0,0,0,0,5,0
T693 - 64.6 lbs Meru Anime Alien Sex Doll Torso with Flat Chest Red Skin【in stock US】,5,0,0,0,0,5,0
A352-8.3LB-SiliconeWolf Ass Furry Sex Doll Torso | MRL,4,0,0,0,0,3,0
F5518-160cm(5ft2)-45.2kg L Cup Meru Fantasy Silicone Heade Sex Doll【in stock】|Climax Doll Pro,4,0,0,0,0,3,0
T693 - 64.6 lbs Meru Anime Alien Sex Doll Torso with Flat Chest Red Skin【in stock】,4,0,0,0,0,4,0
F2225-159cm-37kg A Cup Fantasy Kylie Cosplay Elf  Alien Anime TPE Sex Doll｜Fun West Doll,3,0,0,0,0,3,0
F9194-155cm 47.5kg M Cup Goat Mommy Anime Lifelike Furries Silicone Hentai ssbbw anthro sex doll｜Dol,3,0,0,0,0,2,0
F1527-Elsa Babe-150cm/5ft-27.5kg Full Silicone Sexy Little Anime Furry Sex Dolls | Elsa Babe,2,0,0,0,0,2,0
F5518-160cm(5ft2)-45.2kg L Cup Meru Fantasy  Silicone Heade Furry Sex Doll |Climax Doll Pro,2,0,0,0,0,2,0
F5546-153cm/5ft-28kg Silicone Anime Femboy Sex Doll - Elsa Babe,2,0,0,0,0,2,0
F6280—160cm/5ft3-34kg E Cup Silicone Closed Eyes hyper realistic sex dolls Large Breasts | Firefly D,2,0,0,0,0,2,0
F7644-8kg D Cup Silicone Realistic Blue Cat Anime-Style Furry  Sex Doll｜Doll Castle,2,0,0,0,0,1,0
F7690-161cm(5ft3)/41.5kg H Cup Silicone SSBBW Sex Doll with Weight Reduction 4.0 and ROS Head｜Starpe,2,0,0,0,0,2,0
F8033-150cm/5ft-27.5kg Silicone  Anime Hentai Sex Doll Furries| Elsa Babe,2,0,0,0,0,1,0
F9363-36kg Silicone Gear Walrus Mini Anime Furry Futa Sex Doll｜Doll Castle,2,0,0,0,0,2,0
P107-26cm/10.2in 1.5kg Silicone Figure Hentai 2B Anime Pocket Pussy BL Anime Sex Toys｜Doll Castle,2,0,0,0,0,1,0
P118-Fake Pussy Realistic Masturbator Mini Furry Hentai Mini Sex Doll | MRL,2,0,0,0,0,2,0
P384-2.2lbs Dragon's Claw Mini Anime Hentai Pocket Pussy | MRL,2,0,0,0,0,2,0
P389-2.6LB Furry Anime Pocket Pussy Silicone Stroker – Compact Anime Character Male Masturbator with,2,0,0,0,0,1,0
P93- MRL Paula Cow Girl Six Boobs Anime Sexdolls Hentai Alien Sex Dolls Torso 10.8LB,2,0,0,0,0,1,0
T393-8.9LB Heketa Anime Hentai Sex Doll Ass | MRL,2,0,0,0,0,2,0
A316-17.4lbs Silicone Big Ass BBW Sex Doll Thick Torso | MRL,1,0,0,0,0,1,0
A353-7.7LB-Silicone Meru Ass Torso Sex Doll | MRL,1,0,0,0,0,1,0
A512 (57.32lb) Big Ass Sex Doll Torso Doggy Style 1:1 Life-Sized BBW Sex Doll,1,0,0,0,0,1,0
A599 (83lb) BBW Sex Doll Torso Big Booty Doggy Style Sucking Doll Biggest Ass Sex Toy【IN STOCK US】,1,0,0,0,0,1,0
A660-Big Ass Sex Dolls Torso Realistic Silicone 25lb Elastic Butty,1,0,0,0,0,1,0
A799-(31.86lb) Silicone Big Butt Realistic Sex Torso Toys- Climax Doll,1,0,0,0,0,1,0
F1069-157cm(5.2ft) C Cup Bella Small Breasts Mini Teen TPE human sex doll｜Fun West Doll,1,0,0,0,0,1,0
F1308-160cm I Cup Penny Biggest Ebony Black BBW life size dolls｜Irontech Doll,1,0,0,0,0,1,0
F1447-153cm(5ft)-34kg H Cup Petite Fantasy Anime TPE Sex Doll 100% Genuine【IN Stock USA】 |Aibei Doll,1,0,0,0,0,1,0
F1871-159cm(5.2ft) 37kg A Cup Alice Cosplay Realistic Hot Anime S-TPE sex with sexual doll 【IN STOCK,1,0,0,0,0,1,0
F2045- 165cm(5.5ft)-34kg D Cup Anime Hentai TPE Robot AI Sex Doll丨WM Doll,1,0,0,0,0,1,0
F2169-157cm(5.15ft)-35kg C Cup  Meru Fantasy Tiny Alien Silicone Hentai Furry Sex Doll丨Climax Doll U,1,2,0,0,0,1,3
F2173-170cm（5.6ft）-43kg D Cup Zara  Life-Size Silicone Sex Doll｜Real Lady,1,0,0,0,0,1,0
F2319a-163cm(5.3ft) 53kg G CupBig Butt Sex Doll BBW Super Fat Huge Ass with ROS Movable Jaw丨SY Doll,1,0,0,0,0,1,0
F2384a- 163cm(5.3ft)-53kg G Cup S6 Best Big Ass Silicone Head Real BBW Sex Doll Booty丨SY Doll,1,0,0,0,0,1,0
F2388-153cm/5ft G Cup Huge Breast Realistic BBW TPE robotsex Doll |SY Doll,1,0,0,0,0,1,0
F2410- 164cm(5.4ft) D Cup AI Chatbot Blinking Smiling Robot Sex Doll AI丨SY Doll,1,0,0,0,0,1,0
F2464-163cm(5.3ft)-40kg C Cup Amani Dark Realistic Silicone Head Look Alike Sex Dolls sex with sexua,1,0,0,0,0,1,0
F2468-163cm(5.3ft)-40kg C Cup Realistic Silicone Head Sex Doll【IN STOCK US/EU】｜Sigafun Doll,1,0,0,0,0,1,0
F306-160cm(5ft2)-34kg A Cup Asian flat chested STPE Sex Doll【IN STOCK USA】 |WM Doll,1,0,0,0,0,1,0
F3788-170cm/5ft6(37kg) D Cup TPE Sexy Woman Latina Lightweight Sex Doll | YL Doll,1,0,0,0,0,1,0
F4039-150cm K Cup Best Big Ass Huge Breast TPE BBW Sex Doll【IN Stock US/EU 】｜Doll Castle,1,0,0,0,0,1,0
F4514-150cm(4ft9)-25kg Mary F Cup Silicone HHS Black Hair Animes Mini Hentai Sex Doll | IROKEBIJIN D,1,0,0,0,0,1,0
