国家/地区,点击次数,展示,点击率,排名
美国,28,425,6.59%,8.15
德国,16,125,12.8%,4.2
加拿大,1,32,3.12%,8.12
澳大利亚,1,12,8.33%,8.42
越南,1,5,20%,7
克罗地亚,1,3,33.33%,8.33
俄罗斯,1,1,100%,5
日本,1,1,100%,9
荷兰,0,3,0%,7.33
挪威,0,3,0%,9
英国,0,3,0%,21.67
印度,0,3,0%,52.67
巴拉圭,0,2,0%,7
南非,0,2,0%,7.5
委内瑞拉,0,2,0%,8
菲律宾,0,2,0%,9
新西兰,0,2,0%,10
拉脱维亚,0,1,0%,1
中国香港,0,1,0%,3
圣基茨和尼维斯,0,1,0%,3
捷克,0,1,0%,5
伊朗,0,1,0%,5
比利时,0,1,0%,6
多米尼加共和国,0,1,0%,6
意大利,0,1,0%,6
巴西,0,1,0%,7
韩国,0,1,0%,7
以色列,0,1,0%,9
圣马丁,0,1,0%,9
摩洛哥,0,1,0%,9
丹麦,0,1,0%,10
印度尼西亚,0,1,0%,10
罗马尼亚,0,1,0%,11
厄瓜多尔,0,1,0%,20
