# ----------------------------------------
# 电子商务购买: 商品名称
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260601
# 结束日期：20260607
商品名称,查看过的商品数,加入购物车的商品数,已购买的商品数,商品收入,跳出率,活跃用户,结账的商品数
T908K -Climax Classic Huge Sex Tits BBW Sex Doll Torso TPE Gel 94.8 lbs Cinnamon,12,0,0,0,0,11,0
F2537-SY Doll Huge Tits Sex Huge Breast Sex Doll ROS Silicone Head 170cm 41kg,9,0,0,0,0,7,0
F9285-178cm/5ft10-63kg P Cup ROS Silicone Big Tit Sex Dolls Giant Sex Doll｜Doll Castle,8,0,0,0,0,7,0
"F2344-151cm(4.9ft)-65kg T Cup Hips Over 155"" BBW Biggest Ass Huge Breast Sex Doll丨Climax Doll Pro",5,0,0,0,0,5,0
F2430a-158cm/5ft2 40kg X Cup BBS Lustina Weight Reduction Full Silicone SSBBW Sex Doll | Starpery Do,5,0,0,0,0,1,0
F4474k-163cm(5.3ft)-51kg H Cup BBW TPE Sex Doll with Big Asses丨WM Doll,4,0,0,0,0,2,0
F6144-153cm/5ft G Cup Huge Breast Sex Doll BBW TPE |SY Doll,4,0,0,0,0,4,0
F9173-161cm(5.3ft)-53kg I Cup Silicone Halloween SSBBW Sex Doll Huge Boob Sex Doll丨Climax Doll Ultra,4,0,0,0,0,3,0
F9186- 170cm(5ft7)-43kg G Cup Silicone ROS Gel Breast Huge Tits Sex Doll Full Size丨Doll senior,4,0,0,0,0,3,0
F2430k-158cm/5ft2 40kg X Cup Weight Reduction Full Silicone Huge Tits Sex Doll BBW【IN Stock US】 | St,3,0,0,0,0,2,0
F3772-153cm/5ft(44kg) G Cup Semansa Big Butt Breasts TPE pawg sex doll | YL Doll,3,0,0,0,0,3,0
F4759K-175cm(5ft9)-54kg X Cup Huge Breast Fat Thick Ass TPE SSBBW Sex Doll【IN Stock EU】｜Doll Castle,3,0,0,0,0,3,0
F7658- 170cm(5ft7)-43kg G Cup Silicone ROS Gel Breast Huge Tits Sex Doll Full Size丨Doll senior,3,0,0,0,0,3,0
B38-17.1lb/Full Bust: 36.2inch-Black Ebony Silicone breast sex toys Breast Sex Titty Fucking Mammary,2,0,0,0,0,1,0
