国家/地区,点击次数,展示,点击率,排名
美国,9,315,2.86%,15.1
印度,1,16,6.25%,12.44
英国,1,4,25%,27.75
泰国,1,3,33.33%,24.67
墨西哥,1,1,100%,20
奥地利,1,1,100%,25
加拿大,0,12,0%,7.67
澳大利亚,0,9,0%,24.78
法国,0,9,0%,35.89
捷克,0,3,0%,4
巴西,0,3,0%,19.33
南非,0,2,0%,7
越南,0,2,0%,7.5
印度尼西亚,0,2,0%,8
菲律宾,0,2,0%,8
阿根廷,0,2,0%,14.5
荷兰,0,2,0%,26.5
俄罗斯,0,2,0%,29.5
波兰,0,2,0%,50.5
挪威,0,1,0%,5
尼日利亚,0,1,0%,6
比利时,0,1,0%,7
匈牙利,0,1,0%,7
瑞典,0,1,0%,7
智利,0,1,0%,9
马来西亚,0,1,0%,11
罗马尼亚,0,1,0%,12
西班牙,0,1,0%,23
肯尼亚,0,1,0%,23
巴林,0,1,0%,24
尼泊尔,0,1,0%,31
哥伦比亚,0,1,0%,39
德国,0,1,0%,39
意大利,0,1,0%,40
台湾,0,1,0%,46
芬兰,0,1,0%,48
