# ----------------------------------------
# linkdolls-new - GA4
# 点击率1-点击数（过滤亚洲）-自由形式 1
# 20260713-20260719
# ----------------------------------------

Click_URL,事件数,活跃用户
,78,29,总计
https://linkdolls.com/collections/climax-doll-in-stock-usa,9,7
https://linkdolls.com/collections/sex-doll-videos,9,3
https://linkdolls.com/collections/full-doll,5,4
https://linkdolls.com/collections/huge-breasts-sex-dolls,4,1
https://linkdolls.com/collections/irontech-doll-in-stock-usa,4,2
https://linkdolls.com/collections/top-cydoll-in-stock-usa,4,3
https://linkdolls.com/collections/aibei-doll-in-stock-usa,3,3
https://linkdolls.com/collections/sigafun-doll-in-stock-usa,3,2
https://linkdolls.com/collections/wm-doll-in-stock-usa,3,3
https://linkdolls.com/collections/xingse-doll-in-stock-usa,3,3
https://linkdolls.com/collections/300-600,2,2
https://linkdolls.com/collections/dolls-castle-in-stock-usa,2,2
https://linkdolls.com/collections/erovenus-doll-in-stock-usa,2,2
https://linkdolls.com/collections/fake-pussy-fake-vagina-sex-toys,2,1
https://linkdolls.com/collections/judy-rona-in-stock-usa,2,2
https://linkdolls.com/collections/md-doll-in-stock-usa,2,2
https://linkdolls.com/collections/se-doll-in-stock-usa,2,2
https://linkdolls.com/collections/starpery-doll-in-stock-usa,2,2
https://linkdolls.com/pages/all-category,2,1
https://linkdolls.com/blogs/dolls-info-qustions,1,1
https://linkdolls.com/collections/2000-sex-doll,1,1
https://linkdolls.com/collections/european-sex-dolls,1,1
https://linkdolls.com/collections/funwest-doll-in-stock-usa-1,1,1
https://linkdolls.com/collections/in-stock-usa-1#,1,1
https://linkdolls.com/collections/lilydoll-in-stock-usa,1,1
https://linkdolls.com/collections/lusandy-doll-in-stock-usa,1,1
https://linkdolls.com/collections/nianta-doll-in-stock-usa,1,1
https://linkdolls.com/collections/ridmii-doll-in-stock-usa-1,1,1
https://linkdolls.com/collections/silicone-sex-dolls,1,1
https://linkdolls.com/collections/sy-doll-in-stock-usa,1,1
https://linkdolls.com/collections/under-1000-full-doll,1,1
https://linkdolls.com/collections/zelex-doll-in-stock-usa,1,1

