# ----------------------------------------
# linkdolls-new - GA4
# 点击率1-点击数（过滤亚洲）-自由形式 1
# 20260427-20260503
# ----------------------------------------

Click_URL,事件数,活跃用户
,15,12,总计
https://linkdolls.com/pages/all-category,2,2
https://linkdolls.com/products/590-sex-doll-torso,2,2
https://linkdolls.com/products/t588v-torso-tpe-16lb-sucking-vibration-auto-clean,2,2
https://linkdolls.com/collections/anime-sex-doll,1,1
https://linkdolls.com/collections/full-doll,1,1
https://linkdolls.com/collections/lesbian-sex-doll-torso#,1,1
https://linkdolls.com/collections/sex-doll-head,1,1
https://linkdolls.com/products/55cm-big-boobs-torso-sex-doll-502-sex-doll-torso,1,1
https://linkdolls.com/products/595-sex-doll,1,1
https://linkdolls.com/products/t522,1,1
https://linkdolls.com/products/t660-15-43lbs-tpr-8-46in-dildo-insert-ai-sex-doll-torso-toy-masturbat,1,1
https://linkdolls.com/products/test-501-25-3lb-45cm-life-sized-and-realistic-bbw-sex-doll-torso,1,1

