# ----------------------------------------
# 电子商务购买: 商品名称
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260511
# 结束日期：20260517
商品名称,查看过的商品数,加入购物车的商品数,已购买的商品数,商品收入,跳出率,活跃用户,结账的商品数
T588V-16.09lb Sucking Sex Torso TPE Vibration & Auto Clean,4,0,0,0,0,4,0
T593(48.5lb) Black Luxury Realistic Small Breasts Flat-Chested Half Torso Sex Doll【In Stock US】|Clim,4,0,0,0,0,3,0
T275-33.07lbs/80cm Lightweight Life-Size Sex Doll Torso with Head【can choose no head】 | Climax Doll,3,0,0,0,0,1,0
T592(67.2lb) Black-BBW Sex Dolls｜Gel Breasts & Big Ass Ebony Sex Doll Torso【In Stock US/EU】|Climax D,3,0,0,0,0,3,0
T502-21lb/53cm-Realisitc Torso Sexdoll Big Boobs Round Ass,2,0,0,0,0,2,0
A515 (5.68lb) Lightweight Realistic Butt Cheap Mini Sex Toy Male Masturbator,1,0,0,0,0,1,0
"P91-8.51LB BBW Futa Shemale Sex Doll Torso with Muscular Abs and 5.91"" Insertable Penis | MRL",1,0,0,0,0,1,0
T281-52.91lbs/100cm Lightweight Life Size BBW Sex Doll Torso with Head【can choose no head】 | Climax ,1,0,0,0,0,1,0
T501(25.3lb/45cm)Best Realistic Best Cheap BBW Torso Sex Dolls |Big Round Ass,1,0,0,0,0,1,0
T519(20.32lb) Curvy Lightweight 55cm Sex Doll Torsos&Plump Breasts&Large round nipples,1,0,0,0,0,1,0
T522 (5lbs)Petite Sex Doll Fake Pussy Best Cheap small sex doll Male Sex Toy 100% Genuine,1,0,0,0,0,1,0
T544 （5.5lb）Cheap Mini size torso doll|fake pussy sex toy,1,0,0,0,0,1,0
T592(67.2lb) Cinnamon-Torso Sexdoll｜Gel Breasts & Big Ass Sex Doll Torso【In Stock US】|Climax Doll,1,0,0,0,0,1,0
T619-11LB Hannah Mini Muscular Sex Doll Male Masturbator丨Tantaly,1,0,0,0,0,1,0
T647 -13.2lbs Black Muscle Trans TPE Big Butt Futa Shemale Sex Doll Torso | MRL,1,0,0,0,0,1,0
