国家/地区,点击次数,展示,点击率,排名
美国,2674,29014,9.22%,12.53
印度,265,2619,10.12%,13.73
加拿大,233,2546,9.15%,10.25
英国,145,1980,7.32%,22.09
德国,136,2065,6.59%,16.31
澳大利亚,116,1983,5.85%,17.62
荷兰,62,954,6.5%,22.32
马来西亚,58,651,8.91%,9.08
波兰,54,476,11.34%,9.57
菲律宾,49,1036,4.73%,7.47
印度尼西亚,36,513,7.02%,9.7
日本,36,453,7.95%,9.66
芬兰,34,352,9.66%,15.44
俄罗斯,33,443,7.45%,13.13
瑞典,31,610,5.08%,24.83
越南,30,449,6.68%,12.71
巴基斯坦,30,360,8.33%,7.83
法国,27,642,4.21%,28.23
泰国,27,315,8.57%,14.65
丹麦,26,292,8.9%,18.63
孟加拉,26,241,10.79%,11.41
瑞士,26,213,12.21%,7.17
匈牙利,25,274,9.12%,12.51
南非,21,333,6.31%,16.24
捷克,21,193,10.88%,14.67
希腊,21,192,10.94%,9.55
挪威,20,270,7.41%,16.27
罗马尼亚,18,328,5.49%,21.09
比利时,18,307,5.86%,24.64
奥地利,18,241,7.47%,26.61
新西兰,17,210,8.1%,10.89
土耳其,16,219,7.31%,12.61
意大利,15,311,4.82%,12.35
墨西哥,15,221,6.79%,14.52
爱尔兰,15,174,8.62%,11.19
新加坡,14,284,4.93%,12.1
以色列,14,141,9.93%,12.52
巴西,13,405,3.21%,11.41
伊拉克,12,99,12.12%,7.91
斯洛文尼亚,12,89,13.48%,11.02
西班牙,11,164,6.71%,17.74
埃及,10,123,8.13%,11.5
乌克兰,10,90,11.11%,9.7
中国香港,9,121,7.44%,17.56
尼泊尔,9,101,8.91%,9.71
尼日利亚,8,116,6.9%,9.55
韩国,8,115,6.96%,13.42
保加利亚,8,107,7.48%,24.01
肯尼亚,8,57,14.04%,7.61
葡萄牙,7,113,6.19%,14.29
拉脱维亚,7,105,6.67%,35.43
哥伦比亚,7,67,10.45%,11.82
塞尔维亚,6,81,7.41%,13.53
斯洛伐克,5,141,3.55%,19.88
立陶宛,5,128,3.91%,26.78
台湾,5,74,6.76%,4.57
阿尔及利亚,5,61,8.2%,8.33
摩洛哥,5,60,8.33%,7.35
智利,5,59,8.47%,9.88
哈萨克斯坦,5,52,9.62%,6.58
阿尔巴尼亚,5,51,9.8%,4.43
波多黎各,5,44,11.36%,13.45
秘鲁,5,39,12.82%,10.56
斯里兰卡,4,48,8.33%,10.96
蒙古,4,48,8.33%,14.27
沙特阿拉伯,4,40,10%,12.05
巴拿马,4,10,40%,6.2
爱沙尼亚,3,251,1.2%,34.02
中国,3,74,4.05%,20.01
加纳,3,40,7.5%,7.8
阿拉伯联合酋长国,3,40,7.5%,11.2
摩尔多瓦,3,32,9.38%,7.94
埃塞俄比亚,3,27,11.11%,8.52
卡塔尔,3,27,11.11%,9.63
赞比亚,3,23,13.04%,4.87
克罗地亚,2,85,2.35%,10.42
冰岛,2,80,2.5%,40.98
阿根廷,2,73,2.74%,20.51
缅甸,2,38,5.26%,9.45
叙利亚,2,34,5.88%,8.59
塞浦路斯,2,30,6.67%,12.27
萨尔瓦多,2,25,8%,10.76
乌拉圭,2,23,8.7%,23.83
阿塞拜疆,2,22,9.09%,6.09
科威特,2,21,9.52%,18.81
委内瑞拉,2,19,10.53%,9.32
乌兹别克斯坦,1,43,2.33%,14.49
安道尔,1,35,2.86%,57.17
特立尼达和多巴哥,1,33,3.03%,7.36
波斯尼亚和黑塞哥维那,1,33,3.03%,7.82
格鲁吉亚,1,30,3.33%,7.6
约旦,1,27,3.7%,8.44
哥斯达黎加,1,23,4.35%,13.57
牙买加,1,22,4.55%,6.55
白俄罗斯,1,22,4.55%,8.41
突尼斯,1,21,4.76%,8.29
黎巴嫩,1,20,5%,7.35
多米尼加共和国,1,20,5%,27.95
毛里求斯,1,19,5.26%,7.21
马耳他,1,19,5.26%,31.95
乌干达,1,15,6.67%,7
危地马拉,1,14,7.14%,13.93
马尔代夫,1,12,8.33%,5.83
巴勒斯坦,1,11,9.09%,8.91
坦桑尼亚,1,11,9.09%,9.64
亚美尼亚,1,10,10%,12.1
巴巴多斯,1,9,11.11%,4.89
马其顿,1,8,12.5%,6.12
澳门,1,6,16.67%,5.67
索马里,1,5,20%,5.8
古巴,1,5,20%,15.4
未知地区,1,5,20%,17.2
格陵兰,1,4,25%,1
法罗群岛,1,4,25%,5.5
洪都拉斯,1,4,25%,7
佛得角,1,3,33.33%,5.67
苏丹,1,3,33.33%,19.33
南苏丹,1,2,50%,2.5
冈比亚,1,2,50%,7
安提瓜和巴布达,1,1,100%,4
马约特岛,1,1,100%,4
泽西岛,1,1,100%,6
卢森堡,0,61,0%,38.89
柬埔寨,0,28,0%,13.75
津巴布韦,0,20,0%,7.35
列支敦士登,0,19,0%,53.84
利比亚,0,15,0%,5.73
阿曼,0,15,0%,6.2
厄瓜多尔,0,14,0%,8.71
巴林,0,12,0%,6.33
吉尔吉斯斯坦,0,12,0%,6.5
圭亚那,0,10,0%,5.9
玻利维亚,0,10,0%,6.3
巴拉圭,0,9,0%,6.11
斐济,0,9,0%,9.22
伊朗,0,8,0%,7.38
巴哈马,0,7,0%,4.29
圣卢西亚,0,7,0%,4.29
也门,0,7,0%,5
老挝,0,7,0%,9.86
阿富汗,0,6,0%,5
关岛,0,6,0%,5.83
尼加拉瓜,0,6,0%,6.33
伯利兹,0,6,0%,11
巴布亚新几内亚,0,5,0%,4.4
曼岛,0,5,0%,6
科索沃,0,5,0%,6.4
博茨瓦纳,0,5,0%,8
文莱,0,5,0%,38.2
安哥拉,0,4,0%,4.25
塞舌尔,0,4,0%,5.75
苏里南,0,4,0%,6.5
纳米比亚,0,4,0%,6.75
瓦努阿图,0,3,0%,2.33
荷属圣马丁岛,0,3,0%,7
不丹,0,3,0%,8.67
黑山,0,3,0%,19
开曼群岛,0,2,0%,2
圣文森特和格林纳丁斯,0,2,0%,3
刚果 - 金沙萨,0,2,0%,6
马达加斯加,0,2,0%,6.5
格恩西岛,0,2,0%,7
斯威士兰,0,2,0%,8
吉布提,0,2,0%,10
马拉维,0,2,0%,14.5
库克群岛,0,1,0%,1
莫桑比克,0,1,0%,2
卢旺达,0,1,0%,2
塞拉利昂,0,1,0%,2
东帝汶,0,1,0%,2
土库曼斯坦,0,1,0%,3
海地,0,1,0%,5
多米尼加,0,1,0%,7
格林纳达,0,1,0%,7
圣基茨和尼维斯,0,1,0%,7
塔吉克斯坦,0,1,0%,7
马里,0,1,0%,8
马提尼克,0,1,0%,8
密克罗尼西亚,0,1,0%,9
多哥,0,1,0%,9
所罗门群岛,0,1,0%,11
美属维尔京群岛,0,1,0%,19
留尼汪岛,0,1,0%,84
