# ----------------------------------------
# 电子商务购买: 商品名称
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260504
# 结束日期：20260510
商品名称,查看过的商品数,加入购物车的商品数,已购买的商品数,商品收入,跳出率,活跃用户,结账的商品数
A303 11lb Silicone Big Butt Torso – Realistic & Lightweight Big Ass Toy,37,2,1,1359.2894,0,28,2
A499-84.92LB BBW Big Booty Sex Doll Torso Silicone | LoveNestle Series,37,4,0,0,0,24,2
A664-(37.5lb) Silicone Butt Sexy and Real Realistic Big Ass Sex Doll Torso,26,1,0,0,0,18,0
A512 (57.32lb) Big Ass Sex Doll Torso Doggy Style 1:1 Life-Sized BBW Sex Doll,20,0,0,0,0,18,0
A599 (83lb) BBW Sex Doll Torso Big Booty Doggy Style Sucking Doll Biggest Ass Sex Toy [ In Stock US ,20,1,0,0,0,15,1
"A311-17.4lb Silicone Big Butt Torso – Extended Thighs, Mid-Thigh Length & Realistic Design",17,4,1,3066.9394,0,11,3
A555-32lbs 32lb Moving Sex Doll Torso Realistic Ass Robot Vibrating,15,0,0,0,0,11,0
A308-(13lb) Soft Silicone Realistic Big Ass Sex Dolls Torso,14,1,0,0,0,9,0
T293-30.9lbs/72cm Super Realistic Luxury Silicone Life Size Sex Doll Torso,12,0,0,0,0,10,1
A519 (28.4lb )Doggy Style Realistic Torso Sex Doll Silicone Ass torso sexdoll,11,2,0,0,0,3,1
A681-(15.5lb)Sexy And Real Realistic Big Ass BBW Chubby Masturbator Cheap Sex Doll Torso,11,1,0,0,0,8,0
A682-(19lb) Bigass Sexdoll Torso TPE 19lb Sucking Vibration Realistic Ass,10,2,0,0,0,9,1
A805-8.5lb Realistic & Lightweight Big Ass Toy Silicone Butt Torso,9,1,0,0,0,4,0
T31-111cm( 3ft6″)-26kg G-cup Sex Doll Torso With Head Silicone BBW ｜SE Doll,9,0,0,0,0,9,0
T369-32lbs/41cm Medium Size Realistic Torso TPE BBW Sex Dolls in Stock EU,9,0,0,0,0,7,0
