国家/地区,点击次数,展示,点击率,排名
美国,5,282,1.77%,28.18
印度,1,9,11.11%,24.22
乌克兰,1,2,50%,22.5
南非,1,1,100%,25
日本,1,1,100%,57
澳大利亚,0,24,0%,26.83
加拿大,0,7,0%,30.71
菲律宾,0,6,0%,7.67
荷兰,0,6,0%,40.67
德国,0,3,0%,2
英国,0,3,0%,26
新西兰,0,3,0%,30.33
沙特阿拉伯,0,3,0%,44.67
巴西,0,3,0%,50
越南,0,3,0%,55.33
拉脱维亚,0,2,0%,7
丹麦,0,2,0%,18.5
希腊,0,2,0%,34
韩国,0,2,0%,44.5
瑞典,0,2,0%,48.5
阿拉伯联合酋长国,0,2,0%,62
马来西亚,0,1,0%,8
伊拉克,0,1,0%,9
匈牙利,0,1,0%,10
土耳其,0,1,0%,10
挪威,0,1,0%,19
伊朗,0,1,0%,20
秘鲁,0,1,0%,26
俄罗斯,0,1,0%,30
泰国,0,1,0%,33
葡萄牙,0,1,0%,36
哥伦比亚,0,1,0%,37
波兰,0,1,0%,55
马拉维,0,1,0%,67
