# ----------------------------------------
# 网页和屏幕: 网页路径和屏幕类
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260401
# 结束日期：20260430
网页路径和屏幕类,浏览次数,活跃用户,每位活跃用户的浏览量,每位活跃用户的平均互动时长,事件数,关键事件数,总收入,平均会话时长,跳出率,加入购物车的商品数,结账次数
/collections/bbw-sex-doll-torso,13846,3516,3.9379977246871443,64.81001137656428,44166,7137,0,123.55512303584672,0.16440049443757726,1,0
/collections/full-doll,9569,4725,2.025185185185185,36.49523809523809,35660,6269,0,82.71935502864282,0.11668589004229142,1,0
/collections/anime-sex-doll,8546,2871,2.9766631835597352,39.47788227098572,26246,3284,0,86.92792340866166,0.2504070335395637,1,0
/collections/robotic-sex-doll,8126,3326,2.443174984966927,39.632291040288635,29630,3781,0,94.61163058316576,0.23498994541798335,1,0
/collections/fake-ass-sex-toy,7345,2625,2.798095238095238,43.91314285714286,22921,3007,0,89.66800243066942,0.14924863387978143,0,0
/,6969,4287,1.6256123163051084,44.039888033589925,32216,5475,0,91.42373292415834,0.1929337772844987,3,0
/collections/all,6774,2709,2.5005537098560353,38.26984126984127,23981,3715,0,85.94717624703891,0.18781725888324874,0,0
/collections/sex-doll-head,6678,2410,2.770954356846473,39.421576763485476,21158,3110,0,96.83786671200298,0.15867707172054998,0,0
/collections/celebrity-sex-dolls,6390,2035,3.14004914004914,55.11547911547912,18860,2484,0,98.52677734426229,0.1250585480093677,0,0
/collections/sex-doll-torso,5449,1445,3.770934256055363,65.66920415224914,14007,1736,0,136.17070698302106,0.09953161592505855,0,0
/collections/flat-chest-sex-doll,4622,1124,4.112099644128114,69.2491103202847,12160,1553,0,123.90390667810456,0.10784313725490197,0,0
/search,4325,719,6.015299026425591,711.3087621696801,13888,1350,0,161.775194938326,0.048458149779735685,0,0
/collections/sex-doll-videos,4162,2488,1.6728295819935692,38.28295819935691,19386,2445,0,84.93628473950204,0.20438498699368265,0,0
/collections/sex-doll-torso-dildo-for-woman,4134,1210,3.4165289256198346,58.570247933884296,11396,1426,0,112.40265409486781,0.1104199066874028,0,0
/collections/shemale-sex-doll-torso-1,3666,1597,2.295554164057608,30.784596117720728,12969,1538,0,93.52189784345795,0.20677570093457945,0,0
/collections/big-booty-sex-dolls,3651,890,4.102247191011236,66.40898876404495,9999,1507,0,138.11968558774663,0.11007268951194185,0,0
/collections/femboys-sex-doll,3501,1515,2.3108910891089107,28.45742574257426,12319,1413,0,67.59324738161209,0.19458438287153654,0,0
/collections/vajankle-foot-fetish-toys,3365,1940,1.7345360824742269,25.615463917525773,14441,1637,0,70.58069024902912,0.1970873786407767,0,0
/collections/furry-sex-doll,3155,1311,2.406559877955759,33.98550724637681,11102,1005,0,84.91681449170872,0.20259552992069213,0,0
/collections/fake-pussy-fake-vagina-sex-toys,3084,1024,3.01171875,42.4765625,8361,961,0,82.75948976065276,0.14324569356300998,0,0
