# ----------------------------------------
# 网页和屏幕: 网页路径和屏幕类
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260301
# 结束日期：20260331
网页路径和屏幕类,浏览次数,活跃用户,每位活跃用户的浏览量,每位活跃用户的平均互动时长,事件数,关键事件数,总收入
/collections/bbw-sex-doll-torso,16294,3728,4.3707081545064375,71.15450643776823,48774,8245,0
/collections/full-doll,11144,5807,1.9190631995867058,32.78749784742552,41511,7531,0
/collections/robotic-sex-doll,9346,3393,2.754494547597996,44.20483348069555,31888,4367,0
/collections/anime-sex-doll,9198,2962,3.1053342336259284,44.685685347738016,27729,3664,0
/,7947,4607,1.7249837204254395,30.921206859127416,34909,5748,0
/collections/celebrity-sex-dolls,7447,2452,3.0371125611745513,51.568515497553015,21560,2728,0
/pages/sex-doll-videos,7391,5916,1.2493238674780256,81.43779580797836,36711,2110,0
/collections/fake-ass-sex-toy,7137,2839,2.513913349771046,38.14089468122578,22788,3396,0
/collections/all,6765,2609,2.592947489459563,44.45343043311614,22631,3744,0
/collections/sex-doll-head,5775,2452,2.355220228384992,37.599918433931485,19993,3251,0
/collections/sex-doll-torso,4775,1561,3.0589365791159513,54.23190262652146,13160,1922,0
/collections/shemale-sex-doll-torso-1,4637,2089,2.2197223551938725,32.972714217328864,16368,2223,0
/search,4053,705,5.748936170212766,187.7177304964539,12858,1254,0
/collections/fake-pussy-fake-vagina-sex-toys,3924,1364,2.87683284457478,42.685483870967744,10876,1223,0
/collections/sex-doll-torso-dildo-for-woman,3814,1343,2.8399106478034253,50.4668652271035,10772,1424,0
/collections/furry-sex-doll,3329,1323,2.5162509448223735,36.42781557067271,11538,1201,0
/collections/femboys-sex-doll,3305,1503,2.1989354624085165,29.077844311377245,11636,1402,0
/collections/flat-chest-sex-doll,3285,962,3.414760914760915,61.09043659043659,8970,1266,0
/collections/vajankle-foot-fetish-toys,2728,1557,1.75208734746307,26.56518946692357,11243,1041,0
/collections/black-sex-dolls,2701,848,3.1851415094339623,51.58490566037736,8456,1300,0
/collections/big-booty-sex-dolls,2380,559,4.257602862254025,63.227191413237925,6013,952,0
/pages/all-category,2325,1088,2.1369485294117645,36.278492647058826,8946,2352,0
/collections/mini-sex-doll,2003,693,2.89033189033189,47.77056277056277,5548,625,0
/collections/life-size-shemale-sex-doll,1954,719,2.717663421418637,45.96940194714882,5947,846,0
/collections/big-ass-sex-doll-full-size,1931,499,3.869739478957916,59.234468937875754,5103,837,0
/collections/silicone-ass,1833,805,2.2770186335403726,39.22608695652174,6067,921,0
/products/599-83lb-sex-doll-torso-with-realistic-oversized-ass,1823,1541,1.1829980532122,44.71317326411421,8500,491,0
/blogs/dolls-info-qustions/how-to-make-fake-pussy,1808,1696,1.0660377358490567,36.385613207547166,10146,338,0
/collections/ros-sex-doll-heads-1,1760,459,3.8344226579520697,69.58169934640523,4381,673,0
/collections/huge-breasts-sex-dolls,1747,513,3.405458089668616,61.50877192982456,4924,737,0
/collections/sex-doll-torso-with-head,1745,492,3.546747967479675,65.47967479674797,4375,645,0
/collections/porn-celebrities,1721,543,3.169429097605893,50.081031307550646,4429,640,0
/collections/black-torso-sex-dolls,1660,567,2.927689594356261,45.07760141093475,5079,428,0
/collections/boob-job-sex-toys,1658,843,1.966785290628707,29.843416370106763,6263,653,0
/collections/anime-mini-sex-doll,1572,437,3.597254004576659,45.54919908466819,4014,322,0
/cart,1569,653,2.4027565084226645,52.42113323124043,8430,2034,0
/collections/futa-sex-doll,1497,760,1.9697368421052632,33.93421052631579,6030,638,0
/collections/under-1000-full-doll,1488,479,3.106471816283925,49.7035490605428,3809,466,0
/collections/under-100,1478,445,3.3213483146067415,47.46741573033708,3604,294,0
/collections/movie-music-celebrities,1458,395,3.6911392405063292,65.69620253164557,3612,551,0
/blogs/featured-blog/how-to-diy-an-sex-doll-you,1341,1377,0.9738562091503268,46.80755265068991,8104,118,0
/collections/asian-sex-doll,1340,492,2.7235772357723578,41.607723577235774,4023,443,0
/collections/silicone-sex-dolls,1258,221,5.6923076923076925,113.65610859728507,2836,409,0
/collections/silicone-sex-doll-torso-love-torso-silicone-doll,1253,383,3.2715404699738904,53.55352480417755,2883,523,0
/collections/big-boobs-sex-doll,1209,383,3.156657963446475,54.68146214099217,3072,419,0
