"登陆页面类型","登陆页面路径","在线商店访客","访问","有商品添加到购物车的访问","到达结账页面的访问","完成结账的访问","转化率","页面浏览量","结账转化率","添加至购物车率","到达结账页面率","到达并完成结账的访问","平均访问持续时间","每次访问的页面浏览量","跳出率","完成结账率","跳出次数","Online store visitors (previous_period)","Sessions (previous_period)","Sessions with cart additions (previous_period)","Sessions that reached checkout (previous_period)","Sessions that completed checkout (previous_period)","Conversion rate (previous_period)","Pageviews (previous_period)","Checkout conversion rate (previous_period)","Added to cart rate (previous_period)","Reached checkout rate (previous_period)","Sessions that reached and completed checkout (previous_period)","Average session duration (previous_period)","Pageviews per session (previous_period)","Bounce rate (previous_period)","Completed checkout rate (previous_period)","Bounces (previous_period)","Online store visitors (previous_period) ","Sessions (previous_period) ","Sessions with cart additions (previous_period) ","Sessions that reached checkout (previous_period) ","Sessions that completed checkout (previous_period) ","Conversion rate (previous_period) ","Pageviews (previous_period) ","Checkout conversion rate (previous_period) ","Added to cart rate (previous_period) ","Reached checkout rate (previous_period) ","Sessions that reached and completed checkout (previous_period) ","Average session duration (previous_period) ","Pageviews per session (previous_period) ","Bounce rate (previous_period) ","Completed checkout rate (previous_period) ","Bounces (previous_period) "
"Custom Page","/pages/sex-doll-videos",1128,1172,2,1,0,0,2236,0,0.0017064846416382253,0.0008532423208191126,0,74.65870307167235,1.9078498293515358,0.8020477815699659,0,940,951,965,2,0,0,0,1890,,0.002072538860103627,0,0,68.82072538860103,1.9585492227979275,0.7968911917098446,,769,18.61198738170347,21.45077720207254,0,,,,18.306878306878307,,-17.662116040955627,,,8.482877287483918,-2.5886198241147103,0.6470883244495585,,22.23667100130039
"Collection","/collections/full-doll",995,1038,14,5,0,0,5731,0,0.01348747591522158,0.004816955684007707,0,224.53179190751445,5.521194605009634,0.35645472061657035,0,370,1060,1102,17,7,0,0,6203,0,0.015426497277676952,0.006352087114337568,0,240.5771324863884,5.628856624319419,0.3393829401088929,0,374,-6.132075471698113,-5.807622504537205,-17.647058823529413,-28.571428571428573,,,-7.60922134451072,,-12.569420831916588,-24.167354803192964,,-6.669520254499574,-1.9126800786616693,5.0302412084119075,,-1.0695187165775402
"Homepage","/",912,1001,38,21,2,0.001998001998001998,5971,0.09523809523809523,0.03796203796203796,0.02097902097902098,2,317.3326673326673,5.965034965034965,0.26873126873126874,0.05263157894736842,269,919,1001,28,11,2,0.001998001998001998,5797,0.18181818181818182,0.027972027972027972,0.01098901098901099,2,275.76723276723277,5.791208791208791,0.2987012987012987,0.18181818181818182,299,-0.7616974972796517,0,35.714285714285715,90.9090909090909,0,0,3.0015525271692254,-47.61904761904763,35.71428571428571,90.9090909090909,0,15.072651724550152,3.0015525271692276,-10.033444816053507,-71.05263157894737,-10.033444816053512
"Collection","/collections/bbw-sex-doll-torso",782,835,13,3,0,0,3788,0,0.015568862275449102,0.003592814371257485,0,223.81197604790418,4.536526946107784,0.36047904191616764,0,301,739,790,5,1,0,0,3669,0,0.006329113924050633,0.0012658227848101266,0,228.80886075949368,4.644303797468354,0.3468354430379747,0,274,5.818673883626523,5.69620253164557,160,200,,,3.2433905696375036,,145.9880239520958,183.83233532934128,,-2.183868533326532,-2.3206244910016416,3.9337383626906655,,9.854014598540147
"Collection","/collections/robotic-sex-doll",704,721,0,0,0,0,2437,,0,0,0,161.61719833564493,3.38002773925104,0.4868238557558946,,351,734,757,4,1,0,0,2754,0,0.005284015852047556,0.001321003963011889,0,157.32628797886395,3.6380449141347424,0.48745046235138706,0,369,-4.087193460490464,-4.755614266842801,-100,-100,,,-11.51053013798112,,-100.00000000000001,-100.00000000000001,,2.727395664072013,-7.0921932239274765,-0.12854774872297947,,-4.878048780487805
"Collection","/collections/anime-sex-doll",690,705,4,2,0,0,2950,0,0.005673758865248227,0.0028368794326241137,0,160.97021276595746,4.184397163120567,0.4524822695035461,0,319,611,628,5,1,0,0,2640,0,0.007961783439490446,0.0015923566878980893,0,156.68789808917197,4.203821656050955,0.49363057324840764,0,310,12.92962356792144,12.261146496815286,-20,100,,,11.742424242424242,,-28.737588652482263,78.15602836879434,,2.7330219685175687,-0.462067483344077,-8.335849919926792,,2.903225806451613
"Collection","/collections/sex-doll-head",582,598,5,1,0,0,2609,0,0.008361204013377926,0.0016722408026755853,0,195.97993311036788,4.362876254180602,0.3210702341137124,0,192,594,611,8,5,0,0,3091,0,0.01309328968903437,0.008183306055646482,0,191.4353518821604,5.058919803600655,0.29132569558101473,0,178,-2.0202020202020203,-2.127659574468085,-37.5,-80,,,-15.593659010029116,,-36.14130434782609,-79.56521739130436,,2.3739508839542505,-13.758738553725408,10.210063507572059,,7.865168539325842
"Collection","/collections/fake-ass-sex-toy",561,595,6,1,1,0.0016806722689075631,1813,1,0.010084033613445379,0.0016806722689075631,1,172.20840336134455,3.0470588235294116,0.5025210084033613,1,299,503,520,3,3,0,0,1920,0,0.0057692307692307696,0.0057692307692307696,0,174.14038461538462,3.6923076923076925,0.4326923076923077,0,225,11.530815109343937,14.423076923076923,100,-66.66666666666667,,,-5.572916666666667,,74.78991596638656,-70.86834733893558,,-1.1094389496768027,-17.475490196078443,16.138188608776836,,32.888888888888886
"Collection","/collections/shemale-sex-doll-torso-1",549,564,3,1,0,0,1866,0,0.005319148936170213,0.0017730496453900709,0,119.23404255319149,3.3085106382978724,0.44858156028368795,0,253,509,516,3,0,0,0,1691,,0.005813953488372093,0,0,140.21511627906978,3.2771317829457365,0.43992248062015504,,227,7.858546168958743,9.30232558139535,0,,,,10.348905972797162,,-8.51063829787234,,,-14.963489160555069,0.9575097197931479,1.9683194301246614,,11.45374449339207
"Collection","/collections/all",529,550,6,4,1,0.0018181818181818182,2449,0.25,0.01090909090909091,0.007272727272727273,1,241.1909090909091,4.452727272727273,0.4090909090909091,0.25,225,548,565,6,3,0,0,2605,0,0.010619469026548672,0.005309734513274336,0,193.96991150442477,4.610619469026549,0.3752212389380531,0,212,-3.4671532846715327,-2.6548672566371683,0,33.333333333333336,,,-5.9884836852207295,,2.727272727272737,36.96969696969697,,24.34449612325937,-3.424533240272202,9.026586620926253,,6.132075471698113
