登陆页面类型,登陆页面路径,在线商店访客,访问,有商品添加到购物车的访问,到达结账页面的访问,完成结账的访问,转化率,页面浏览量,结账转化率,添加至购物车率,到达结账页面率,到达并完成结账的访问,平均访问持续时间,每次访问的页面浏览量,跳出率,完成结账率,跳出次数,Online store visitors (previous_week),Sessions (previous_week),Sessions with cart additions (previous_week),Sessions that reached checkout (previous_week),Sessions that completed checkout (previous_week),Conversion rate (previous_week),Pageviews (previous_week),Checkout conversion rate (previous_week),Added to cart rate (previous_week),Reached checkout rate (previous_week),Sessions that reached and completed checkout (previous_week),Average session duration (previous_week),Pageviews per session (previous_week),Bounce rate (previous_week),Completed checkout rate (previous_week),Bounces (previous_week),Online store visitors (previous_week) ,Sessions (previous_week) ,Sessions with cart additions (previous_week) ,Sessions that reached checkout (previous_week) ,Sessions that completed checkout (previous_week) ,Conversion rate (previous_week) ,Pageviews (previous_week) ,Checkout conversion rate (previous_week) ,Added to cart rate (previous_week) ,Reached checkout rate (previous_week) ,Sessions that reached and completed checkout (previous_week) ,Average session duration (previous_week) ,Pageviews per session (previous_week) ,Bounce rate (previous_week) ,Completed checkout rate (previous_week) ,Bounces (previous_week) 
Collection,/collections/bbw-sex-doll-torso,797,834,7,5,0,0,3608,0,0.008393285371702638,0.005995203836930456,0,231.5935251798561,4.3261390887290165,0.3764988009592326,0,314,896,962,11,3,0,0,4010,0,0.011434511434511435,0.0031185031185031187,0,193.7047817047817,4.168399168399168,0.3918918918918919,0,377,-11.04910714,-13.30561331,-36.36363636,66.66666666666667,,,-10.02493766,,-26.59690429,92.24620303756993,,19.560045519588268,3.7841846223769067,-3.927892169,,-16.71087533
Homepage,/,745,809,30,14,3,0.003708281829419036,5119,0.21428571428571427,0.037082818294190356,0.0173053152039555,3,336.56489493201485,6.3275648949320145,0.3337453646477132,0.21428571428571427,270,852,980,29,18,4,0.004081632653061225,6352,0.2222222222222222,0.02959183673469388,0.018367346938775512,3,387.0734693877551,6.481632653061224,0.30714285714285716,0.17647058823529413,301,-12.55868545,-17.44897959,3.4482758620689653,-22.22222222,-25,-9.147095179,-19.41120907,-3.571428571,25.314351476919132,-5.782172778,0,-13.04883399,-2.376989971,8.661281513208944,21.428571428571413,-10.29900332
Collection,/collections/all,681,691,7,4,0,0,2561,0,0.010130246020260492,0.005788712011577424,0,152.6107091172214,3.7062228654124456,0.4732272069464544,0,327,677,702,10,7,1,0.0014245014245014246,2761,0.14285714285714285,0.014245014245014245,0.009971509971509971,1,189.32763532763533,3.933048433048433,0.46438746438746437,0.14285714285714285,326,0.5908419497784343,-1.566951567,-30,-42.85714286,-100,-100,-7.243752264,-100,-28.88567294,-41.94748811,-100,-19.39332636,-5.767169449,1.9035273854021542,-100,0.3067484662576687
Collection,/collections/sex-doll-head,652,676,12,3,0,0,2734,0,0.01775147928994083,0.004437869822485207,0,208.68491124260356,4.044378698224852,0.3328402366863905,0,225,638,661,8,3,1,0.0015128593040847202,3116,0.3333333333333333,0.012102874432677761,0.0045385779122541605,1,210.4160363086233,4.714069591527988,0.340393343419062,0.3333333333333333,225,2.19435736677116,2.26928895612708,50,0,-100,-100,-12.2593068,-100,46.671597633136095,-2.218934911,-100,-0.822715367,-14.20621568,-2.218934911,-100,0
Collection,/collections/anime-sex-doll,630,645,4,0,0,0,2594,,0.006201550387596899,0,0,146.96434108527131,4.021705426356589,0.4682170542635659,,302,688,709,5,2,0,0,2533,0,0.007052186177715092,0.0028208744710860366,0,135.54019746121298,3.5726375176304654,0.5007052186177715,0,355,-8.430232558,-9.026798307,-20,-100,,,2.408211606790367,,-12.0620155,-100,,8.428601874604421,12.5696465569215,-6.488481275,,-14.92957746
Collection,/collections/full-doll,600,631,9,5,0,0,3248,0,0.014263074484944533,0.00792393026941363,0,239.48652931854198,5.147385103011094,0.3359746434231379,0,212,712,757,15,5,0,0,4050,0,0.019815059445178335,0.0066050198150594455,0,272.2892998678996,5.3500660501981505,0.3236459709379128,0,245,-15.73033708,-16.64464993,-40,0,,,-19.80246914,,-28.01901743,19.968304278922346,,-12.04702886,-3.788382149,3.809308192373623,,-13.46938776
Collection,/collections/robotic-sex-doll,595,607,9,6,0,0,1731,0,0.014827018121911038,0.009884678747940691,0,142.2965403624382,2.8517298187808895,0.5321252059308073,0,323,762,779,11,1,0,0,2353,0,0.014120667522464698,0.0012836970474967907,0,121.21052631578948,3.0205391527599486,0.5430038510911425,0,423,-21.9160105,-22.07958922,-18.18181818,500,,,-26.43433914,,5.002246517897259,670.01647446458,,17.396190485728432,-5.588715307,-2.003419522,,-23.64066194
Collection,/collections/vajankle-foot-fetish-toys,544,557,3,1,1,0.0017953321364452424,2046,1,0.005385996409335727,0.0017953321364452424,1,107.15619389587074,3.673249551166966,0.4631956912028725,1,258,607,626,5,3,2,0.003194888178913738,1976,0.6666666666666666,0.007987220447284345,0.004792332268370607,2,108.36581469648563,3.1565495207667733,0.46645367412140576,0.6666666666666666,292,-10.37891269,-11.02236422,-40,-66.66666667,-50,-43.80610413,3.54251012145749,50.00000000000001,-32.56732496,-62.53740275,-50,-1.116238367,16.369140639196388,-0.698457982,50.00000000000001,-11.64383562
Collection,/collections/fake-ass-sex-toy,454,468,9,3,0,0,1689,0,0.019230769230769232,0.00641025641025641,0,197.54700854700855,3.608974358974359,0.4230769230769231,0,198,540,561,6,4,1,0.0017825311942959,2003,0.25,0.0106951871657754,0.0071301247771836,1,177.44028520499108,3.570409982174688,0.5311942959001783,0.25,298,-15.92592593,-16.57754011,50,-25,-100,-100,-15.67648527,-100,79.80769230769234,-10.09615385,-100,11.331543633842115,1.0801106033257846,-20.35363965,-100,-33.55704698
Collection,/collections/celebrity-sex-dolls,432,442,1,0,0,0,2101,,0.0022624434389140274,0,0,174.22171945701356,4.753393665158371,0.47737556561085975,,211,436,442,3,3,0,0,1959,0,0.006787330316742082,0.006787330316742082,0,183.9547511312217,4.432126696832579,0.4343891402714932,0,192,-0.917431193,0,-66.66666667,-100,,,7.248596222562532,,-66.66666667,-100,,-5.290992276,7.248596222562525,9.895833333333337,,9.895833333333334
Collection,/collections/furry-sex-doll,426,437,1,1,0,0,1084,0,0.002288329519450801,0.002288329519450801,0,107.03890160183066,2.480549199084668,0.6041189931350115,0,264,445,457,1,1,0,0,1103,0,0.002188183807439825,0.002188183807439825,0,92.55798687089715,2.413566739606127,0.6367614879649891,0,291,-4.269662921,-4.376367615,0,0,,,-1.722574796,,4.576659038901606,4.576659038901606,,15.645235187679642,2.775247867787251,-5.126329944,,-9.278350515
Collection,/collections/femboys-sex-doll,371,374,2,0,0,0,1377,,0.0053475935828877,0,0,144.13903743315507,3.6818181818181817,0.4358288770053476,,163,389,396,2,1,0,0,1261,0,0.005050505050505051,0.0025252525252525255,0,118.56060606060606,3.1843434343434343,0.4621212121212121,0,183,-4.627249357,-5.555555556,0,-100,,,9.199048374306106,,5.882352941176455,-100,,21.57414019921066,15.622521808088816,-5.68948891,,-10.92896175
Collection,/collections/shemale-sex-doll-torso-1,362,373,0,0,0,0,1237,,0,0,0,120.10991957104558,3.316353887399464,0.5201072386058981,,194,371,377,5,3,0,0,1124,0,0.013262599469496022,0.007957559681697613,0,134.68965517241378,2.981432360742706,0.4827586206896552,0,182,-2.425876011,-1.061007958,-100,-100,,,10.053380782918149,,-100,-100,,-10.82468849,11.233577895871695,7.736499425507467,,6.593406593406593
Blog Article,/blogs/featured-blog/how-to-make-fake-pussy,344,346,0,0,0,0,401,,0,0,0,13.893063583815028,1.1589595375722543,0.9277456647398844,,321,481,488,0,0,0,0,631,,0,0,0,30.706967213114755,1.2930327868852458,0.8831967213114754,,431,-28.48232848,-29.09836066,,,,,-36.45007924,,,,,-54.75598913,-10.36889789,5.044056703727049,,-25.52204176
