"Landing page type","Landing page path","Online store visitors","Sessions","Sessions with cart additions","Sessions that reached checkout","Sessions that completed checkout","Conversion rate","Pageviews","Checkout conversion rate","Added to cart rate","Reached checkout rate","Sessions that reached and completed checkout","Average session duration","Pageviews per session","Bounce rate","Completed checkout rate","Bounces","Online store visitors (20260511)","Sessions (20260511)","Sessions with cart additions (20260511)","Sessions that reached checkout (20260511)","Sessions that completed checkout (20260511)","Conversion rate (20260511)","Pageviews (20260511)","Checkout conversion rate (20260511)","Added to cart rate (20260511)","Reached checkout rate (20260511)","Sessions that reached and completed checkout (20260511)","Average session duration (20260511)","Pageviews per session (20260511)","Bounce rate (20260511)","Completed checkout rate (20260511)","Bounces (20260511)","Online store visitors (20260511) ","Sessions (20260511) ","Sessions with cart additions (20260511) ","Sessions that reached checkout (20260511) ","Sessions that completed checkout (20260511) ","Conversion rate (20260511) ","Pageviews (20260511) ","Checkout conversion rate (20260511) ","Added to cart rate (20260511) ","Reached checkout rate (20260511) ","Sessions that reached and completed checkout (20260511) ","Average session duration (20260511) ","Pageviews per session (20260511) ","Bounce rate (20260511) ","Completed checkout rate (20260511) ","Bounces (20260511) "
"Homepage","/",799,882,19,14,1,0.0011337868480725624,5067,0.07142857142857142,0.021541950113378686,0.015873015873015872,1,289.109977324263,5.744897959183674,0.2766439909297052,0.07142857142857142,244,799,882,19,14,1,0.0011337868480725624,5067,0.07142857142857142,0.021541950113378686,0.015873015873015872,1,289.109977324263,5.744897959183674,0.2766439909297052,0.07142857142857142,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collection","/collections/bbw-sex-doll-torso",718,758,6,0,0,0,3389,,0.0079155672823219,0,0,211.9868073878628,4.470976253298153,0.35092348284960423,,266,718,758,6,0,0,0,3389,,0.0079155672823219,0,0,211.9868073878628,4.470976253298153,0.35092348284960423,,266,0,0,0,,,,0,,0,,,0,0,0,,0
"Collection","/collections/full-doll",624,647,13,9,0,0,3472,0,0.02009273570324575,0.013910355486862442,0,211.2503863987635,5.366306027820711,0.37094281298299847,0,240,624,647,13,9,0,0,3472,0,0.02009273570324575,0.013910355486862442,0,211.2503863987635,5.366306027820711,0.37094281298299847,0,240,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/vajankle-foot-fetish-toys",631,644,3,1,0,0,1975,0,0.004658385093167702,0.0015527950310559005,0,87.9580745341615,3.0667701863354035,0.5170807453416149,0,333,631,644,3,1,0,0,1975,0,0.004658385093167702,0.0015527950310559005,0,87.9580745341615,3.0667701863354035,0.5170807453416149,0,333,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/all",626,640,2,0,0,0,2458,,0.003125,0,0,161.0890625,3.840625,0.4578125,,293,626,640,2,0,0,0,2458,,0.003125,0,0,161.0890625,3.840625,0.4578125,,293,0,0,0,,,,0,,0,,,0,0,0,,0
"Collection","/collections/sex-doll-head",569,587,16,8,1,0.0017035775127768314,3152,0.125,0.027257240204429302,0.013628620102214651,1,237.63543441226577,5.369676320272572,0.2657580919931857,0.125,156,569,587,16,8,1,0.0017035775127768314,3152,0.125,0.027257240204429302,0.013628620102214651,1,237.63543441226577,5.369676320272572,0.2657580919931857,0.125,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collection","/collections/anime-sex-doll",562,573,3,1,0,0,1950,0,0.005235602094240838,0.0017452006980802793,0,140.09249563699825,3.4031413612565444,0.48342059336823734,0,277,562,573,3,1,0,0,1950,0,0.005235602094240838,0.0017452006980802793,0,140.09249563699825,3.4031413612565444,0.48342059336823734,0,277,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/robotic-sex-doll",563,572,2,0,0,0,1744,,0.0034965034965034965,0,0,120.66608391608392,3.0489510489510487,0.534965034965035,,306,563,572,2,0,0,0,1744,,0.0034965034965034965,0,0,120.66608391608392,3.0489510489510487,0.534965034965035,,306,0,0,0,,,,0,,0,,,0,0,0,,0
"Collection","/collections/celebrity-sex-dolls",405,413,4,0,0,0,1370,,0.009685230024213076,0,0,123.86198547215497,3.317191283292978,0.45278450363196127,,187,405,413,4,0,0,0,1370,,0.009685230024213076,0,0,123.86198547215497,3.317191283292978,0.45278450363196127,,187,0,0,0,,,,0,,0,,,0,0,0,,0
"Collection","/collections/fake-ass-sex-toy",392,403,3,0,0,0,1211,,0.007444168734491315,0,0,137.58064516129033,3.0049627791563274,0.5186104218362283,,209,392,403,3,0,0,0,1211,,0.007444168734491315,0,0,137.58064516129033,3.0049627791563274,0.5186104218362283,,209,0,0,0,,,,0,,0,,,0,0,0,,0
