"登陆页面类型","登陆页面路径","在线商店访客","访问","有商品添加到购物车的访问","到达结账页面的访问","完成结账的访问","转化率","页面浏览量","结账转化率","添加至购物车率","到达结账页面率","到达并完成结账的访问","平均访问持续时间","每次访问的页面浏览量","跳出率","完成结账率","跳出次数","Online store visitors (20260518)","Sessions (20260518)","Sessions with cart additions (20260518)","Sessions that reached checkout (20260518)","Sessions that completed checkout (20260518)","Conversion rate (20260518)","Pageviews (20260518)","Checkout conversion rate (20260518)","Added to cart rate (20260518)","Reached checkout rate (20260518)","Sessions that reached and completed checkout (20260518)","Average session duration (20260518)","Pageviews per session (20260518)","Bounce rate (20260518)","Completed checkout rate (20260518)","Bounces (20260518)","Online store visitors (20260518) ","Sessions (20260518) ","Sessions with cart additions (20260518) ","Sessions that reached checkout (20260518) ","Sessions that completed checkout (20260518) ","Conversion rate (20260518) ","Pageviews (20260518) ","Checkout conversion rate (20260518) ","Added to cart rate (20260518) ","Reached checkout rate (20260518) ","Sessions that reached and completed checkout (20260518) ","Average session duration (20260518) ","Pageviews per session (20260518) ","Bounce rate (20260518) ","Completed checkout rate (20260518) ","Bounces (20260518) "
"Homepage","/",863,960,27,8,0,0,5962,0,0.028125,0.008333333333333333,0,321.5395833333333,6.210416666666666,0.325,0,312,863,960,27,8,0,0,5962,0,0.028125,0.008333333333333333,0,321.5395833333333,6.210416666666666,0.325,0,312,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/bbw-sex-doll-torso",787,841,9,2,0,0,3873,0,0.01070154577883472,0.0023781212841854932,0,212.05112960761,4.605231866825208,0.36504161712247324,0,307,787,841,9,2,0,0,3873,0,0.01070154577883472,0.0023781212841854932,0,212.05112960761,4.605231866825208,0.36504161712247324,0,307,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/vajankle-foot-fetish-toys",722,742,3,1,0,0,2205,0,0.004043126684636119,0.0013477088948787063,0,94.90566037735849,2.9716981132075473,0.5444743935309974,0,404,722,742,3,1,0,0,2205,0,0.004043126684636119,0.0013477088948787063,0,94.90566037735849,2.9716981132075473,0.5444743935309974,0,404,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/robotic-sex-doll",694,716,13,1,0,0,2175,0,0.018156424581005588,0.0013966480446927375,0,132.87430167597765,3.037709497206704,0.553072625698324,0,396,694,716,13,1,0,0,2175,0,0.018156424581005588,0.0013966480446927375,0,132.87430167597765,3.037709497206704,0.553072625698324,0,396,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/all",660,676,5,2,1,0.0014792899408284023,2582,0.5,0.0073964497041420114,0.0029585798816568047,1,162.57396449704143,3.8195266272189348,0.46597633136094674,0.5,315,660,676,5,2,1,0.0014792899408284023,2582,0.5,0.0073964497041420114,0.0029585798816568047,1,162.57396449704143,3.8195266272189348,0.46597633136094674,0.5,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collection","/collections/anime-sex-doll",644,658,5,3,0,0,2903,0,0.007598784194528876,0.004559270516717325,0,149.55775075987842,4.411854103343465,0.4787234042553192,0,315,644,658,5,3,0,0,2903,0,0.007598784194528876,0.004559270516717325,0,149.55775075987842,4.411854103343465,0.4787234042553192,0,315,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/full-doll",572,595,4,2,0,0,2996,0,0.0067226890756302525,0.0033613445378151263,0,221.127731092437,5.035294117647059,0.3899159663865546,0,232,572,595,4,2,0,0,2996,0,0.0067226890756302525,0.0033613445378151263,0,221.127731092437,5.035294117647059,0.3899159663865546,0,232,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/sex-doll-head",558,576,14,4,1,0.001736111111111111,3612,0.25,0.024305555555555556,0.006944444444444444,1,258.74131944444446,6.270833333333333,0.21354166666666666,0.25,123,558,576,14,4,1,0.001736111111111111,3612,0.25,0.024305555555555556,0.006944444444444444,1,258.74131944444446,6.270833333333333,0.21354166666666666,0.25,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collection","/collections/celebrity-sex-dolls",477,500,0,0,0,0,1866,,0,0,0,196.494,3.732,0.46,,230,477,500,0,0,0,0,1866,,0,0,0,196.494,3.732,0.46,,230,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/fake-ass-sex-toy",402,418,6,3,2,0.004784688995215311,1580,0.6666666666666666,0.014354066985645933,0.007177033492822967,2,173.04066985645932,3.7799043062200957,0.4473684210526316,0.6666666666666666,187,402,418,6,3,2,0.004784688995215311,1580,0.6666666666666666,0.014354066985645933,0.007177033492822967,2,173.04066985645932,3.7799043062200957,0.4473684210526316,0.6666666666666666,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collection","/collections/femboys-sex-doll",368,373,4,3,0,0,1231,0,0.010723860589812333,0.00804289544235925,0,101.1313672922252,3.3002680965147455,0.46380697050938335,0,173,368,373,4,3,0,0,1231,0,0.010723860589812333,0.00804289544235925,0,101.1313672922252,3.3002680965147455,0.46380697050938335,0,173,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Blog Article","/blogs/featured-blog/how-to-diy-an-sex-doll-you",337,342,0,0,0,0,570,,0,0,0,48.60818713450293,1.6666666666666667,0.8508771929824561,,291,337,342,0,0,0,0,570,,0,0,0,48.60818713450293,1.6666666666666667,0.8508771929824561,,291,0,0,,,,,0,,,,,0,0,0,,0
"Blog Article","/blogs/featured-blog/how-to-make-fake-pussy",336,336,0,0,0,0,420,,0,0,0,32.38392857142857,1.25,0.8928571428571429,,300,336,336,0,0,0,0,420,,0,0,0,32.38392857142857,1.25,0.8928571428571429,,300,0,0,,,,,0,,,,,0,0,0,,0
