"登陆页面类型","登陆页面路径","在线商店访客","访问","有商品添加到购物车的访问","到达结账页面的访问","完成结账的访问","转化率","页面浏览量","结账转化率","添加至购物车率","到达结账页面率","到达并完成结账的访问","平均访问持续时间","每次访问的页面浏览量","跳出率","完成结账率","跳出次数","Online store visitors (20260525)","Sessions (20260525)","Sessions with cart additions (20260525)","Sessions that reached checkout (20260525)","Sessions that completed checkout (20260525)","Conversion rate (20260525)","Pageviews (20260525)","Checkout conversion rate (20260525)","Added to cart rate (20260525)","Reached checkout rate (20260525)","Sessions that reached and completed checkout (20260525)","Average session duration (20260525)","Pageviews per session (20260525)","Bounce rate (20260525)","Completed checkout rate (20260525)","Bounces (20260525)","Online store visitors (20260525) ","Sessions (20260525) ","Sessions with cart additions (20260525) ","Sessions that reached checkout (20260525) ","Sessions that completed checkout (20260525) ","Conversion rate (20260525) ","Pageviews (20260525) ","Checkout conversion rate (20260525) ","Added to cart rate (20260525) ","Reached checkout rate (20260525) ","Sessions that reached and completed checkout (20260525) ","Average session duration (20260525) ","Pageviews per session (20260525) ","Bounce rate (20260525) ","Completed checkout rate (20260525) ","Bounces (20260525) "
"Homepage","/",1123,1221,38,16,2,0.001638001638001638,7178,0.125,0.031122031122031123,0.013104013104013105,2,285.5126945126945,5.878787878787879,0.3022113022113022,0.125,369,1123,1221,38,16,2,0.001638001638001638,7178,0.125,0.031122031122031123,0.013104013104013105,2,285.5126945126945,5.878787878787879,0.3022113022113022,0.125,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collection","/collections/robotic-sex-doll",1007,1036,9,4,0,0,3088,0,0.008687258687258687,0.003861003861003861,0,128.4333976833977,2.9806949806949805,0.5897683397683398,0,611,1007,1036,9,4,0,0,3088,0,0.008687258687258687,0.003861003861003861,0,128.4333976833977,2.9806949806949805,0.5897683397683398,0,611,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/bbw-sex-doll-torso",884,930,7,1,0,0,3871,0,0.007526881720430108,0.001075268817204301,0,174.06021505376344,4.162365591397849,0.37849462365591396,0,352,884,930,7,1,0,0,3871,0,0.007526881720430108,0.001075268817204301,0,174.06021505376344,4.162365591397849,0.37849462365591396,0,352,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/anime-sex-doll",883,902,8,1,0,0,3224,0,0.008869179600886918,0.0011086474501108647,0,131.91463414634146,3.574279379157428,0.4656319290465632,0,420,883,902,8,1,0,0,3224,0,0.008869179600886918,0.0011086474501108647,0,131.91463414634146,3.574279379157428,0.4656319290465632,0,420,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/sex-doll-head",734,759,17,4,1,0.0013175230566534915,4783,0.25,0.022397891963109356,0.005270092226613966,1,269.22397891963107,6.301712779973649,0.1673254281949934,0.25,127,734,759,17,4,1,0.0013175230566534915,4783,0.25,0.022397891963109356,0.005270092226613966,1,269.22397891963107,6.301712779973649,0.1673254281949934,0.25,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collection","/collections/all",735,743,6,5,0,0,2550,0,0.008075370121130552,0.006729475100942127,0,131.04845222072677,3.4320323014804845,0.4939434724091521,0,367,735,743,6,5,0,0,2550,0,0.008075370121130552,0.006729475100942127,0,131.04845222072677,3.4320323014804845,0.4939434724091521,0,367,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/full-doll",698,727,11,7,0,0,3412,0,0.015130674002751032,0.009628610729023384,0,207.89958734525447,4.693259972489684,0.39752407152682256,0,289,698,727,11,7,0,0,3412,0,0.015130674002751032,0.009628610729023384,0,207.89958734525447,4.693259972489684,0.39752407152682256,0,289,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/celebrity-sex-dolls",644,667,3,1,0,0,2141,0,0.004497751124437781,0.0014992503748125937,0,115.55322338830585,3.209895052473763,0.5232383808095952,0,349,644,667,3,1,0,0,2141,0,0.004497751124437781,0.0014992503748125937,0,115.55322338830585,3.209895052473763,0.5232383808095952,0,349,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/vajankle-foot-fetish-toys",595,618,2,1,0,0,2129,0,0.003236245954692557,0.0016181229773462784,0,92.59061488673139,3.4449838187702264,0.45792880258899676,0,283,595,618,2,1,0,0,2129,0,0.003236245954692557,0.0016181229773462784,0,92.59061488673139,3.4449838187702264,0.45792880258899676,0,283,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Blog Article","/blogs/featured-blog/how-to-diy-an-sex-doll-you",551,556,1,1,0,0,737,0,0.0017985611510791368,0.0017985611510791368,0,29.544964028776977,1.3255395683453237,0.8723021582733813,0,485,551,556,1,1,0,0,737,0,0.0017985611510791368,0.0017985611510791368,0,29.544964028776977,1.3255395683453237,0.8723021582733813,0,485,0,0,0,0,,,0,,0,0,,0,0,0,,0
