"登陆页面类型","登陆页面路径","在线商店访客","访问","有商品添加到购物车的访问","到达结账页面的访问","完成结账的访问","转化率","页面浏览量","结账转化率","添加至购物车率","到达结账页面率","到达并完成结账的访问","平均访问持续时间","每次访问的页面浏览量","跳出率","完成结账率","跳出次数","Online store visitors (previous_week)","Sessions (previous_week)","Sessions with cart additions (previous_week)","Sessions that reached checkout (previous_week)","Sessions that completed checkout (previous_week)","Conversion rate (previous_week)","Pageviews (previous_week)","Checkout conversion rate (previous_week)","Added to cart rate (previous_week)","Reached checkout rate (previous_week)","Sessions that reached and completed checkout (previous_week)","Average session duration (previous_week)","Pageviews per session (previous_week)","Bounce rate (previous_week)","Completed checkout rate (previous_week)","Bounces (previous_week)","Online store visitors (previous_week) ","Sessions (previous_week) ","Sessions with cart additions (previous_week) ","Sessions that reached checkout (previous_week) ","Sessions that completed checkout (previous_week) ","Conversion rate (previous_week) ","Pageviews (previous_week) ","Checkout conversion rate (previous_week) ","Added to cart rate (previous_week) ","Reached checkout rate (previous_week) ","Sessions that reached and completed checkout (previous_week) ","Average session duration (previous_week) ","Pageviews per session (previous_week) ","Bounce rate (previous_week) ","Completed checkout rate (previous_week) ","Bounces (previous_week) "
"Collection","/collections/full-doll",986,1018,10,4,0,0,5708,0,0.009823182711198428,0.003929273084479371,0,247.83791748526522,5.607072691552063,0.3045186640471513,0,310,815,843,17,11,0,0,5203,0,0.020166073546856466,0.013048635824436536,0,237.44839857651246,6.172004744958482,0.2930011862396204,0,247,20.98159509202454,20.759193357058127,-41.1764705882353,-63.63636363636363,,,9.705938881414568,,-51.28857043799839,-69.88747990712626,,4.375484935268987,-9.153137055960233,3.9308638832989984,,25.506072874493928
"Homepage","/",881,979,22,11,2,0.0020429009193054137,5518,0.18181818181818182,0.02247191011235955,0.011235955056179775,2,278.52604698672116,5.636363636363637,0.34831460674157305,0.2,341,824,901,26,17,0,0,5429,0,0.02885682574916759,0.018867924528301886,0,271.88568257491676,6.025527192008879,0.33518312985571586,0,302,6.91747572815534,8.657047724750278,-15.384615384615385,-35.294117647058826,,,1.639344262295082,,-22.126188418323252,-40.44943820224719,,2.442336922237411,-6.458581021115558,3.9177022099858725,,12.913907284768213
"Collection","/collections/bbw-sex-doll-torso",847,893,8,2,0,0,3680,0,0.008958566629339306,0.0022396416573348264,0,199.82642777155655,4.120940649496081,0.38633818589025753,0,345,609,644,3,0,0,0,2989,,0.004658385093167702,0,0,210.70341614906832,4.641304347826087,0.38819875776397517,,250,39.08045977011494,38.66459627329193,166.66666666666666,,,,23.118099698895954,,92.31056364315043,,,-5.1622268761966925,-11.21158319586898,-0.47928331466966184,,38
"Collection","/collections/robotic-sex-doll",846,873,4,1,0,0,2631,0,0.004581901489117984,0.001145475372279496,0,114.60710194730814,3.013745704467354,0.5567010309278351,0,486,514,527,3,0,0,0,1488,,0.0056925996204933585,0,0,115.81024667931689,2.823529411764706,0.50853889943074,,268,64.59143968871595,65.65464895635674,33.333333333333336,,,,76.81451612903226,,-19.511263841160744,,,-1.0388931605856149,6.736827033218777,9.47068779812279,,81.34328358208955
"Collection","/collections/anime-sex-doll",686,706,4,1,0,0,2640,0,0.0056657223796034,0.00141643059490085,0,146.45750708215297,3.7393767705382435,0.5141643059490085,0,363,657,680,4,1,0,0,2267,0,0.0058823529411764705,0.0014705882352941176,0,135.7735294117647,3.333823529411765,0.4676470588235294,,318,4.41400304414003,3.823529411764706,0,0,,,16.453462726069695,,-3.6827195467422036,-3.6827195467422036,,7.868969538227601,12.164808291398563,9.947084290982955,,14.150943396226415
"Collection","/collections/sex-doll-head",666,688,9,6,2,0.0029069767441860465,3108,0.3333333333333333,0.01308139534883721,0.00872093023255814,2,209.38226744186048,4.517441860465116,0.3328488372093023,0.3333333333333333,229,537,567,15,7,2,0.003527336860670194,2635,0.2857142857142857,0.026455026455026454,0.012345679012345678,2,214.23809523809524,4.64726631393298,0.31569664902998235,0.2857142857142857,179,24.022346368715084,21.340388007054674,-40,-14.285714285714286,0,-17.58720930232558,17.95066413662239,16.666666666666668,-50.552325581395344,-29.360465116279066,0,-2.266556650831963,-2.7935660385684655,5.433123294790177,16.666666666666668,27.932960893854748
"Collection","/collections/all",623,638,6,2,0,0,2583,0,0.009404388714733543,0.003134796238244514,0,179.61128526645768,4.04858934169279,0.4278996865203762,0,273,432,442,10,3,0,0,2174,0,0.02262443438914027,0.006787330316742082,0,217.32579185520362,4.918552036199095,0.36877828054298645,0,163,44.21296296296296,44.34389140271493,-40,-33.333333333333336,,,18.813247470101196,,-58.43260188087774,-53.81400208986416,,-17.353902758984887,-17.687374009741806,16.031694136200162,,67.48466257668711
"Collection","/collections/vajankle-foot-fetish-toys",596,609,2,1,0,0,1562,0,0.003284072249589491,0.0016420361247947454,0,73.97208538587849,2.5648604269293926,0.5205254515599343,0,317,554,562,0,0,0,0,1395,,0,0,0,79.94839857651246,2.48220640569395,0.6103202846975089,,343,7.581227436823105,8.362989323843417,,,,,11.971326164874553,,,,,-7.475213133774661,3.3298609271913047,-14.712739423707546,,-7.580174927113703
"Blog Article","/blogs/featured-blog/how-to-diy-an-sex-doll-you",493,499,1,0,0,0,680,,0.002004008016032064,0,0,33.15831663326653,1.3627254509018036,0.8777555110220441,,438,426,438,0,0,0,0,609,,0,0,0,28.35388127853881,1.3904109589041096,0.8835616438356164,,387,15.727699530516432,13.926940639269406,,,,,11.658456486042693,,,,,16.94454211587681,-1.991174467160921,-0.6571282099081873,,13.178294573643411
"Collection","/collections/fake-ass-sex-toy",420,434,3,2,0,0,1289,0,0.0069124423963133645,0.004608294930875576,0,139.80645161290323,2.9700460829493087,0.4792626728110599,0,208,387,406,8,3,0,0,1637,0,0.019704433497536946,0.007389162561576354,0,180.77586206896552,4.032019704433497,0.43349753694581283,0,176,8.527131782945736,6.896551724137931,-62.5,-33.333333333333336,,,-21.25839951130116,,-64.91935483870968,-37.634408602150536,,-22.66309782023474,-26.338502768636566,10.557184750733127,,18.181818181818183
"Collection","/collections/shemale-sex-doll-torso-1",427,434,8,3,0,0,1471,0,0.018433179723502304,0.0069124423963133645,0,156.19124423963135,3.389400921658986,0.46543778801843316,0,202,381,398,2,0,0,0,1260,,0.005025125628140704,0,0,148.53015075376885,3.1658291457286434,0.4748743718592965,,189,12.073490813648293,9.045226130653266,300,,,,16.746031746031747,,266.82027649769583,,,5.157938268414569,7.062029112720353,-1.98717479823471,,6.878306878306878
"Collection","/collections/celebrity-sex-dolls",409,415,1,0,0,0,1595,,0.0024096385542168677,0,0,172.2722891566265,3.8433734939759034,0.4433734939759036,,184,405,416,2,1,0,0,1785,0,0.004807692307692308,0.002403846153846154,0,192.16826923076923,4.290865384615385,0.4206730769230769,0,175,0.9876543209876543,-0.2403846153846154,-50,-100,,,-10.644257703081232,,-49.87951807228916,-100,,-10.353415865056384,-10.428942661401923,5.396213425129081,,5.142857142857143
"Collection","/collections/furry-sex-doll",386,392,0,0,0,0,1028,,0,0,0,102.33673469387755,2.622448979591837,0.6020408163265306,,236,254,257,0,0,0,0,648,,0,0,0,121.42023346303502,2.5214007782101167,0.5719844357976653,,147,51.968503937007874,52.52918287937743,,,,,58.641975308641975,,,,,-15.716901726240893,4.007621567145385,5.2547549632097805,,60.54421768707483
