"登陆页面类型","登陆页面路径","在线商店访客","访问","有商品添加到购物车的访问","到达结账页面的访问","完成结账的访问","转化率","页面浏览量","结账转化率","添加至购物车率","到达结账页面率","到达并完成结账的访问","平均访问持续时间","每次访问的页面浏览量","跳出率","完成结账率","跳出次数","Online store visitors (20260713)","Sessions (20260713)","Sessions with cart additions (20260713)","Sessions that reached checkout (20260713)","Sessions that completed checkout (20260713)","Conversion rate (20260713)","Pageviews (20260713)","Checkout conversion rate (20260713)","Added to cart rate (20260713)","Reached checkout rate (20260713)","Sessions that reached and completed checkout (20260713)","Average session duration (20260713)","Pageviews per session (20260713)","Bounce rate (20260713)","Completed checkout rate (20260713)","Bounces (20260713)","Online store visitors (20260713) ","Sessions (20260713) ","Sessions with cart additions (20260713) ","Sessions that reached checkout (20260713) ","Sessions that completed checkout (20260713) ","Conversion rate (20260713) ","Pageviews (20260713) ","Checkout conversion rate (20260713) ","Added to cart rate (20260713) ","Reached checkout rate (20260713) ","Sessions that reached and completed checkout (20260713) ","Average session duration (20260713) ","Pageviews per session (20260713) ","Bounce rate (20260713) ","Completed checkout rate (20260713) ","Bounces (20260713) "
"Collection","/collections/full-doll",1251,1298,23,12,0,0,5437,0,0.017719568567026195,0.009244992295839754,0,179.7442218798151,4.188751926040061,0.4036979969183359,0,524,1251,1298,23,12,0,0,5437,0,0.017719568567026195,0.009244992295839754,0,179.7442218798151,4.188751926040061,0.4036979969183359,0,524,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Homepage","/",935,1028,20,10,2,0.0019455252918287938,6296,0.2,0.019455252918287938,0.009727626459143969,2,318.24805447470817,6.124513618677042,0.30544747081712065,0.2,314,935,1028,20,10,2,0.0019455252918287938,6296,0.2,0.019455252918287938,0.009727626459143969,2,318.24805447470817,6.124513618677042,0.30544747081712065,0.2,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collection","/collections/bbw-sex-doll-torso",950,1001,10,6,1,0.000999000999000999,4060,0.16666666666666666,0.00999000999000999,0.005994005994005994,1,184.6053946053946,4.055944055944056,0.3876123876123876,0.16666666666666666,388,950,1001,10,6,1,0.000999000999000999,4060,0.16666666666666666,0.00999000999000999,0.005994005994005994,1,184.6053946053946,4.055944055944056,0.3876123876123876,0.16666666666666666,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collection","/collections/robotic-sex-doll",956,977,9,2,0,0,2970,0,0.009211873080859774,0.0020470829068577278,0,141.14022517911977,3.039918116683726,0.5701125895598772,0,557,956,977,9,2,0,0,2970,0,0.009211873080859774,0.0020470829068577278,0,141.14022517911977,3.039918116683726,0.5701125895598772,0,557,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Blog Article","/blogs/featured-blog/how-to-make-fake-pussy",784,801,0,0,0,0,1041,,0,0,0,33.59051186017478,1.299625468164794,0.8751560549313359,,701,784,801,0,0,0,0,1041,,0,0,0,33.59051186017478,1.299625468164794,0.8751560549313359,,701,0,0,,,,,0,,,,,0,0,0,,0
"Collection","/collections/sex-doll-head",697,706,23,7,0,0,3772,0,0.032577903682719546,0.009915014164305949,0,242.46317280453258,5.342776203966006,0.23087818696883852,0,163,697,706,23,7,0,0,3772,0,0.032577903682719546,0.009915014164305949,0,242.46317280453258,5.342776203966006,0.23087818696883852,0,163,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/anime-sex-doll",641,657,1,1,0,0,2140,0,0.0015220700152207,0.0015220700152207,0,128.59360730593608,3.2572298325722984,0.5083713850837138,0,334,641,657,1,1,0,0,2140,0,0.0015220700152207,0.0015220700152207,0,128.59360730593608,3.2572298325722984,0.5083713850837138,0,334,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/all",564,581,5,3,1,0.0017211703958691911,1896,0.3333333333333333,0.008605851979345954,0.0051635111876075735,1,149.21858864027539,3.2633390705679863,0.49569707401032703,0.3333333333333333,288,564,581,5,3,1,0.0017211703958691911,1896,0.3333333333333333,0.008605851979345954,0.0051635111876075735,1,149.21858864027539,3.2633390705679863,0.49569707401032703,0.3333333333333333,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collection","/collections/celebrity-sex-dolls",539,559,5,2,0,0,2314,0,0.008944543828264758,0.0035778175313059034,0,197.22540250447227,4.1395348837209305,0.39713774597495527,0,222,539,559,5,2,0,0,2314,0,0.008944543828264758,0.0035778175313059034,0,197.22540250447227,4.1395348837209305,0.39713774597495527,0,222,0,0,0,0,,,0,,0,0,,0,0,0,,0
"Collection","/collections/furry-sex-doll",551,559,1,0,0,0,1543,,0.0017889087656529517,0,0,115.99284436493738,2.7602862254025045,0.5599284436493739,,313,551,559,1,0,0,0,1543,,0.0017889087656529517,0,0,115.99284436493738,2.7602862254025045,0.5599284436493739,,313,0,0,0,,,,0,,0,,,0,0,0,,0
