# ----------------------------------------
# 电子商务购买: 商品名称
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260309
# 结束日期：20260315
商品名称,查看过的商品数,加入购物车的商品数,已购买的商品数,商品收入,跳出率,活跃用户,结账的商品数
A599 (83lb) Sucking Doggy Style Big Booty Sex Doll BBW Torso sex with sexual doll BIggest Ass Sex To,359,5,0,0,0.08074534161490683,310,4
A512 (57.32lb) Doggy Style Luxury Best BBW Sex Doll Torso With 1:1 Life-Sized Fat Big Ass,272,9,1,4132.624081,0.022026431718061675,195,13
A664-(37.5lb) Silicone Butt Sexy and Real Realistic Big Ass Sex Doll Torso,206,0,0,0,0.028089887640449437,165,0
A499-84.92LB Mia Silicone Bubble Butt Big Huge Booty bbw sex dolls | LoveNestle Series,179,1,0,0,0.0189873417721519,149,0
A660-(25.5lb)Super Elastic Butt Sexy And Real Realistic Big Ass sex dolls Torso,105,1,0,0,0.044444444444444446,85,0
F5961-150cm/4ft9 F Cup #114 Powerful Big Ass TPE SSBBW Plus Size Sex Dolls | SY Doll,97,1,0,0,0.06329113924050633,66,1
"F2319a-163cm(5.3ft) 53kg G Cup Hips Over 140"" ROS Movable Jaw Super Fat BBW Huge Ass Sex Doll丨SY Dol",95,0,0,0,0.037037037037037035,78,0
F555-161cm(5ft3)/52.5kg H Cup Huge Areola Adult Silicone Super Fat Big Belly BBW Sex Doll｜Starpery D,92,0,0,0,0,88,0
F5425-150cm/5ft-27.5kg Silicone Hentai Anime Waifu Sex Dolls | Elsa Babe,91,0,0,0,0.11688311688311688,65,0
A323-32lbs Chubby Belly Butt Ultra-Soft Liquid Silicone Ass BBW Sex Doll Torso,79,1,0,0,0,62,0
A499-84.92LB Mia Silicone Bubble Butt Big Huge Booty BBW Sex Doll Torso | LoveNestle Series,73,0,0,0,0.03225806451612903,57,0
F9267-161cm(5ft3)/41.5kg H Cup Huge Breast Adult Silicone sex doll bbw｜Starpery Doll - tpe,72,0,0,0,0,56,0
F5707K-168cm/5ft6-40kg A Cup Rabbit Police Officer Anime Best Animal Hentai Sex Doll【IN Stock EU】｜Do,69,0,0,0,0.015873015873015872,61,0
T205（41.22lb|53cm)Kana Fat Sex Dolls Belly real life size sex dolls Luxury Curvy BBW Sex Dolls,68,2,0,0,0.35714285714285715,29,1
T908K - 94.8 lbs Cinnamon-TPE Gel bbw sex doll torso with Huge Breasts【In Stock US】| Climax Doll Cla,66,1,0,0,0,62,0
F2385- 163cm(5.3ft)- G Cup #138 Great BBW Huge Butt TPE BBW Sex Doll With Robot 丨SY Doll,61,2,0,0,0.019230769230769232,52,1
A599 (83lb) Coco-Sucking Doggy Style Big Booty Ebony Obese Chubby Sex Doll Torso Realistic Biggest A,60,0,0,0,0.05263157894736842,54,0
A720 (103.6lb) S-TPE Doggy Style 1:1 Fat Big Ass bbw sexdoll torso,58,1,0,0,0.02040816326530612,47,2
T588V-(16.09lb) Robotic Sex doll torso with fully automatic cleaning :Sucking And Vibration Pussy,57,0,0,0,0.061224489795918366,48,0
"F2319-163cm(5.3ft) 53kg G Cup Hips Over 140"" ROS Movable Jaw Super Fat BBW life sized sex doll Huge ",53,3,0,0,0.08333333333333333,43,1
F4093-153cm/45kg Q Cup Full Silicone SSBBW Thick Ass Hentai Biggest Plus Size BBW Sex Doll｜Doll Cast,53,1,0,0,0.024390243902439025,39,4
T732-72.7lbs/101cm Silicone Luxury Super Realistic life size torso sex doll With Head and Arm Sex Do,50,2,0,0,0,33,0
F2384a- 163cm(5.3ft)-70kg/53kg G Cup S6 Best Big Ass Silicone Head Real BBW Sex Doll Booty丨SY Doll,49,0,0,0,0,37,0
F2588- 165cm/5ft4 G Cup Realistic Silicone Sex Doll | Irontech Doll,47,0,0,0,0.02564102564102564,33,0
F4904-150cm(4ft9)-35.5kg B Cup Silicone Furry Bunny Anime Sex Doll |Climax Doll Ultra,46,1,0,0,0,40,1
F5700-160cm/5ft4-55kg Q Cup Silicone Anime Bear Furry bbw sex doll with Round Ears｜Doll Castle,46,1,0,0,0,42,0
T412 (55lb) Best Seller Life-size Realistic 1:1 Plump Fat Woman Chubby BBW Sex Doll Torso,46,0,0,0,0,39,0
T666-39.7lbs/83cm Silicone Luxury Super Realistic life size torso sex doll And Robots,46,0,0,0,0.06896551724137931,25,0
T693 - 64.6 lbs Meru Anime Alien Sex Doll Torso with Flat Chest [IN Stock US/EU] | Silicone Head Red,45,0,0,0,0,43,0
F5834K—168cm/5ft5-35kg F Cup Silicone Realistic Sex Doll in Stock USA | TOP-CYDOLL - Full silicone（r,44,0,0,0,0,38,0
F2246-159cm(5.2ft) F Cup S44 Doll X Sex Robot Silicone Sex Doll｜Irontech Doll,43,0,0,0,0.9523809523809523,42,0
F7626- 163cm(5.3ft)-E Cup Great Huge Butt TPE Body+Silicone Head Black BBW Sex Doll For Men丨SY Doll,43,1,0,0,0.047619047619047616,41,0
F2387- 163cm(5.3ft) 53kg G Cup S6 Great Doggy Style Huge Butt Silicone Head Realistic BBW Sex Doll 丨,42,1,0,0,0,33,0
A562-(41.8lb)Best Luxury Lifesize Silicone Peach Butt Doll For Men sex doll torso｜Fat Ass Torso Doll,40,0,0,0,0.05714285714285714,35,0
F4893- 163cm(5.3ft)-F Cup Great Huge Butt TPE Big Ass BBW Chubby Sex Doll For Men丨SY Doll - Full TPE,40,1,0,0,0.03333333333333333,27,0
F9138-160cm/35.5kg Eila Adams C Cup Silicone Porn Celebrity Sex Doll｜Irontech Doll,40,0,0,0,0.047619047619047616,14,0
V26 - 1.54 lbs Realistic Silicone Vajankle Foot Fetish Sex Toy Right Foot with Built-in Pocket Pussy,39,1,0,0,0.08108108108108109,36,1
A418-(8lb) Sexy and Real Fat Lady Ass Realistic Black BBW Ebony Chubby Sex Doll Torso [ In Stock US ,37,0,0,0,0,31,0
F2580-168cm(5.5ft)-39kg H Cup ROS-MAX Pink Lovers Silicone ai sex dolls Realistic AI Sex Dolls｜Real ,37,0,0,0,0,14,0
F5546-153cm/5ft-28kg Silicone Anime Femboy Sex Doll - Elsa Babe,37,0,0,0,0.05405405405405406,36,0
P381-2.2lbs Meru The Succubus Onahole Silicone Mini Anime Hentai Pocket Pussy | MRL,37,0,0,0,0.2857142857142857,35,0
T346-24.46 lbs Huge Breast Hentai TPE BBW Sex Doll Torso | MRL,37,1,0,0,0,32,3
F2421-168cm M Cup 7.1inch Dildo Futan Musculature Trans Bbw Silicone full body sex dolls Futa Sex Do,36,0,0,0,0,22,0
L425(48.5lb/117cm) Silicone Leg and Foot Worship Model for Femdom and Trampling Roleplay | Judy Rona,36,2,1,6176.326835,0,11,3
F6146-161cm(5ft3)-29kg A Cup Sex Dolls Flat Chested with Silicone Head - Irontech Doll,35,0,0,0,0,24,0
T267-17.6lbs Realistic Adult Black Ebony Best Cheap Male Sex Toys|QSX,35,0,0,0,0,32,0
A682-(19lb)Best Sucking&Vibration Ass Sex Doll With Torso For Men realistic sex bot,34,0,0,0,0,34,0
F2422-168cm M Cup 7.1inch Dildo futanari Shemale Silicone SSBBW Huge Cock Trans Sex Doll｜Doll Castle,34,0,0,0,0.030303030303030304,32,0
F2465-163cm(5.3ft)-40kg C Cup Amani Natural Realistic Silicone Head ai sex dolls Porn Star Sex Doll【,34,1,0,0,0,30,1
T444-37.48LB 8.26inch  Realistic Shemale Sex Doll with Huge Dildo Silicone Sex Doll Torso | LoveNest,34,0,0,0,0.03125,32,0
T531(12.1lb/53cm) 6.7inch Dildo Trans Woman Femboy Toy Masturbator Shemale Lesbian Huge Cock Trans S,34,0,0,0,0.03333333333333333,29,0
A351-7.7LB-Silicone Deer Ass Furry Sex Doll Torso | MRL,33,0,0,0,0.06060606060606061,32,0
T289 - 79.37 lbs Lydia ROS Life Size Silicone sex doll bbw Torso with Head [In Stock USA& Europe] | ,33,0,0,0,0,31,0
