国家/地区,点击次数,展示,点击率,排名
美国,81,972,8.33%,19.96
印度,29,270,10.74%,8.01
孟加拉,8,46,17.39%,7.28
英国,7,64,10.94%,35.03
加拿大,4,77,5.19%,17.74
澳大利亚,4,45,8.89%,21.36
巴基斯坦,3,35,8.57%,4.91
新加坡,3,21,14.29%,7.81
匈牙利,3,8,37.5%,8.25
阿塞拜疆,3,6,50%,6.5
挪威,2,32,6.25%,12.69
印度尼西亚,2,30,6.67%,11.6
乌兹别克斯坦,2,9,22.22%,3.89
马来西亚,1,50,2%,8.5
法国,1,29,3.45%,63.1
巴西,1,26,3.85%,15.35
南非,1,24,4.17%,12.04
荷兰,1,23,4.35%,31.04
瑞典,1,21,4.76%,4.05
土耳其,1,18,5.56%,9.22
阿尔及利亚,1,9,11.11%,14.89
芬兰,1,7,14.29%,16.43
丹麦,1,7,14.29%,18
尼泊尔,1,6,16.67%,6.67
肯尼亚,1,4,25%,3.5
斯洛伐克,1,2,50%,11
瑞士,1,2,50%,13.5
埃塞俄比亚,1,1,100%,7
菲律宾,0,96,0%,8.62
越南,0,46,0%,7.28
德国,0,17,0%,10.41
泰国,0,17,0%,12.59
尼日利亚,0,15,0%,6.73
罗马尼亚,0,15,0%,10.47
捷克,0,12,0%,18.33
韩国,0,10,0%,9.3
俄罗斯,0,9,0%,35.67
埃及,0,8,0%,21
斯里兰卡,0,7,0%,4.57
意大利,0,7,0%,17
墨西哥,0,7,0%,34.43
新西兰,0,7,0%,36
以色列,0,7,0%,46.29
波兰,0,6,0%,10
叙利亚,0,6,0%,34.83
比利时,0,5,0%,7
爱尔兰,0,5,0%,11.4
日本,0,5,0%,20.4
希腊,0,4,0%,3
秘鲁,0,4,0%,4
加纳,0,4,0%,5.5
柬埔寨,0,4,0%,7.5
沙特阿拉伯,0,4,0%,16
乌克兰,0,4,0%,18.75
缅甸,0,3,0%,6.33
塞尔维亚,0,3,0%,6.33
厄瓜多尔,0,3,0%,6.67
科索沃,0,3,0%,7
伊拉克,0,3,0%,19.33
阿根廷,0,3,0%,30.33
葡萄牙,0,3,0%,60.33
波多黎各,0,2,0%,2
乌干达,0,2,0%,2
中国香港,0,2,0%,3
冰岛,0,2,0%,3
巴布亚新几内亚,0,2,0%,3
津巴布韦,0,2,0%,4.5
突尼斯,0,2,0%,6.5
智利,0,2,0%,7.5
台湾,0,2,0%,8
赞比亚,0,2,0%,9
摩洛哥,0,2,0%,23
哥伦比亚,0,2,0%,29
西班牙,0,2,0%,57.5
坦桑尼亚,0,1,0%,1
马耳他,0,1,0%,2
特立尼达和多巴哥,0,1,0%,2
多米尼加共和国,0,1,0%,3
哈萨克斯坦,0,1,0%,3
塞浦路斯,0,1,0%,4
牙买加,0,1,0%,4
塞内加尔,0,1,0%,4
波斯尼亚和黑塞哥维那,0,1,0%,5
马达加斯加,0,1,0%,6
阿曼,0,1,0%,6
所罗门群岛,0,1,0%,6
黑山,0,1,0%,7
毛里求斯,0,1,0%,7
巴拉圭,0,1,0%,7
亚美尼亚,0,1,0%,8
巴林,0,1,0%,8
哥斯达黎加,0,1,0%,8
斯洛文尼亚,0,1,0%,8
保加利亚,0,1,0%,9
克罗地亚,0,1,0%,9
爱沙尼亚,0,1,0%,10
马尔代夫,0,1,0%,26
