# ----------------------------------------
# 电子商务购买: 商品名称
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260601
# 结束日期：20260607
商品名称,查看过的商品数,加入购物车的商品数,已购买的商品数,商品收入,跳出率,活跃用户,结账的商品数
F4891-171cm/5ft6 55KG C Cup Realistic Silicone Head Robotic Sex Doll For Men | SY Doll,51,3,0,0,0,46,9
F4890-SY Dolls Big Breasts Robot Pussy Big Ass Sex Doll Silicone Head 169cm 50kg,39,0,0,0,0,37,0
T588V-16.09lb Sucking Sex Torso TPE Vibration & Auto Clean,29,1,0,0,0,25,0
"H002 X-Bot AI Smart Doll Head – Multi-Language Talking, Lifelike Expressions & Interactive Emotions ",24,0,0,0,0,23,0
F5971-160cm/5ft3 C Cup Lifelike Silicone Head Porn Star Celebrity Robotic Sex Doll | Rosretty Doll,20,0,0,0,0,18,0
F2580-168cm(5.5ft) 39kg Realistic Sex Doll Emotional Support Companion Silicone｜Real Lady,16,0,0,0,0,14,0
F1633-152cm/5ft F Cup Lifelike Tranny Shemale Sex Doll for Hardcore Fantasies | SY Doll,15,6,0,0,0,1,10
F9127-163cm/40kg Silicone Head TPE Body Full Size Adult Sex Bot | Ridmii,15,0,0,0,0,14,0
A555-32lbs 32lb Moving Sex Doll Torso Realistic Ass Robot Vibrating,10,0,0,0,0,9,0
"P672-Vibrating Buttocks Sex Doll – Automatic Sucking Vibrating Pocket Pussy, Doggy Style 7.9lbs",10,3,0,0,0,4,6
A2-(23.8lb)  Sucking & Vibration Robot Pussy Torso Butt with 4 Thrusting Models Pussy,9,0,0,0,0,6,0
F5150-163cm D Cup ROS Hottie Ebony Black Silicone Best AI Sex Doll | Galatea doll,9,1,0,0,0,7,0
F9000-160cm/5.2ft 36kg C Cup TPE+Silicone Head Asian Robot Sex Doll | SY Doll,9,0,0,0,0,7,0
F2409- 164cm(5.4ft) D Cup AI Chatbot Blinking Smiling Robot Sex Doll With AI丨SY Doll,8,1,0,0,0,8,0
F9002-160cm/5ft3 B Cup TPE Realistic Adult Robot Sex Doll | SY Dolls,8,0,0,0,0,8,0
F6129-170cm/5ft6 40kg  D Cup Movable jaw TPE+silicone Head Sex Doll Robot |SY Doll,7,0,0,0,0,7,0
