# ----------------------------------------
# 电子商务购买: 商品名称
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260629
# 结束日期：20260705
商品名称,查看过的商品数,加入购物车的商品数,已购买的商品数,商品收入,跳出率,活跃用户,结账的商品数
F9000-160cm/5.2ft 36kg C Cup TPE+Silicone Head Asian Robot Sex Doll | SY Doll,30,0,0,0,0,24,0
F4891-171cm/5ft6 55KG C Cup Realistic Silicone Head Robotic Sex Doll For Men | SY Doll,26,0,0,0,0,22,0
F4890-SY Dolls Big Breasts Robot Pussy Big Ass Sex Doll Silicone Head 169cm 50kg,24,0,0,0,0,23,0
"H002 X-Bot AI Smart Doll Head – Multi-Language Talking, Lifelike Expressions & Interactive Emotions ",24,0,0,0,0,23,0
F2580-168cm(5.5ft) 39kg Realistic Sex Doll Emotional Support Companion Silicone｜Real Lady,16,0,0,0,0,16,0
T588V-16.09lb Sucking Sex Torso TPE Vibration & Auto Clean,11,0,0,0,0,9,0
T588V-16.09lb Sucking Sex Torso TPE Vibration & Auto Clean Sex Doll Torsos,11,0,0,0,0,11,0
F2248-170cm/5.6ft-43kg D Cup S17 Tanned Life Size Silicone Robot Sex｜Real Lady,9,0,0,0,0,9,0
F9127-163cm/40kg Silicone Head TPE Body Full Size Adult Sex Bot | Ridmii,9,0,0,0,0,8,0
A555-32lbs 32lb Moving Sex Doll Torso Realistic Ass Robot Vibrating,8,0,0,0,0,8,0
H902 Free Iron AI Talking ROS-MAX Silicone Blowjob For Sex Doll Head Customizable Personality AI dol,8,0,0,0,0,7,0
F9002-160cm/5ft3 B Cup TPE Realistic Adult Robot Sex Doll | SY Dolls,7,0,0,0,0,7,0
F5150-163cm D Cup ROS Hottie Ebony Black Silicone Best AI Sex Doll | Galatea doll,6,0,0,0,0,5,0
F6129-170cm/5ft6 40kg  D Cup Movable jaw TPE+silicone Head Sex Doll Robot |SY Doll,6,0,0,0,0,6,0
F7674-163cm/31kg Silicone Head Full Size Adult AI Sex Doll Hain | Ridmii,6,0,0,0,0,6,0
A555-32lbs 32lb Moving Sex Doll Torso Realistic Ass Robot Vibrating Best Sex Dolls Torso,5,0,0,0,0,5,0
F2409- 164cm(5.4ft) D Cup AI Chatbot Blinking Smiling Robot Sex Doll With AI丨SY Doll,5,0,0,0,0,5,0
"P672-Vibrating Buttocks Sex Doll – Automatic Sucking Vibrating Pocket Pussy, Doggy Style 7.9lbs",5,5,0,0,0,4,1
F1048-165cm(5.4ft) C Cup Lucy TPE Sex Doll【IN STOCK USA & EUROPE】｜Fun West Doll,4,1,0,0,0,1,0
F2412- 158cm(5.2ft) G Cup AI Chatbot Blinking Smiling Robot Sex Doll AI丨SY Doll,4,0,0,0,0,3,0
F2413- 164cm(5.4ft) D Cup M38# ROS Movable Jaw Silicone Sexbots For Sale 丨SY Doll,4,0,0,0,0,4,0
F306-160cm(5ft2)-34kg A Cup Asian flat chested STPE Sex Doll【IN STOCK USA】 |WM Doll,4,0,0,0,0,1,0
F8170-150cm(4.9ft)-27.6kg F Cup Lena Best Silicone Sex Doll With Robot｜Real Lady,4,0,0,0,0,4,0
H901 Free Iron AI Talking ROS-MAX Silicone Blowjob Head Sex Doll Emotional Support Companion | Iront,4,0,0,0,0,4,0
H903 Free Iron AI Talking Silicone Blowjob AI Sex Dolls Head | Sigafun,4,1,0,0,0,4,1
A2-(23.8lb)  Sucking & Vibration Robot Pussy Torso Butt with 4 Thrusting Models Pussy,3,0,0,0,0,2,0
F1968K-175cm(5.7ft) E Cup Zara Black real life ebony Sex Doll｜Irontech Doll,3,0,0,0,0,1,0
F3443-153cm(5ft) -34kg H Cup Real Silicone Head Mine Sex Doll Huge Boobs | Aibei Doll,3,1,0,0,0,1,0
F4918-150cm(4ft9)-26.2kg B Cup Small Breast TPE Sex Doll | Aibei Doll,3,0,0,0,0,3,0
F5971-160cm/5ft3 C Cup Lifelike Silicone Head Porn Star Celebrity Robotic Sex Doll | Rosretty Doll,3,0,0,0,0,3,0
A782-25.35 lbs Silicone Big Butt Torso – Lightweight Realistic Big Ass,2,0,0,0,0,2,0
F1622-166cm/5ft4 C Cup Realistic Black Skin Silicone Head Celebrity Sex Dolls And Robots |Rosretty D,2,0,0,0,0,2,0
F2194-159cm(5.2ft) F Cup S13 Fantasy Silicone Robot Sex Doll｜Irontech Doll,2,0,0,0,0,2,0
