国家/地区,点击次数,展示,点击率,排名
美国,11,128,8.59%,9.06
伊朗,9,78,11.54%,4.27
马来西亚,2,3,66.67%,23
印度,1,12,8.33%,4.5
俄罗斯,1,8,12.5%,2.5
越南,1,3,33.33%,5.67
约旦,1,2,50%,2.5
捷克,1,1,100%,1
爱沙尼亚,1,1,100%,1
泰国,1,1,100%,2
阿尔及利亚,1,1,100%,3
德国,0,8,0%,5.62
巴基斯坦,0,6,0%,4.5
英国,0,6,0%,7.17
埃及,0,4,0%,2.5
加拿大,0,4,0%,4.75
伊拉克,0,4,0%,7.25
土耳其,0,4,0%,7.5
沙特阿拉伯,0,3,0%,3.33
波兰,0,3,0%,5.67
柬埔寨,0,2,0%,2.5
赞比亚,0,2,0%,3
奥地利,0,1,0%,1
日本,0,1,0%,2
西班牙,0,1,0%,3
斯里兰卡,0,1,0%,3
南非,0,1,0%,3
罗马尼亚,0,1,0%,6
厄瓜多尔,0,1,0%,7
摩尔多瓦,0,1,0%,8
新西兰,0,1,0%,8
新加坡,0,1,0%,8
瑞典,0,1,0%,8
爱尔兰,0,1,0%,9
