# ----------------------------------------
# 电子商务购买: 商品名称
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260629
# 结束日期：20260705
商品名称,查看过的商品数,加入购物车的商品数,已购买的商品数,商品收入,跳出率,活跃用户,结账的商品数
H401 ROS Free Hair Impants  Real Oral Movable Jaw Blowjob Silicone Sex Doll Head   | SY Doll,4,0,0,0,0,3,0
H442 ROS Free Hair Impants Real Oral Movable Jaw Blowjob Silicone Sex Doll Head | SY Doll,4,0,0,0,0,2,0
H027 TPE Oral Blowjob Sex Doll Head [IN STOCK USA / EU]丨WM Doll Head,3,1,0,0,0,2,0
H221 ROS Silicone Sex Doll Head [IN STOCK USA]丨Galatea Doll Head,3,0,0,0,0,3,0
H649 ROS Free Hair Impants Real Oral Movable Jaw Blowjob Silicone Sex Doll Head   | Meizaoren,3,2,0,0,0,2,0
H043 ROS Silicone Blowjob Sex Doll Head | Irontech Doll Head,2,0,0,0,0,1,0
H166 ROS-MAX Silicone Sex Doll Head| Real Lady Doll,2,0,0,0,0,2,0
H422 ROS Free Hair Impants  Real Oral Movable Jaw Silicone Sex Doll Head   | SY Doll,2,0,0,0,0,2,0
H423 ROS Free Hair Impants  Real Oral Movable Jaw Blowjob Silicone Sex Doll Head   | SY Doll,2,0,0,0,0,1,0
H426 ROS Free Hair Impants  Real Oral Movable Jaw Silicone Sex Doll Head   | SY Doll,2,0,0,0,0,1,0
H436 ROS Free Hair Impants  Real Oral Movable Jaw Silicone Sex Doll Head   | SY Doll,2,0,0,0,0,2,0
H658 Thick Big Lips Silicone ROS Blowjob Sex Doll Head 丨Doll Castle Head,2,0,0,0,0,2,0
H668 ROS Silicone Blowjob Sex Doll Head丨Irontech Doll Head,2,0,0,0,0,2,0
H691 ROS Silicone Blowjob Sex Doll Head [IN STOCK USA]丨Galatea Doll Head,2,0,0,0,0,2,0
H705 ROS Silicone Blowjob Sex Doll Head [IN STOCK USA]｜Zelex Doll Head,2,0,0,0,0,2,0
H901 Free Iron AI Talking ROS-MAX Silicone Blowjob Head Sex Doll Emotional Support Companion | Iront,2,0,0,0,0,1,0
H902 Free Iron AI Talking ROS-MAX Silicone Blowjob For Sex Doll Head Customizable Personality AI dol,2,0,0,0,0,1,0
H903 Free Iron AI Talking Silicone Blowjob AI Sex Dolls Head | Sigafun,2,0,0,0,0,1,0
H991 Free AI Talking ROS-MAX Silicone Blowjob Sex Doll Head| Irontech Doll,2,0,0,0,0,2,0
H992 Free AI Talking ROS-MAX Silicone Blowjob Sex Doll Head| Irontech Doll,2,0,0,0,0,1,0
H993 Free AI Talking ROS-MAX Silicone Blowjob Sex Doll Head| Real Lady Doll,2,0,0,0,0,1,0
H017 Fantasy Halloween TPE Oral Sex Doll Head 丨WM Doll Head,1,0,0,0,0,1,0
H1049 ROS Silicone Blowjob Sex Doll Head丨Aibei Doll Head,1,0,0,0,0,1,0
H125 Thick Big Lips TPE Oral Blowjob Sex Doll Head 丨WM Doll Head,1,0,0,0,0,1,0
H147 Loli Europe Blonde Teen Silicone Sex Doll Head ｜Qita Doll head,1,0,0,0,0,1,0
H205 ROS Silicone Sex Doll Head [IN STOCK USA]丨Galatea Doll Head,1,0,0,0,0,1,0
H220 ROS Silicone Sex Doll Head [IN STOCK USA]丨Galatea Doll Head,1,0,0,0,0,1,0
H236 ROS Silicone Blowjob Sex Doll Head丨Angel Kiss Doll head,1,0,0,0,0,1,0
H368 ROS Silicone Sex Doll Head| Real Lady Doll,1,0,0,0,0,1,0
H386 ROS Silicone Sex Doll Head [IN STOCK USA]丨Galatea Doll Head,1,0,0,0,0,1,0
H387 ROS Silicone Sex Doll Head [IN STOCK USA]丨Galatea Doll Head,1,0,0,0,0,1,0
H402 ROS Free Hair Impants  Real Oral Movable Jaw Blowjob Silicone Sex Doll Head   | SY Doll,1,0,0,0,0,1,0
H404 ROS Free Hair Impants  Real Oral Movable Jaw Silicone Sex Doll Head   | SY Doll,1,0,0,0,0,1,0
H409 ROS Free Hair Impants  Real Oral Movable Jaw Silicone Sex Doll Head   | SY Doll,1,0,0,0,0,1,0
H410 ROS Free Hair Impants  Real Oral Movable Jaw Silicone Sex Doll Head   | SY Doll,1,0,0,0,0,1,0
H411 ROS Free Hair Impants  Real Oral Movable Jaw Silicone Sex Doll Head   | SY Doll,1,0,0,0,0,1,0
H420 ROS Free Hair Impants  Real Oral Movable Jaw Silicone Sex Doll Head   | SY Doll,1,0,0,0,0,1,0
H425 ROS Free Hair Impants  Real Oral Movable Jaw Silicone Sex Doll Head   | SY Doll,1,0,0,0,0,1,0
