国家/地区,点击次数,展示,点击率,排名
美国,201,1398,14.38%,4.59
加拿大,31,126,24.6%,3.79
英国,13,94,13.83%,5.91
澳大利亚,8,52,15.38%,3.62
德国,8,41,19.51%,5.83
芬兰,7,20,35%,2.6
印度,5,40,12.5%,7.05
荷兰,4,24,16.67%,4.75
罗马尼亚,4,17,23.53%,6.29
新西兰,3,12,25%,5
挪威,3,11,27.27%,3.09
爱尔兰,3,10,30%,4.7
印度尼西亚,3,8,37.5%,39.25
瑞士,3,5,60%,4
波兰,2,22,9.09%,5.95
马来西亚,2,12,16.67%,3.25
墨西哥,2,10,20%,3.6
匈牙利,2,9,22.22%,4.22
丹麦,2,7,28.57%,3.86
葡萄牙,2,6,33.33%,5
比利时,2,4,50%,2.25
哥伦比亚,2,2,100%,3
瑞典,1,20,5%,4.5
法国,1,19,5.26%,4.63
意大利,1,14,7.14%,4.71
新加坡,1,12,8.33%,6.17
菲律宾,1,10,10%,6
日本,1,8,12.5%,3.62
巴西,1,8,12.5%,5.25
巴基斯坦,1,8,12.5%,7.88
西班牙,1,7,14.29%,6.29
俄罗斯,1,7,14.29%,6.57
以色列,1,4,25%,2
马其顿,1,3,33.33%,1.67
文莱,1,2,50%,1
摩洛哥,1,2,50%,3
克罗地亚,1,2,50%,3.5
斯洛伐克,1,2,50%,3.5
卡塔尔,1,2,50%,13
土耳其,0,11,0%,4.55
泰国,0,9,0%,4.89
越南,0,7,0%,3.86
希腊,0,7,0%,7
奥地利,0,7,0%,15.14
阿根廷,0,6,0%,3.83
南非,0,6,0%,5.67
捷克,0,6,0%,5.83
肯尼亚,0,5,0%,2.4
阿尔巴尼亚,0,4,0%,2
伊朗,0,4,0%,8.25
台湾,0,4,0%,19
哥斯达黎加,0,3,0%,2
智利,0,3,0%,4.67
埃及,0,3,0%,6.67
尼泊尔,0,3,0%,9
中国香港,0,3,0%,10
阿拉伯联合酋长国,0,2,0%,3.5
波多黎各,0,2,0%,4.5
索马里,0,2,0%,4.5
塞尔维亚,0,2,0%,4.5
韩国,0,2,0%,6
乌克兰,0,2,0%,8.5
尼日利亚,0,2,0%,9.5
拉脱维亚,0,1,0%,1
哈萨克斯坦,0,1,0%,2
卢森堡,0,1,0%,2
斯洛文尼亚,0,1,0%,2
孟加拉,0,1,0%,3
博茨瓦纳,0,1,0%,3
塞浦路斯,0,1,0%,3
利比亚,0,1,0%,3
乌干达,0,1,0%,3
约旦,0,1,0%,4
加纳,0,1,0%,5
蒙古,0,1,0%,5
阿尔及利亚,0,1,0%,6
乌拉圭,0,1,0%,9
牙买加,0,1,0%,10
埃塞俄比亚,0,1,0%,27
科威特,0,1,0%,29
保加利亚,0,1,0%,32
中国,0,1,0%,65
