# ----------------------------------------
# 电子商务购买: 商品名称
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260525
# 结束日期：20260531
商品名称,查看过的商品数,加入购物车的商品数,已购买的商品数,商品收入,跳出率,活跃用户,结账的商品数
"H002 X-Bot AI Smart Doll Head – Multi-Language Talking, Lifelike Expressions & Interactive Emotions ",61,2,0,0,0,55,0
H442 ROS Free Hair Impants Real Oral Movable Jaw Blowjob Silicone Sex Doll Head | SY Doll,58,0,0,0,0,52,0
H027 TPE Oral Blowjob Sex Doll Head [IN STOCK USA / EU]丨WM Doll Head,29,1,0,0,0,20,0
H074 TPE Oral Blowjob Sex Doll Head 丨WM Doll Head,24,1,0,0,0,7,2
H670 ROS Silicone Sex Doll Head丨Irontech Doll Head,17,0,0,0,0,16,0
H130 TPE Oral Blowjob Sex Doll Head  [IN STOCK USA / EU]丨WM Doll Head,16,1,0,0,0,12,0
H422 ROS Free Hair Impants  Real Oral Movable Jaw Silicone Sex Doll Head   | SY Doll,16,1,0,0,0,15,0
H1031  Silicone Blowjob Sex Doll Head丨Aibei Doll Head,14,0,0,0,0,13,0
H166 ROS-MAX Silicone Sex Doll Head| Real Lady Doll,13,0,0,0,0,10,0
H023 TPE Oral Blowjob Sex Doll Head 丨WM Doll Head,12,0,0,0,0,8,0
H668 ROS Silicone Blowjob Sex Doll Head丨Irontech Doll Head,11,0,0,0,0,10,0
H001  TPE Oral Sex Doll Head  [IN STOCK USA / EU]丨WM Doll Head,9,0,0,0,0,7,0
H111 Big Lips TPE Oral Blowjob Sex Doll Head 丨WM Doll Head,9,0,0,0,0,8,0
H647 ROS Silicone Blowjob Sex Doll Head丨WM Doll Head,9,0,0,0,0,6,0
H663 ROS-MAX Silicone Blowjob Sex Doll Head| Real Lady Doll,9,0,0,0,0,8,0
H664 ROS-MAX Silicone Blowjob Sex Doll Head| Real Lady Doll,9,0,0,0,0,5,0
H043 ROS Silicone Blowjob Sex Doll Head | Irontech Doll Head,8,0,0,0,0,8,0
H121 TPE Oral Blowjob Sex Doll Head 丨WM Doll Head,8,0,0,0,0,8,0
H009 TPE Oral Sex Doll Head 丨WM Doll Head,7,0,0,0,0,5,0
H434 ROS Free Hair Impants  Real Oral Movable Jaw Silicone Sex Doll Head   | SY Doll,7,0,0,0,0,3,0
H439 ROS Free Hair Impants  Real Oral Movable Jaw Silicone Sex Doll Head   | SY Doll,7,0,0,0,0,7,0
H613 ROS Silicone Love Doll Head ｜Zelex Doll Head,7,0,0,0,0,7,0
H993 Free AI Talking ROS-MAX Silicone Blowjob Sex Doll Head| Real Lady Doll,7,2,0,0,0,4,1
H035 TPE Oral Blowjob Sex Doll Head 丨WM Doll Head,6,0,0,0,0,5,0
