# ----------------------------------------
# linkdolls-new - GA4
# 点击率1-点击数（过滤亚洲）-自由形式 1
# 20260601-20260607
# ----------------------------------------

Click_URL,事件数,活跃用户
,1198,563,总计
https://linkdolls.com/collections/electric-sex-doll-head,247,213
https://linkdolls.com/collections/ros-sex-doll-heads-1,124,106
https://linkdolls.com/collections/anime-sex-doll-heads,108,101
https://linkdolls.com/collections/best-sellers-in-head,75,72
https://linkdolls.com/collections/asia-sex-doll-heads,58,54
https://linkdolls.com/collections/silicone-sex-doll-heads,52,50
https://linkdolls.com/collections/fantasy-sex-doll-heads,48,45
https://linkdolls.com/collections/tpe-sex-doll-head,45,43
https://linkdolls.com/collections/europe-sex-doll-heads-1,29,27
https://linkdolls.com/collections/sex-doll-head,28,23
https://linkdolls.com/collections/latina-sex-doll-heads,25,22
https://linkdolls.com/collections/in-stock-sex-doll-heads,23,23
https://linkdolls.com/collections/iron-ai-talking-sex-doll-head,21,20
https://linkdolls.com/collections/full-doll,16,16
https://linkdolls.com/products/h111-sex-doll-head,16,13
https://linkdolls.com/collections/black-sex-doll-heads,12,12
https://linkdolls.com/products/h1031-silicone-sex-doll-head%E4%B8%A8aibei-doll-head,12,12
https://linkdolls.com/products/se-doll-head-x-bot-ai-smart-multi-language-talking-h002,12,11
https://linkdolls.com/products/h027-sex-doll-head,9,9
https://linkdolls.com/pages/all-category,8,8
https://linkdolls.com/products/h990-iron-ai-talking-ros-max-silicone-blowjob-sex-doll-head-real-lady,8,8
https://linkdolls.com/products/rebecaa-sex-doll-157cm5ft2,8,6
https://linkdolls.com/collections/sex-doll-torso,7,7
https://linkdolls.com/products/h130-sex-doll-head,7,7
https://linkdolls.com/products/h442-ros-free-hair-impants-real-oral-movable-jaw-silicone-sex-doll-he,7,7
https://linkdolls.com/collections/sex-doll-torso-with-head,6,5
https://linkdolls.com/collections/sex-doll-videos,6,6
https://linkdolls.com/products/h125-sex-doll-head,6,5
https://linkdolls.com/products/h631-ros-silicone-sex-doll-head-zelex-doll-head,6,1
https://linkdolls.com/products/h074-sex-doll-head,5,5
,4,3
https://linkdolls.com/,4,3
