# ----------------------------------------
# 电子商务购买: 商品名称
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260406
# 结束日期：20260412
商品名称,查看过的商品数,加入购物车的商品数,已购买的商品数,商品收入
V332 - Ultra-Soft Silicone Sex Doll Feet with Real Feel Texture for Foot Fetish,3,0,0,0
L307(35lb/34.6‘’) Crurophilia Sexy Silicone Sex Legs & Feet with Smooth Skin,2,0,0,0
L417(41.9lb/41.7‘’) Crurophilia Silicone Legs and Feet Combo – Realistic Skin Feel,2,0,0,0
L583(13.2lb/27.5‘’) Sex Doll Legs Cheap Realistic Sex Dolls |foot fetish toys,2,0,0,0
V330 - Silicone Realistic Feet Masturbator with Detailed Skin Texture,2,0,0,0
V334 - 1:1 Lifelike Silicone Sex Doll Feet Foot Fetish Toy,2,0,0,0
V335 - High-Quality Silicone Vein Sex Doll Feet Footjob Toy,2,0,0,0
L304-59lbs/36.2‘’ Realistic TPE Curvy Thigh Sex Doll Lower Body,1,0,0,0
L425(48.5lb/117cm) Silicone Leg and Foot Worship Model for Femdom and Trampling Roleplay | Judy Rona,1,0,0,0
L468(50lb/110cm) TPE Sexy Lifesize Sex Doll Legs｜Qita Doll,1,0,0,0
L470(48.5lb/110cm) TPE Doggystyle Long Legs Sex Doll｜Qita Doll,1,0,0,0
L474(48.5lb/109cm)Black Thin Sex Doll Legs for Legs Fetish｜Climax Doll,1,0,0,0
L581（30.8lb/39.3‘’) Sex Doll Legs  Sexy Busty Female Sex Doll Legs Torso Male Masturbator Adult Toy,1,0,0,0
L582(7.7lb/23.6‘’) Sex Doll Legs Footjob Cheap Leg Torso Toys Female Big Ass Masturbator For Men,1,0,0,0
L585 (10lb/75cm) Long Legged TPE Real Love Torso Doll | SE Doll,1,0,0,0
V23 - Vajancle&Sex Doll Feet&Feet Fetish Masturbator,1,0,0,0
V27 – 4.41 lbs Left Silicone Customizable Vajankle Big Foot Fetish Toy with Built-in Tunnel for Men ,1,0,0,0
V321 - Silicone Realistic Sex Doll Feet with Socks – Sock Fleshlight for Adults,1,0,0,0
V322 - Silicone Vajankle Foot Fetish Toy with Detailed Foot Design,1,0,0,0
V323 - Silicone Ultra-Soft Foot Fleshlight with Real Feel Texture,1,0,0,0
V324 - Silicone Ultra-Realistic Sex Foot Toy with Veins and Wrinkles for Foot Worship Fantasy - Size,1,0,0,0
V325 - Foot Worship Silicone Doll with Wrinkled Soles and Arch Curve,1,0,0,0
V33 - TPE Transparent Nylon Sex Foot Toy for Fetish Play - Size EU 36 US 7,1,0,0,0
V333 - High Elasticity TPE Sex Doll Feet for Trampling Play,1,0,0,0
V636 - Vajankle Foot Fetish Toys & Female Feet,1,0,0,0
V637 -Vajankle Foot Fetish Toys&Sexy Feet Fleshlight,1,0,0,0
V638 -Vajankle Foot Fetish Toys&TPE Lifesize Female Mannequin Foot,1,0,0,0
V656 Soft Silicone Sex Doll Feet for Foot Fetish and Trampling Use,1,0,0,0
V657 - Female Domination Silicone Foot Fetish Sex Toy for Foot Femdom Play - Size EU 38 US 9,1,0,0,0
