国家/地区,点击次数,展示,点击率,排名
美国,70,910,7.69%,18.19
加拿大,4,69,5.8%,13.41
印度,4,34,11.76%,22.44
澳大利亚,2,82,2.44%,25.27
英国,2,36,5.56%,15.94
孟加拉,2,5,40%,12
马来西亚,1,18,5.56%,5.67
希腊,1,14,7.14%,11.64
意大利,1,13,7.69%,19.31
冰岛,1,6,16.67%,31.5
奥地利,1,5,20%,10.8
伊朗,1,3,33.33%,10.67
塞尔维亚,1,3,33.33%,11
厄瓜多尔,1,2,50%,6
土耳其,1,2,50%,43
印度尼西亚,1,1,100%,12
菲律宾,0,16,0%,6
瑞典,0,15,0%,34.4
新西兰,0,15,0%,34.8
德国,0,14,0%,19.93
斯洛伐克,0,10,0%,24.8
波兰,0,9,0%,5.44
荷兰,0,9,0%,23
摩洛哥,0,7,0%,7.29
罗马尼亚,0,7,0%,9.43
南非,0,6,0%,6.67
墨西哥,0,6,0%,25
法国,0,5,0%,3.6
瑞士,0,5,0%,7.6
中国香港,0,5,0%,8.8
爱沙尼亚,0,5,0%,24.6
日本,0,5,0%,30.4
西班牙,0,4,0%,4.5
爱尔兰,0,4,0%,6.75
尼日利亚,0,4,0%,7
俄罗斯,0,4,0%,14.75
中国,0,4,0%,25.75
匈牙利,0,4,0%,34.25
捷克,0,4,0%,35.25
克罗地亚,0,3,0%,2
卡塔尔,0,3,0%,2
乌克兰,0,3,0%,3
巴西,0,3,0%,3.67
越南,0,3,0%,4
尼泊尔,0,3,0%,4.33
丹麦,0,3,0%,4.67
韩国,0,3,0%,4.67
埃及,0,3,0%,5
肯尼亚,0,3,0%,5
安道尔,0,3,0%,60.67
卢森堡,0,3,0%,61.33
立陶宛,0,3,0%,71
比利时,0,2,0%,5.5
芬兰,0,2,0%,7
牙买加,0,2,0%,7.5
黎巴嫩,0,2,0%,9
挪威,0,2,0%,24
列支敦士登,0,2,0%,50.5
拉脱维亚,0,2,0%,56.5
保加利亚,0,2,0%,62.5
阿尔巴尼亚,0,1,0%,2
阿塞拜疆,0,1,0%,2
突尼斯,0,1,0%,2
沙特阿拉伯,0,1,0%,3
阿拉伯联合酋长国,0,1,0%,4
以色列,0,1,0%,4
波多黎各,0,1,0%,4
新加坡,0,1,0%,4
泽西岛,0,1,0%,5
约旦,0,1,0%,5
澳门,0,1,0%,5
葡萄牙,0,1,0%,5
叙利亚,0,1,0%,5
伯利兹,0,1,0%,6
文莱,0,1,0%,7
加纳,0,1,0%,7
阿尔及利亚,0,1,0%,9
洪都拉斯,0,1,0%,9
缅甸,0,1,0%,9
委内瑞拉,0,1,0%,9
蒙古,0,1,0%,47
智利,0,1,0%,50
