# ----------------------------------------
# 电子商务购买: 商品名称
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260629
# 结束日期：20260705
商品名称,查看过的商品数,加入购物车的商品数,已购买的商品数,商品收入,跳出率,活跃用户,结账的商品数
T664 - 15.43lbs TPR 9.4in Dildo Detachable Real AI Male Torso Dildo【IN Stock US】 | Xinse,27,1,0,0,0,22,0
T267-17.6lbs Realistic Adult Black Ebony Best Cheap Male Sex Torso | QSX,14,2,0,0,0,12,2
T425-35lbs/70cm TPE Realistic Male Torso Sex Doll with Lifelike Huge Penis for Men & Women【IN Stock ,14,0,0,0,0,14,0
T942-8.4lb 7.9inch Huge Penis Dildo Femboy TPE Cheap male sex dolls Torso | qita doll,14,0,0,0,0,12,0
T659 - 4.6 lbs Realistic Dildo For Silicone Sex Doll Torso Toy Male Masturbator | Judy Rona,12,0,0,0,0,12,0
P102-5.28LB Strong Suction Cup Silicone Hentai Mini Male Sex Doll Torso with Dildo  | TAYUTA,11,0,0,0,0,11,0
F9135-175cm-43kg Drake Von Strong Femboy Silicone Most Realistic Celebrity male sex doll | Irontech ,9,0,0,0,0,7,0
T704(11.46lb)  Lifelike Big Penis Male Sex Doll Torso Dildo Adult Toys With 5.9″ Dildo for Female Ma,9,0,0,0,0,9,0
A943-23.8lb 7.9inch Huge Penis Dildo Femboy TPE Cheap Male Sex Doll Torso | qita doll,8,0,0,0,0,8,0
T639 - 26.5lbs Silicone Male Sex Dolls Torso Realistic Body with Dildo for Woman | Judy Runa,8,0,0,0,0,7,0
T701-94cm/3ft1(25kg) Realistic Muscular TPE Male Sex Torso with 17cm Bendable Cock | Qita doll,8,0,0,0,0,7,0
"T793-42lb Silicone Male Sex Doll Torso with ROS Head & 7"" Electric Dildo | qita doll",8,0,0,0,0,8,0
"A312-12lb, 18cm (7.1"") 2026 Premium Soft Silicone Male Torso Dildo for Women & All Genders | Judy Ro",7,0,0,0,0,6,0
T660 - 9.35lbs TPR 8.46in Dildo Insert AI Sex Dolls Male Torso Toy & Masturbator【IN Stock US】 | Xins,7,0,0,0,0,6,0
T795-38lb 57cm Chunky Male Sex Doll Torso with Thick Muscle Bear Physique & Fixed 18cm Penis | QITA,7,0,0,0,0,7,0
T903(17.63lb)  6.69″ Automatic Thrusting Male Sex Doll with Multi-Speed Vibration and Big Dick,7,0,0,0,0,7,0
"A325k-4.6 lbs Silicone Premium 9.5"" Male Torso Dildo with 5"" Solid Phallus 【IN STOCK EU】| Yeloly",5,0,0,0,0,5,0
A806-12lbs Realistic Male Silicone Torso Sex Doll with 18cm Posable Dildo & Testicles | YELOLY,5,0,0,0,0,4,0
P101-4LB Mini Silicone Pocket Pussy Hentai Realistic Bl Anime Sex Toys,5,0,0,0,0,5,0
P88-9LB Centaur Black Torso Sex Doll With Horse Dildo Small Ebony Male Sex Dolls Torso | MRL,5,0,0,0,0,5,0
T637 – 36.4 lbs Mark PRO TPE Male Sex Doll Torso with Removable Silicone Dildo -3 Sizes Available | ,5,0,0,0,0,3,0
"T796-32.8lb 72cm Muscle Men Sex Doll Torso with Motorized 7"" Penis | QITA",5,0,0,0,0,4,0
T906(5.66lb)  7.87″ Dildo Automatic Thrusting Male Sex Doll Torso: Hands-Free Realistic Experience,4,0,0,0,0,4,0
A10 (9.9lb) Cheap Realistic Male Sex Doll Torso with Huge Torso Dildo | Dang Xia,3,0,0,0,0,2,0
D007- (9.2'')Male Silicone Auto Vibrating Torso Dildo - Wireless Control,3,0,0,0,0,2,0
"F9271-180cm/5ft11 41.5kg Weight Loss Silicone full body male sex doll with 4.7"" Natural Semi-Erect S",3,0,0,0,0,3,0
P72-8.82lb 6.5/5.5inch Dildo Diphallia Futanari  Double Penis Sex Doll Torso | MRL,3,0,0,0,0,2,0
T230 (20.3lb丨21.6'')8inch Dildo Femboy Black Big Breast &Torso Dildo shemale sex torso,3,0,0,0,0,1,0
