国家/地区,点击次数,展示,点击率,排名
美国,28,779,3.59%,17.87
加拿大,3,31,9.68%,9.97
英国,2,20,10%,21.45
中国,2,5,40%,15
克罗地亚,2,2,100%,26
南非,1,9,11.11%,6.56
法国,1,5,20%,10.8
立陶宛,1,1,100%,2
奥地利,1,1,100%,4
也门,1,1,100%,9
澳大利亚,0,38,0%,27.34
印度,0,17,0%,32.94
荷兰,0,14,0%,16.57
新西兰,0,11,0%,32
马来西亚,0,10,0%,8.3
德国,0,8,0%,42
印度尼西亚,0,7,0%,13.57
巴西,0,6,0%,8.33
新加坡,0,5,0%,4.6
芬兰,0,5,0%,24.2
意大利,0,5,0%,32.6
比利时,0,4,0%,11
菲律宾,0,4,0%,17.5
波兰,0,4,0%,21.25
西班牙,0,4,0%,35
台湾,0,3,0%,6
瑞典,0,3,0%,6.33
摩洛哥,0,3,0%,9.33
阿尔及利亚,0,2,0%,5.5
瑞士,0,2,0%,6
吉尔吉斯斯坦,0,2,0%,7
匈牙利,0,2,0%,9.5
尼泊尔,0,2,0%,9.5
丹麦,0,2,0%,12
孟加拉,0,2,0%,26.5
哥伦比亚,0,2,0%,32.5
突尼斯,0,1,0%,3
保加利亚,0,1,0%,4
塞浦路斯,0,1,0%,4
尼日利亚,0,1,0%,4
缅甸,0,1,0%,5
罗马尼亚,0,1,0%,5
爱尔兰,0,1,0%,6
波斯尼亚和黑塞哥维那,0,1,0%,7
挪威,0,1,0%,7
特立尼达和多巴哥,0,1,0%,7
捷克,0,1,0%,8
泽西岛,0,1,0%,8
马其顿,0,1,0%,8
沙特阿拉伯,0,1,0%,8
巴哈马,0,1,0%,9
伊拉克,0,1,0%,9
乌兹别克斯坦,0,1,0%,9
希腊,0,1,0%,10
巴基斯坦,0,1,0%,10
塞尔维亚,0,1,0%,10
乌干达,0,1,0%,10
爱沙尼亚,0,1,0%,25
肯尼亚,0,1,0%,26
土耳其,0,1,0%,28
葡萄牙,0,1,0%,35
日本,0,1,0%,39
泰国,0,1,0%,39
洪都拉斯,0,1,0%,44
科威特,0,1,0%,45
越南,0,1,0%,45
墨西哥,0,1,0%,49
