# ----------------------------------------
# 电子商务购买: 商品名称
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260427
# 结束日期：20260503
商品名称,查看过的商品数,加入购物车的商品数,已购买的商品数,商品收入,跳出率,活跃用户,结账的商品数
A499-84.92LB BBW Big Booty Sex Doll Torso Silicone | LoveNestle Series,8,0,0,0,0,5,0
A303 11lb Silicone Big Butt Torso – Realistic & Lightweight Big Ass Toy,6,0,0,0,0,6,0
"A311-17.4lb Silicone Big Butt Torso – Extended Thighs, Mid-Thigh Length & Realistic Design",6,0,0,0,0,6,0
T593(48.5lb) Black Luxury Realistic Small Breasts Flat-Chested Half Torso Sex Doll【In Stock US】|Clim,6,1,0,0,0,3,0
A512 (57.32lb) Big Ass Sex Doll Torso Doggy Style 1:1 Life-Sized BBW Sex Doll,5,0,0,0,0,5,0
T506（42.3lb|70cm)Luxury Lifesize Love Sex Doll Torso|Reduce Weight Version,5,0,0,0,0,3,0
A260-Lusandy Sex Dolls with Big Asses Silicone 22lb Sexy and Gel Butt【IN Stock US/EU】,4,0,0,0,0,4,0
A664-(37.5lb) Silicone Butt Sexy and Real Realistic Big Ass Sex Doll Torso,4,0,0,0,0,4,0
A682-(19lb) Bigass Sexdoll Torso TPE 19lb Sucking Vibration Realistic Ass,4,0,0,0,0,2,0
L308- (49.6lb/39.3‘’) Silicone Sex Legs Crurophilia Sexy Sex Doll Footjob with Smooth Skin | Arcana ,4,1,0,0,0,2,1
T590-(35.27lb)Luxury Female Torso Tribbing Sex Doll with Fully Automatic Cleaning sex with robot,4,0,0,0,0,4,0
T724 - 59 lbs / 120 cm Human Size Silicone Sex Doll Torso with Long Legs and Gel Breasts | Judy Runa,4,0,0,0,0,3,0
A209-8.8lb Male ass with big Torso Dildo｜Realistic Masturbator,3,1,0,0,0,1,0
A599 (83lb) BBW Sex Doll Torso Big Booty Doggy Style Sucking Doll Biggest Ass Sex Toy [ In Stock US ,3,0,0,0,0,3,0
F2522-159cm(5.2ft)-37kg A Cup Realistic Skin Texture Silicone Sex Doll | Fun West Doll,3,0,0,0,0,1,0
T205-BBW Sex Doll Torso TPE 41.22lb|53cm Curvy Fat Belly,3,0,0,0,0,2,0
T588V-16.09lb Sucking Sex Torso TPE Vibration & Auto Clean,3,0,0,0,0,3,0
T665-32lbs/76cm T665-32lbs/76cm Luxury Silicone Life Sized Torso – Robotic & Realistic,3,0,0,0,0,3,0
A10 (9.9lb) Cheap Realistic Male Sex Doll Torso with Huge Torso Dildo | Dang Xia,2,0,0,0,0,1,0
A323-Huge Ass Sex Doll Torso Liquid Silicone 32lbs Chubby Belly Butt Ultra-Soft,2,0,0,0,0,2,0
A418-(8lb) Sexy and Real Fat Lady Ass Realistic Black BBW Ebony Chubby Sex Doll Torso [ In Stock US ,2,0,0,0,0,2,0
A420-(33lb)Chubby And Real Realistic Ass pocket pussy Sexy Masturbator BBW Sex Doll Torso,2,0,0,0,0,2,0
A599 (83lb) Coco Realistic TPE Sex Doll Torso Mega Big Booty Ebony Chubby BBW,2,0,0,0,0,2,0
"B43 – 39.7 lbs / 18kg Silicone Sex Torso, Huge Soft Gel Breasts & Realistic Vagina for Men",2,0,0,0,0,1,0
F1247-164cm F Cup Dark Big Boobs Silicone Sex Doll [IN STOCK USA]｜Irontech Doll,2,0,0,0,0,1,0
F1313-164cm F Cup Miku Big Boobs Silicone Sex Doll｜Irontech Doll,2,0,0,0,0,1,0
F4387- 170cm(5.6ft)-41kg H Cup MILF TPE Sex Doll丨WM Doll,2,0,0,0,0,1,0
L479(58.4lb/84cm)Cinnamon Sex Doll Legs with Realistic Vagina Anal & Big Butt Sex Toy｜Climax Doll,2,0,0,0,0,2,0
L582(7.7lb/23.6‘’) Sex Doll Legs Footjob Cheap Leg Torso Toys Female Big Ass Masturbator For Men,2,0,0,0,0,2,0
T297-34.6lbs/100cm Lightweight Life-Size Flat Chested Sex Doll Torso with Head【can choose no head】 |,2,0,0,0,0,2,0
T298-40.79lbs/100cm Lightweight Life-Size Sex Doll Torso with Head【can choose no head】 | Climax Doll,2,1,0,0,0,2,1
T305-63.93LB Liz Big Boobs Silicone Sex Doll With Mature Curves | LoveNestle Series,2,0,0,0,0,2,0
T502-21lb/53cm-Realisitc Torso Sexdoll Big Boobs Round Ass,2,0,0,0,0,2,0
T592(67.2lb) Black-BBW Sex Dolls｜Gel Breasts & Big Ass Ebony Sex Doll Torso【In Stock US/EU】|Climax D,2,0,0,0,0,2,0
T605-(53lb)Black-Luxury Life Size Doggy Style Curvy Ebony Sex Doll Torso with Round Thigh|Breast Opt,2,0,0,0,0,1,0
T666-39.7lbs/83cm Silicone Luxury Super Realistic Life Size Torso Sex Doll And Robots,2,0,0,0,0,2,0
T730-110cm(3.6ft)/27kg E Cup Silicone Real Skin Textured Torso Sex Doll With Head [TOP-CYDOLL],2,0,0,0,0,2,0
"T941-40.5lb/77cm 2.1  AA Cup Flat Chest Mini Japanese Silicone Torso Sex Doll With Head– Portable, D",2,0,0,0,0,1,0
T977-91cm/3ft-28.4kg E Cup SLE Sex Doll Torso With Head(ZELEX SLE 3.0)【In Stock USA & Canada】｜Zelex ,2,0,0,0,0,2,0
A215-(4.19lb)  Mini Realistic Ass Sex Toy – Pocket-Size Thickass for Intense Pleasure,1,0,0,0,0,1,0
A23-24.3lbs-Silicone BBW Sex Doll Torso Life-Size Big Ass,1,0,0,0,0,1,0
A295 -Judy Rona Big Butt Torso Sex Doll Silicone 26.9lb Realisitc Skin,1,0,0,0,0,1,0
A308-(13lb) Soft Silicone Realistic Big Ass Sex Dolls Torso,1,0,0,0,0,1,0
A309-(19lb)  Soft Silicone Realistic Big Ass Sex Dolls Torso,1,0,0,0,0,1,0
A358-(27.5lb) Big Butt BBW Black Sex Doll Torso Realistic with Gel Butt - Climax Doll,1,0,0,0,0,1,0
A359-(27.5lb) Silicone Butt Sexy and Realistic Big Ass Sex Doll Torso - Climax Doll,1,0,0,0,0,1,0
A409-(17.6lb)Big Ass Realistic Sex Torso TPE Material Dual Entry,1,0,0,0,0,1,0
"A432-LoveNestle Huge Ass Sex Doll Torso – Silicone, Realistic Dual Tunnels, 35.27lb",1,0,0,0,0,1,0
A518 (18.29lb) Torso Masturbator｜Leg Torso sex doll sex Booty ｜Big Butt,1,0,0,0,0,1,0
A519 (28.4lb )Doggy Style Realistic Torso Sex Doll Silicone Ass torso sexdoll,1,0,0,0,0,1,0
A555-32lbs 32lb Moving Sex Doll Torso Realistic Ass Robot Vibrating,1,0,0,0,0,1,0
A561-(33lb)Lifelike Ass Sex Toy|Luxury TPE Ass Torso BBW Sex Doll Nude,1,0,0,0,0,1,0
A562-(41.8lb)Lifesize Silicone Sex Doll Torso Peach-Shaped Big Butt Realistic BBW,1,0,0,0,0,1,0
A602-(19lb ) Black-Sexy and Real Realistic 3D Big Ass Sex Doll Torso,1,0,0,0,0,1,0
A647 - 17.6 lbs Scaly Fantasy Silicone Torso Sex Doll Booty,1,0,0,0,0,1,0
A660-Big Ass Sex Dolls Torso Realistic Silicone 25lb Elastic Butty,1,0,0,0,0,1,0
"A679-Juicy TPE Sex Doll Butt Torso – Thick, Soft & Realistic 35lb Bubble Butt",1,0,0,0,0,1,0
A681-(15.5lb)Sexy And Real Realistic Big Ass BBW Chubby Masturbator Cheap Sex Doll Torso,1,0,0,0,0,1,0
A683-(24lb)Sexy And Real Realistic Ass Female Bigass SexDoll,1,0,0,0,0,1,0
A720 (103.6lb) S-TPE Big Ass Sex Doll Torso Doggy Style,1,0,0,0,0,1,0
A723 - 28.7 lbs Silicone Big Ass Real Realistic Sexy Sex Doll Torso Butt | Judy Runa,1,0,0,0,0,1,0
B33-(18.8lb) Big Breast  & Vagina Sex Tool Soft Gel-Boobs Torso Male Masturbator,1,0,0,0,0,1,0
B69-(6.2lb) Big Breast  & Vagina Sex Tool Soft Gel-Boobs Torso In Stock EU,1,0,0,0,0,1,0
F1034-165cm(5.4ft) C Cup Lexie  TPE Medium butt Sex Doll｜Fun West Doll,1,0,0,0,0,1,0
F1045-157cm(5.2ft)-40kg C Cup Sophiemina Sexy Realistic  Anime TPE 18s Sex Doll｜Fun West Doll,1,0,0,0,0,1,0
F1051-157cm(5.2ft)-40kg C Cup Assos Sexy Tiny Cheap TPE Anime real life size sex doll｜Fun West Doll,1,0,0,0,0,1,0
F1447-153cm(5ft)-34kg H Cup Petite Fantasy Anime TPE sex toy doll |Aibei Doll,1,0,0,0,0,1,0
F1710k-165cm/5ft5 G Cup Big Breast Realistic Silicone Sex Doll 【IN Stock US】| Starpery Doll,1,0,0,0,0,1,0
F178- 158cm/5ft2 J Cup Lisa Big Ass Cheap nude doll Black TPE BBW Sex Doll | Irontech Doll,1,0,0,0,0,1,0
F2011- 157cm(5.1ft)-28.6kg B Cup Petite Flat Chested Teen Asian TPE Sex Doll丨WM Doll,1,0,0,0,0,1,0
F2040- 164cm(5.4ft)-34kg J Cup Asian TPE ai sex doll丨WM Doll,1,0,0,0,0,1,0
F2163k-163cm/5ft3-32kg G Cup Hao Adult Chinese Asian Silicone female sex dolls【IN Stock US】 | Starpe,1,0,0,0,0,1,0
F2382-150cm/4ft9 G Cup #251 Top Realistic Big Thick Booty TPE Mini Sex Doll   |SY Doll,1,0,0,0,0,1,0
F2410- 164cm(5.4ft) D Cup AI Chatbot Blinking Smiling Robot Sex Doll AI丨SY Doll,1,0,0,0,0,1,0
F2484-158cm(5.2ft)/35kg H Cup Nyra ROS Silicone Sex Doll【In Stock USA 】｜Nianta Doll,1,0,0,0,0,1,0
F2498-158cm(5.2ft)/35kg H Cup Natalie Cross ROS Silicone sex dolls【In Stock USA 】｜Nianta Doll,1,0,0,0,0,1,0
F2501-163cm(5.3ft)/29kg D Cup Bella ROS Black Silicone Sex Doll【In Stock USA 】｜Nianta Doll,1,0,0,0,0,1,0
F2504-163cm(5.3ft)/38.5kg E Cup Soraya ROS Silicone Sex Doll【In Stock USA 】｜Nianta Doll,1,0,0,0,0,1,0
F2541-160cm(46kg) I Cup Big Ass Silicone Perky Boobs Sex Doll｜Irontech Doll,1,0,0,0,0,1,0
F3267-153cm/5ft(44kg) Stephanie G Cup TPE Sexy Mature Woman huge tits sex doll | YL Doll,1,0,0,0,0,1,0
F3333-165cm/5ft4(40.5kg) E Cup TPE Halloween Curve Sexy Full Body Sex Doll | YL Doll,1,0,0,0,0,1,0
F3420-158cm(5f2) -28kg A Cup TPE Flat Chested Sex Dolls for Sale - Aibei Doll,1,0,0,0,0,1,0
F3551- 162cm(5.3ft)-34kg F Cup MILF TPE Sex Doll丨WM Doll,1,0,0,0,0,1,0
F361-150cm/4ft9-27kg Elsa E Cup Fansty Dark TPE Elf Anime Alien Adult Buy Sex Doll | SE Doll,1,0,0,0,0,1,0
F4808-164cm/5ft5-33.8kg G Cup Full Size Realistic Thick Ass Silicone Sex Dolls(ZELEX SLE )｜Zelex Dol,1,0,0,0,0,1,0
F4810K- 164cm(5.4ft)/36kg D Cup Cat Girl Furry Sex Doll Silicone Naked doll丨Rosretty Doll,1,0,0,0,0,1,0
F511k-165cm G Cup Adele Silicone Fat Sex Doll【IN Stock US】｜Starpery Doll,1,0,0,0,0,1,0
F524-165cm Silicone Big Boobs ssbbwsex Doll｜Starpery Doll,1,0,0,0,0,1,0
F5581-157cm(5ft1)-32kg  D Cup Medium Breast  Asian TPE Real Robot Sex Doll | Aibei Doll,1,0,0,0,0,1,0
F6115K—167cm/5.48ft-39kg F Cup ROS Silicone Realistic Sex Doll Weight Reduction【IN Stock USA】| IDO D,1,0,0,0,0,1,0
F6286K—170cm/5.6ft-34kg F Cup Silicone Realistic Sex Doll Weight Reduction 【IN Stock USA】| IDO Doll,1,0,0,0,0,1,0
F7067-156cm/5ft1-32kg E Cup Ultra-Realistic Furry Sex Doll with Animal Earsy Silicon Head TPE Body｜D,1,0,0,0,0,1,0
F8103-159cm(5.2ft)-33.5kg H Cup ROS MAX  huge titss Silicone Sex Doll With Robot｜Real Lady,1,0,0,0,0,1,0
F8112-162cm/5ft3-40.5kg H Cup M29 Plump Body Silicone BBW Sex Doll | MD Doll,1,0,0,0,0,1,0
F8112k-162cm/5ft3-40.5kg H Cup M29 Plump Body Silicone BBW Sex Doll【In Stock US】 | MD Doll,1,0,0,0,0,1,0
F9329-150cm/4ft9-41kg B Cup ROS Silicone Head Lesbian Friendly Shemale Sex Doll｜Doll Castle,1,0,0,0,0,1,0
H043 ROS Silicone Blowjob Sex Doll Head | Irontech Doll Head,1,0,0,0,0,1,0
H668 ROS Silicone Blowjob Sex Doll Head丨Irontech Doll Head,1,0,0,0,0,1,0
H673 Silicone Sex Doll Head丨Irontech Doll Head,1,0,0,0,0,1,0
L304-59lbs/36.2‘’ Realistic TPE Curvy Thigh Weighted Big Butt Sex Doll Legs,1,0,0,0,0,1,0
L313-50.7lb/43‘’ Silicone Realistic Crurophilia Legs & Feet: Hyper-Real Skin Feel for Foot Fetish,1,0,0,0,0,1,0
L425(48.5lb/117cm) Silicone Leg and Foot Worship Model for Femdom and Trampling Roleplay | Judy Rona,1,0,0,0,0,1,0
L470(48.5lb/110cm) TPE Doggystyle Long Beautiful Legs Sex Doll｜Qita Doll,1,0,0,0,0,1,0
L583(13.2lb/27.5‘’) Sex Doll Legs Cheap Realistic Sex Dolls |foot fetish toys,1,0,0,0,0,1,0
P383-Best Silicone Realistic Pocket Pussy 100% Genuine for Men| Notye,1,0,0,0,0,1,0
P57-(4.4lb)TPE Large Stimulating Realistic Pocket Pussy,1,0,0,0,0,1,0
T1218 - 52.9 lbs TPE Realistic sex doll torso with head Carving | SHEDOLL,1,0,0,0,0,1,0
T17-(61.7lb) Black-Doggystyle BBW Sex Doll Torso｜Luxury Torso doll【IN STOCK US/EU】｜Climax Doll,1,0,0,0,0,1,0
T205-BBW Torso Sex Dolls TPE 41.22lb|53cm Luxury Fat Belly,1,0,0,0,0,1,0
T228(37.5lb丨28.3'' )  Curvy Lifesize Big Breast Size Sex Doll Torso,1,0,0,0,0,1,0
T237-26.35lbs/60cm Lightweight Life-Size Small Flat Chested Sex Doll Torso | Climax Doll,1,0,0,0,0,1,0
T238-30.75lbs/80cm Lightweight Life-Size Flat-Chested torso sex doll with head【can choose no head】 |,1,0,0,0,0,1,0
T267-17.6lbs Realistic Adult Black Ebony Best Cheap Male Sex Toys|QSX,1,0,0,0,0,1,0
T274-28.66lbs/60cm Life-Size Sex Doll Torsos Lightweight | Climax Doll,1,0,0,0,0,1,0
T278-37.14lbs/80cm Lightweight Life-Size Sex Doll Torso | Climax Doll,1,0,0,0,0,1,0
T293-30.9lbs/72cm Super Realistic Luxury Silicone Life Size Sex Doll Torso,1,0,0,0,0,1,0
T295 - 67.24 lbs Phoebe ROS Silicone BBW Sex Dolls Torso with Head sex with sexual doll[In Stock USA,1,0,0,0,0,1,0
T296 - 72.09lbs Iris ROS Life Size Silicone Sex Doll Torso with Head [In Stock USA& Europe] | MAX  S,1,0,0,0,0,1,0
T350-37.5lbs/50cm TPE Realistic Trans Torso Sex Dolls【IN Stock EU】 | YQ,1,0,0,0,0,1,0
T362-(70.5lb) 88cm TPE dolls sex Torso with head IN STOCK USA/EU | Aibei Doll,1,0,0,0,0,1,0
T402-34.61lb/61cm-6.29″ Dildo Electric Stretchable Vibrating Male Sex Doll Torso Adult Toys For Fema,1,0,0,0,0,1,0
T411-50.7lbs/92cm silicone sex dolls Luxury Super Realistic Human Size Best Torso Sexdoll And Robots,1,0,0,0,0,1,0
T412 (55lb) BBW Sex Doll Torso Life-Size Chubby Fat Woman,1,0,0,0,0,1,0
T412 (55lb) Best Seller Life-size Realistic 1:1 Plump Fat Woman Chubby BBW Sex Doll Torso,1,0,0,0,0,1,0
T443-20.94LB Sex Doll Big Boobs Silicone Life-Size Torso | LoveNestle Series,1,0,0,0,0,1,0
T452-33.69LB Jessica Lightweight Silicone sex dolls torso with Big Boobs and Butt| LoveNestle Series,1,0,0,0,0,1,0
T460-65.52LB Savannah Lifelike Silicone Half Torso Sex Doll with Slim Body| LoveNestle Series,1,0,0,0,0,1,0
T463-59.52LB Lana ROS Life Size Red Head Silicone Japanese Sex Doll Torso With Head【In Stock USA& Eu,1,0,0,0,0,1,0
T464-19.8lbs Neko Catwoman TPE Mini Anime Furry Hentai Pocket Sex Doll | MRL,1,0,0,0,0,1,0
T501(25.3lb/45cm)Best Realistic Best Cheap BBW Torso Sex Dolls |Big Round Ass,1,0,0,0,0,1,0
"T501-Black(25.3lb) Big Ass BBW Ebony Sex Doll Torso Realistic, Full Breasts & Hips",1,0,0,0,0,1,0
"T504 (40.78lb/75cm) Realistic Half Torso Sex Doll With Perky Breasts,Big ass & Double Channels",1,0,0,0,0,1,0
T5121-(48.5lbs) 75cm(2ft5) D Cup Anna  TPE Sex Doll Torso with Head|Galaxy,1,0,0,0,0,1,0
T514 (21.07lb) TPR Luxury Lifelike Sex Dolls Torso For Man,1,0,0,0,0,1,0
T518-80cm｜68lbs Luxury Full Silicone Ass BBW SexTorso|Nice Ass For doggystyle,1,0,0,0,0,1,0
T519(20.32lb) Curvy Lightweight 55cm Sex Doll Torsos&Plump Breasts&Large round nipples,1,0,0,0,0,1,0
T520(43lb) Life-size Torso Sex Doll For Men|Realistic sex torso Masturbator Toy,1,0,0,0,0,1,0
T524(16.8lb)  Charming Abs And Big Hard Cock-Boys/black Ebony male sex doll For Women | xingse,1,0,0,0,0,1,0
T576(52.9lb) Torso Sex Dolls with perky tits and slender waist,1,0,0,0,0,1,0
T588V-Sucking Sex Doll Torso TPE 16.09lb Sucking Vibration Auto Clean,1,0,0,0,0,1,0
T593 - 48.5 lbs Black Realistic Sex Doll Torso | Flat-Chested Small Breasts Design | Climax Doll,1,0,0,0,0,1,0
T6-(60lb) Luxury Thin Cinnamon Half Torso Sex Doll Small Flat Chested【In Stock US/EU】|Climax Doll,1,0,0,0,0,1,0
T60-20.28lb 7inch Dildo Cheap Realistic Trans Torso Sex Doll,1,0,0,0,0,1,0
T604-(52lb)Black-Luxury Medium Planar Thigh Sex Doll Torso With Super Soft Breasts,1,0,0,0,0,1,0
T61-(12.3lb)Mini Silicone Sex Toy Doll|Gel Breasts and Butt【Sigafun Doll】,1,0,0,0,0,1,0
T642-(37.47lb)Luxury Robert robotic Sex Doll Torso With Vibrating and Sucking Pussy tribbing sex dol,1,0,0,0,0,1,0
T643 - 48.5 lbs Life-Size Realistic bbw sex toy Doll | Plump Woman with Chubby Belly,1,0,0,0,0,1,0
T667-(20.2lbs) Luxury Super Cheap Realistic Female Silicone Torso Sex Doll For Men,1,0,0,0,0,1,0
T678-(64.6lb) Lillian Sex Doll Torso with head sex torsos,1,0,0,0,0,1,0
T678k-(64.6lb) Fukada sex doll torso with head | Silicone Head Torso Pro | Climax Doll,1,0,0,0,0,1,0
