国家/地区,点击次数,展示,点击率,排名
美国,92,1276,7.21%,20.04
加拿大,11,96,11.46%,8.28
印度,7,59,11.86%,22.31
英国,4,77,5.19%,18.13
澳大利亚,2,107,1.87%,23.13
意大利,2,23,8.7%,12.65
芬兰,2,8,25%,15.5
孟加拉,2,6,33.33%,11.67
马来西亚,1,19,5.26%,5.53
瑞典,1,19,5.26%,32.95
瑞士,1,14,7.14%,20.86
法国,1,13,7.69%,2
希腊,1,12,8.33%,10.67
中国香港,1,7,14.29%,7.71
奥地利,1,6,16.67%,9.5
印度尼西亚,1,6,16.67%,20.17
中国,1,6,16.67%,28
卢森堡,1,6,16.67%,41.83
伊朗,1,3,33.33%,10.67
塞尔维亚,1,3,33.33%,29.67
土耳其,1,3,33.33%,39
以色列,1,2,50%,2.5
厄瓜多尔,1,2,50%,6
巴基斯坦,1,2,50%,30.5
德国,0,24,0%,17.54
菲律宾,0,21,0%,8.1
墨西哥,0,20,0%,10.65
荷兰,0,20,0%,22.1
新西兰,0,16,0%,32.62
波兰,0,13,0%,9.46
罗马尼亚,0,13,0%,11
斯洛伐克,0,10,0%,29.6
捷克,0,9,0%,29.22
摩洛哥,0,7,0%,7.29
拉脱维亚,0,7,0%,30.57
阿尔巴尼亚,0,6,0%,1.17
丹麦,0,6,0%,6
南非,0,6,0%,6.67
巴西,0,6,0%,10
肯尼亚,0,6,0%,12.17
爱沙尼亚,0,6,0%,30
爱尔兰,0,5,0%,7
俄罗斯,0,5,0%,12
比利时,0,5,0%,16.8
日本,0,5,0%,30.4
立陶宛,0,5,0%,56.2
乌克兰,0,4,0%,2.5
西班牙,0,4,0%,4.5
尼日利亚,0,4,0%,7
韩国,0,4,0%,28.5
保加利亚,0,4,0%,31.75
匈牙利,0,4,0%,33
冰岛,0,4,0%,56.5
卡塔尔,0,3,0%,2
越南,0,3,0%,4
尼泊尔,0,3,0%,4.33
埃及,0,3,0%,5
葡萄牙,0,3,0%,12.67
挪威,0,3,0%,17
阿根廷,0,3,0%,28
安道尔,0,3,0%,60.67
克罗地亚,0,2,0%,2
波多黎各,0,2,0%,2.5
斯洛文尼亚,0,2,0%,5.5
牙买加,0,2,0%,7.5
赞比亚,0,2,0%,7.5
黎巴嫩,0,2,0%,9
玻利维亚,0,2,0%,9.5
突尼斯,0,2,0%,14.5
列支敦士登,0,2,0%,50.5
伊拉克,0,1,0%,1
乌兹别克斯坦,0,1,0%,1
阿塞拜疆,0,1,0%,2
沙特阿拉伯,0,1,0%,3
阿拉伯联合酋长国,0,1,0%,4
新加坡,0,1,0%,4
泽西岛,0,1,0%,5
澳门,0,1,0%,5
叙利亚,0,1,0%,5
伯利兹,0,1,0%,6
文莱,0,1,0%,7
加纳,0,1,0%,7
阿尔及利亚,0,1,0%,9
缅甸,0,1,0%,9
委内瑞拉,0,1,0%,9
洪都拉斯,0,1,0%,20
未知地区,0,1,0%,21
蒙古,0,1,0%,47
智利,0,1,0%,50
曼岛,0,1,0%,53
