国家/地区,点击次数,展示,点击率,排名
美国,180,1546,11.64%,6.67
英国,14,157,8.92%,10.65
澳大利亚,10,56,17.86%,6.86
印度,9,76,11.84%,7.34
荷兰,5,41,12.2%,6.37
加拿大,4,108,3.7%,8.18
巴基斯坦,3,9,33.33%,4.33
以色列,3,4,75%,4.75
沙特阿拉伯,3,4,75%,30.75
意大利,2,17,11.76%,12
希腊,2,13,15.38%,10.46
克罗地亚,2,9,22.22%,5.44
芬兰,1,27,3.7%,13.15
丹麦,1,14,7.14%,6.21
法国,1,12,8.33%,8.83
挪威,1,11,9.09%,7.64
菲律宾,1,10,10%,5.1
俄罗斯,1,10,10%,10.5
爱尔兰,1,9,11.11%,6.78
土耳其,1,7,14.29%,5.29
新加坡,1,6,16.67%,5.5
西班牙,1,6,16.67%,25.17
日本,1,5,20%,6.2
阿塞拜疆,1,5,20%,7.6
葡萄牙,1,4,25%,7.25
拉脱维亚,1,4,25%,8.5
白俄罗斯,1,4,25%,9
埃及,1,4,25%,15
奥地利,1,3,33.33%,6
马其顿,1,3,33.33%,7
马耳他,1,3,33.33%,8
墨西哥,1,3,33.33%,12
阿根廷,1,1,100%,15
匈牙利,0,12,0%,8.17
德国,0,11,0%,33.82
比利时,0,9,0%,6.44
孟加拉,0,8,0%,5.25
瑞典,0,8,0%,9.25
南非,0,8,0%,9.75
新西兰,0,7,0%,6.43
波兰,0,7,0%,6.43
印度尼西亚,0,7,0%,7.71
巴西,0,7,0%,9.29
中国,0,7,0%,18.29
马来西亚,0,6,0%,4.5
泰国,0,6,0%,7
罗马尼亚,0,6,0%,8
尼日利亚,0,5,0%,3.2
斯洛伐克,0,5,0%,6.8
肯尼亚,0,4,0%,10
塞尔维亚,0,4,0%,12.5
捷克,0,3,0%,2
瑞士,0,3,0%,5.33
越南,0,3,0%,7.33
保加利亚,0,3,0%,8.33
马尔代夫,0,3,0%,8.33
台湾,0,3,0%,10.67
斯洛文尼亚,0,3,0%,14.33
阿尔及利亚,0,2,0%,6
韩国,0,2,0%,7
波多黎各,0,2,0%,7
中国香港,0,2,0%,7.5
格鲁吉亚,0,2,0%,8
乌克兰,0,2,0%,10
哥伦比亚,0,2,0%,15
约旦,0,1,0%,2
冰岛,0,1,0%,3
黎巴嫩,0,1,0%,3
津巴布韦,0,1,0%,3
爱沙尼亚,0,1,0%,5
哈萨克斯坦,0,1,0%,5
美属维尔京群岛,0,1,0%,5
斯里兰卡,0,1,0%,6
巴布亚新几内亚,0,1,0%,6
波斯尼亚和黑塞哥维那,0,1,0%,7
委内瑞拉,0,1,0%,7
立陶宛,0,1,0%,8
阿曼,0,1,0%,8
特立尼达和多巴哥,0,1,0%,8
乌拉圭,0,1,0%,8
危地马拉,0,1,0%,9
利比亚,0,1,0%,9
玻利维亚,0,1,0%,10
伊拉克,0,1,0%,10
吉尔吉斯斯坦,0,1,0%,10
牙买加,0,1,0%,11
萨尔瓦多,0,1,0%,15
摩洛哥,0,1,0%,17
叙利亚,0,1,0%,35
